"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"* Pterolophia lacosus (Pic, 1926)"
"* Mitra cardinalis (Röding, P.F., 1798)"
"Manjusharmia pectinolytica"
"Helix stiparumItal Ro(ssmässler, 1854) (original combination)"
"* Littorina mauritiana var. crassior (Philippi, 1847)"
"* Mitropifex kurodai (Sakurai & Habe, 1964) (original combination)"
"*Spongipellis spumeus var. mongolicus (Murashk.)"
"* Perophora orientalis( Arnback-Christie-Linde, 1935)"
"Lin'an ()"
"*Mycalesis aurivillii var. birungae (Aurivillius, 1925)"
"*Obrussa (Saalmüller, 1891)"
"*Callidrepana patrana f. crassimaculata (Inoue, 1955)"
"*Sarcostemma daltoni"
"Буор Сыһыы"
"* Columbella rasotia (Duclos, 1835)"
"*Tortrix peroneana (Barnes & Busck, 1920)"
"Gołymin-Ośrodek Commune"
"*Macrembola (Meyrick, 1909)"
"* Bursa (Bufonariella) ranelloides (Reeve, 1844)"
"*Poria elongata (Overh.(1942)"
"*Pseudaporosa (Alexander, 1924)"
"*Ovula adamsi (Paetel, F., 1887)"
"*Acidalia albifera (Walker, 1866)"
"Vilangudi"
"*Xyleutes albicans (Roepke, 1955)"
"Wushenchi"
"*Diacrisia alcumena kennedyi (Rothschild, 1910)"
"Base Brown"
"Vietnam"
"*Coreura euchromioides (Druce, 1898)"
"*Phalaena ocellata (Linnaeus, 1758)"
"*Amblypneustes griseus (Blainville, 1825)"
"* Thyropygus nigrolabiatus (Newport, 1844)"
"* Nerita tricolor (Gmelin, 1791)"
"*Patissa flavifascialis (Barnes & McDunnough, 1913)"
"Uromyces terebinthi (DC.) G. Winter)"
"Calliostoma (Calliostoma) poppei (Vilvens, 2000)"
"*Polytela cliens tanit (Rungs, 1972)"
"Cerithium macrostoma (Hinds, 1844)"
"*Elater conicus (Voet, 1806)"
"Soweida, Sweideh, Swaida"
"*Evagra ribbei (H. Druce, 1885)"
"*Endagria colon (Christoph, 1889)"
"*Scirtothrips padmae (Ramakrishna, 1942)"
"* Saperda versicolor (Boheman, 1859)"
"*Stereum hirsutum var. rameale (Schwein.) Berk., (1872)"
"Dhurunga"
"* Fasciolaria lineataG. Perry, 1811"
"* Pterolophia subfasciculata (Breuning, 1938)"
"*Tachina ferruginea (Meigen, 1824)"
"*Homoeosoma oslarellum breviplicitum (Heinrich, 1956)"
"* Parmena albomaculata (Blanchard, 1851)"
"* Kerochariesthes variegata vitticollis (Téocchi, 1990)"
"* Brachysomida brunnea Knull, 1962"
"*Aegocera schenci (Hampson, 1920)"
"*Eunomia ocina (H. Druce, 1883)"
"* Milesia (Chapman, 1929 (non Latreille, 1804)"
"Sphaeria unita (Fr., (1828)"
"Mitra adamsoni (Reeve, 1844)"
"Dendron"
"Phalaena argentinetta (Fourcroy, 1785) (nomen oblitum)"
"*Archaeaspis"
"* Columbella pumila Souverbie, 1863"
"* Carinatodorcadion carinatum (Pallas) Sama, 2002)"
"* Pteronotus carpenteri var. alba (Berry, 1908)"
"* Buprestis variabilis Donovan, 1805"
"* Abryna (Faustabryna) mindanaoensis (Breuning, 1980)"
"Sajhauli"
"* Aspidophoroides bartoni (Gilbert, 1896)"
"*Maculonaclia agatha (Oberthür, 1893)"
"Kharian"
"*Agrotis perdita (Staudinger, 1899)"
"Strmica (until 1994)"
"* Altererythrobacter troitsensis (Nedashkovskaya et al. 2013)"
"* Murex (Murex) africanus (Ponder & Vokes, 1988)· accepted, alternate representation"
"Naruszewo Commune"
"* Fissurella muricata (Reeve, 1850)"
"Tober"
"*Loricaria bransfordi (T. N. Gill, 1877)"
"*Austrocarea millsi (Holloway, 1977)"
"*Megasymmoca mithridates (Gozmány, 1963)"
"தஞ்சாவூர்"
"*Castnia inornata (Walker, 1869)"
"اغزیکاس"
"* Cypraea bicallosa (Gray, 1831)"
"*Padenodes bizone (Rothschild, 1912)"
"Leucocoprinus cheimonoceps (Singer(1986)"
"*Ornithidium simulans (Ames & C.Schweinf.)"
"Laihela"
"* Atyposoma (Boulenger, 1899)"
"*Uranotaenia callithotrys (Dyar, 1908)"
"Boletus crassipes (Schaeff., 1774)"
"*Oligostigma quinquinalis (Klima, 1937)"
"* Lactobacillus collinoides (Carr and Davies 1972 (Approved Lists 1980)"
"Gornja Lendava (until 1952)"
"*Micraeschus albinellus (Hampson, 1896)"
"* Fasciolaria aurantiaca (Lamarck, 1816)"
"* Phytoecia analis (Mannerheim, 1849 nec Fabricius, 1781)"
"* Cymbula bahamensis (Cate, 1973) (original combination)"
"* Thala decaryi (P. Dautzenberg, 1932)"
"* Meladomus (Nyassana) (Bourguignat, 1889)"
"*Phalaena (Noctua) fuscago (Esper, 1805)"
"* Oliva fulminans (Lamarck, 1811)"
"Bulimus elatus Philippi, 1869"
"Turbonilla (Dunkeria) eritima E.A. Smith, 1890"
"* Hastina Yang and He 1984"
"*Epitola crowleyi (Sharpe, 1890)"
"ErineusWalker, 1858."
"Agrion phallatum Charpentier 1825"
"*Papilio pyrrhus (Linnaeus,1758)"
"*Phycis melanella (Treitschke, 1832)"
"Тербуны"
"* Doris tomentosa Cuvier, 1804 (basionym)"
"*Hysia vesta (Möschler, 1878)"
"*Argyroptera parreyssiana (Duponchel, in Godart, 1842)"
"Fort Ware"
"* Alvania montereyensis (Bartsch, 1911)"
"*Cymatophora plumbea (Butler, 1879)"
"*Antarctia multifarior (Burmeister, 1878)"
"Mambalam"
"Generic"
"Bonhal"
"Sarāi Akhtiār"
"( Verrill, 1871 )"
"Streptoverticillium olivomycini"
"* Picrophilea (Cavalier-Smith 2002)"
"*Lychnocrates effluxa (Meyrick, 1930)"
"*Corticium vellereum (Ellis & Cragin (1885)"
"Sistrum nicocheanum (Pilsbry, 1900)"
"*Echinus rosaceus (Linnaeus,1758)"
"*Euclidia captata (Butler, 1889)"
"*Lozogramma famulata (Hulst, 1887)"
"* Physa beddomei Nelson and Taylor 1879"
"Језерце"
"Palè"
"* Columbella sulcata (Duclos, 1835)"
"* Pyramidella umbilicata (Thiele, 1925)"
"*Polyploca nikkoensis (Matsumura, 1921)"
"Tateng"
"* Cochlostyla (Helicostyla) mirabilis f. trichroa (Pilsbry, 1892) (original combination)"
"* Verconella thomsoni (Marwick, 1924) †"
"* Conizonia annularis (Holzschuh, 1984 (misspelling)"
"*Trametes unicolor (Schwein.) Murrill (1905)"
"*Lipographis niviella (Hulst, 1888)"
"* Agelasta wallacii (White, 1856)"
"* Peripatus (Peripatopsis) umbrinus (Johow 1911)"
"Skołyszyn Commune"
"*Drepanofoda atrata (C. Swinhoe, 1902)"
"* † Serpula intorta (Lamarck, 1818)  (superseded original combination, and transfer to Mollusca)"
"*Phalaena serrata (Drury, 1770)"
"*Tinea myllerella"
"*Peziza sumneriana (Cooke (1876)"
"*Hofmannia septemdactyla (Pagenstecher, 1900)"
"* Helminthoceras (Warren, 1896)"
"Ukatny"
"*Sarcophaga schulzi (Müller, 1922)"
"Submargarita mammillata (Thiele, 1912) (original combination)"
"Ashrafiyah"
"*Cryptocala chardinyi f. rubra (Zöllner, 1920)"
"Cercosporella acerina (R. Hartig) G. Arnaud, (1952)"
"Lugažu Muiža"
"Murex pinniger (Broderip, 1833)"
"*Scoparia virescens (Rebel, 1896)"
"* Physa mamillata Sowerby, 1874"
"* Erromenosteidae (Obruchev 1964)"
"*Tinea dilutella (Denis & Schiffermüller, 1775)"
"(preoccupied)"
"* Strigidia Burmeister, 184"
"*Elaphria arnoides"
"*Chalciope hoplitis (Meyrick, 1902)"
"* Cerithiopsis amblytera var. attenuata (Locard, 1897)"
"*Durbania corynetes (Grose-Smith & Kirby, 1890)"
"*Anticrates sulfurata (Meyrick, 1907)"
"Naesiotus rugatinus"
"*Ithomia dionaea (Hewitson,[1854])"
"Vitularia extensa (M. Smith, 1947)"
"Hoburgs bank"
"*Episcardia (Ragonot, 1895)"
"Plectopylis Bavayi Gude, 1901"
"Liocoris lhesgica"
"* Calliostoma veliei (Pilsbry, H.A., 1900)"
"පින්නවල"
"*Chaetocnema meridionalis var. corcyrica (Pic, 1909)"
"* Melitaea gabbii ab. gunderi (Comstock, 1926)"
"*Clitoria grandiflora (M. Martens & Galeotti)"
"*Purpura foliacea (Conrad, 1837)"
"* † Boistelia (Cossmann, 1909)"
"*Nereis neso (Hübner,[1806])"
"Veeracholapuram"
"*Agrotis caenis"
"Sepabayi"
"Scindalma cryptarum"
"Calliostoma (Fautor) jackelynae (Bozzetti, 1997)"
"Akola Bajar"
"Clitocybe acromelalga (Ichimura(1918)"
"*Phragmataecia grandis (Viette, 1951)"
"* Nupserha grandis (Pic, 1939)"
"*Vanoyia terminata (Walker, 1851)"
"* Symphaedra pardalis (Moore, 1878)"
"*Grapholitha (Paedisca) finimitana (Lederer, 1859)"
"*Melitene (Ragonot, 1888)"
"* Coedomaea madagascarensis (Thomson, 1868)"
"*Azygophleps psyche (Le Cerf, 1919)"
"* Lamia (Dorcadion) crux (Billberg, 1817)"
"*Musca chorea (Fabricius, 1781)"
"* Glenea fuscofemorata (Breuning, 1958)"
"Mabeta, Mobetan, Mobato"
"*Lycopsis glomerata Urv."
"*Syrichtus oceanus (Edwards, 1871)"
"*Thecla jonasi (Janson, 1877)"
"Vite"
"*Sabella bahamensis( Augener, 1922)"
"* Odostomia densecostata Garrett"
"*Nephopteryx poteriella (Zeller, 1846)"
"* Prunum avenacea (auct). (misspelling and misidentification)"
"*Schinia bifascia (Hübner, 1818)"
"Purda Commune"
"*Josia erectistria (Warren, 1904)"
"*Parapoynx aptalis (Lederer, 1863)"
"* Vitrea (Vitrea) (Fitzinger, 1833·) accepted, alternate representation"
"Boletus dissiliens (Corner (1972)"
"* (Grapholitha campolianaTreitschke, 1830)"
"* Cymatura lichenifera (Fairmaire, 1894)"
"*Thecla duma (Hewitson, 1878)"
"*Geritola (Geritola) daveyi"
"Coprinus flavus (Beeli(1928)"
"Germantown, New York"
"*Drepana bilineata rampartensis (Barnes & Benjamin, 1922)"
"ಘನಪುರಿ"
"*Euzophera homoeosomella Zeller, 1881"
"* Thoristella chathamensis profunda (Dell, 1956)"
") (before 1920s), Penikkala (Finnish)"
"Tysværvåg"
"Chinamerangi"
"*Bondia characterias (Meyrick, 1932)"
"*Dichomeris deflecta (Busck, 1909)"
"* Patella fraunfeldi (Dunker, 1866)"
"*Ambia fulvalis (Dyar, 1914)"
"*Spilostethus equestris"
"*Isopteryx cyanealis (Walker, 1859)"
"Aquamicrobium nanjngzl"
"Moothedathu Parambu"
"* Hedysarum tiliifolium D.Don"
"* Symphyletes torquatus (Pascoe, 1875)"
"Murex cristatus (Wood, 1828)"
"*Abildgaardia monostachya"
"* Dermomurex abyssicola (auct. non Crosse, 1865)"
"* Phyllocharoides Jacoby, 1894"
"*Bathypluta triphaenella sparna (Diakonoff, 1950)"
"Tule"
"Kawęczyn Commune"
"*Epitola elissa (Grose-Smith, 1898)"
"Gloeosporium bolleyi (R. Sprague, (1948)"
"*Clasperopsis fumella"
"*Exilisia m-nigrum"
"*Acrobasis tenuella (Barnes & McDunnough, 1913)"
"*Uliocnemis elegans negligens (Prout, 1925)"
"سيد صادق"
"*Errivaspis? priscillae (Denison, 1953) Blieck, 1984)"
"*Phalaena picarella (Clerck, 1759)"
"* Eulima polita (Linnaeus, 1758)"
"Phyllidiella sudanensis (Heller & Thompson, 1983)"
"Pootkee"
"Huli Tindi"
"Bawarz"
"*Hyria? marcidaria (Walker, 1861)"
"*Nacoleia aldabralis (Viette, 1958)"
"*Acontia monstrosa"
"Hommalinn, Hônmalin, Honmalin"
"Dermomurex (Dermomurex) agnesae (Vokes, 1995)"
"Kalavalapalle"
"*Antarctia severa (Berg, 1875)"
"Natronanaerobium thermophilum"
"*Tortrix technema (Walsingham, 1914)"
"* Natica fragilis (Leach, 1819) (Doubtful synonym of Bulbus smithii)"
"*Haplotilema tenuisparsa (Kühne, 2010)"
"*Schizura ipomaeae"
"*Nesophylax (Meyrick, 1926)"
"Pachyta ebenina (Mulsant, 1839)"
"SCBD"
"* Diboma malina (Gressitt, 1951)"
"*Hepialus varians (Staudinger, 1896)"
"*Catamempsis decipiens (Walsingham, 1907)"
"Mabatobato"
"Raszków Commune"
"Pallassana"
"*Catopta thrips polonica (Daniel, 1953)"
"Topólka Commune"
"*Genus level"
"* Opisthocoelops (de la Torre & Bartsch, 1941)"
"*Lophium mayorii (H.Zogg (1952)"
"*Angrobia grampianensis (Gabriel, 1939)"
"Amindivi Islands"
"Taxeobacter"
"سيدي اسماعيل"
"*Pseudohemihyalea cymothoe"
"Ligonodina"
"Chaurjahari,Rukum"
"*Cryptolechia obliquella (Walsingham, 1881)"
"Attore Road"
"Actinomyces rubiginosohelvolus"
"* Eodorcadion fortecostatum (Heyrovský, 1975)"
"Phlegmacera cavicolens"
"*Polyura pyrrhus"
"*Archilema lucens (Durante & Panzera, 2002)"
"* Oliva scripta venezuelana (Petuch & Sargent, 1986)"
"* Xystochroma roeri (Podany, 1965)"
"Noctua epomidion (Haworth, 1809)"
"*Pseudocyphoma intermedium (Sowerby, 1828)"
"*Lasioprocta merra (Wallengren, 1858)"
"Yencheng"
"*Arsina nigropicta"
"Sheklung; Shihlung"
"*Rhizotrogus occidentalis (Escalera, 1914)"
"*Cechenena minor olivascens (Mell, 1922)"
"Cyców Commune"
"Vulpecula hedleyi (Murdoch, 1905)"
"St. Paul"
"*Ovula cristallina (Kiener, 1843)"
"*Leptidule (Butler, 1877)"
"Murex pliciferus (Sowerby, 1841)"
"*Euthystira abbreviatum (Herrich-Schäffer, 1840)"
"*Acrocercops carbunculata (Meyrick, 1912)"
"*Castnia boisduvali (Schaufuss, 1870) (not (Walker, 1854))"
"*Elachista sumptuosella (Lederer 1855)"
"* Longchaeus punctatus (Férussac, 1821)"
"*Eulepis pyrrhus buruanus (Rothschild, 1898)"
"*Poliosia zatesima (Hampson, 1914)"
"*Glaucopis fulvicollis (Hübner,[1818])"
"*Grapholitha amygdalana (Duponchel in Godart, 1842)"
"Kamaru"
"* Phytoecia (Helladia) pretiosa nigroapicalis (Breuning, 1944)"
"بھاٹہ"
"*Xyleutes d'urvillei"
"* Planaxis menkeanus (Dunker, 1862)"
"* Gordiichthys springeri (Ginsburg, 1951)"
"* Bolma macandrewii (Mørch, 1868)"
"*Cymatophorima diluta"
"Fusisporium concors (Casp., (1855)"
"*Glaucopis pagenstecheri (Röber, 1887)"
"*Eulepis pyrrhus obiensis (Rothschild, 1898)"
"*Azinephora (Stephens, 1827)"
"*Gonia angustata (Zetterstedt, 1844)"
"* Vaepellinae Quicke, 1987"
"*Agrotis paurogramma (Lower, 1902)"
"*Euthioza (Enderlein, 1942)"
"Mitra cophina (Gould, 1850)"
"Région du Yémahin"
"*Symphestia ephestialis"
"Napicladium hordei  (Rostr.)"
"Brittonrosea lloydii (Britton & Rose) Speg.)"
"Stężyca Commune"
"* Dorchaschema alternatum (Say) Leng & Hamilton, 1896 (misspelling)"
"* Rhytiphora transversisulcata (Breuning, 1938)"
"Zamá"
"Sinthiang Coundara"
"Desulfosalina"
"*Rhipicephalus rosea (Salmon & Stiles, 1901 )"
"''"
"*Teucer ateucer (Dyar, 1914)"
"* Lamnostomus orientalis (McClelland, 1844)"
"Akuapim Akropong"
"Abdasa-Nalia Taluka"
"* Sinuginella (Laseron, 1957)"
"* Taeniotes hayi (Mutchler, 1938)"
"* Favartia (Favartia) conleyi (Houart, 1999·) accepted, alternate representation"
"*Elater mucronatus (Olivier, 1792)"
"*Sesia puigi (Oberthür, 1881)"
"* Tragocephala guerini (White, 1856)"
"Bilas Peles"
"*Exorista praepotens (Meigen, 1824)"
"* Pyrgulina callista (Mevill, 1893) (original combination)"
"*Mechanitis olivencia (Bates, 1862)"
"Surrey City Centre"
"* Monochammus filicornis (Gressitt, 1935)"
"*Chortodes fluxus (Hübner, 1809)"
"* Paziella (Paziella) nuttingi (Dall, 1896)"
"Corethrogyne rigida (Benth.) A.Heller)"
"Alvania beniamina (Monterosato, 1884)"
"* Penessada hispida (Thomson, 1868)"
"*Platybathra ganota (Meyrick, 1911)"
"*Rhyacia selenias"
"Polyporus hydnoides (Sw.) Fr., (1821)"
"* Strombus turboformis (Montagu, 1808)"
"*Pyura echinata( (Linnaeus, 1767)"
"*Disparia (Nagano, 1916)"
"*Cidaria altivolans (Wehrli, 1926)"
"* Xyleborus potens (Schedl, 1964)"
"* Orsidis incomptus (Pascoe, 1866)"
"*Cistogaster variegata (Wulp, 1892)"
"Fatry"
"Collisella edmitchelli (Lipps, 1963)"
"*Chelorrhina Burmeister, 1842"
"*Aprotopus (Kirby, 1871)"
"*Tortrix scandalota (Meyrick, 1910)"
"* Clausilia (Clausilia) cruciata (S. Studer, 1820)· accepted, alternate representation"
"*Symmoca pigerella (Herrich-Schäffer, 1854)"
"*Aurantiporus croceus (Pers.)Murrill(1920)"
"*Larinopoda lagyra emilia ab. deficiens (Dufrane, 1953)"
"*Tephroclystia ornatipennis (Warren, 1906)"
"* Menestho divisa (J. Adams, 1797)"
"*Lerodea reedi (Hayward,[1940])"
"*Melitaea didyma tauricus (Belter, 1934)"
"*Ovula triticea (Fischer, 1927)"
"*Leptomyrina lara cana (Talbot, 1935)"
"*Ithomia peninna (Hewitson, 1855)"
"Sangchih"
"*Nepticula sanguisorbae (Wocke, 1865)"
"*Mycalesis baumanni (Karsch, 1894)"
"(Canadian Gaelic: Badaig)"
"Sporidesmium amygdalearum"
"* Cantharis usta (Fairmaire, 1896)"
"Kasa Kh."
"* Cerithium largillierti (Philippi, 1848) (original combination)"
"* Saperda togata (Klug, 1825)"
"Meyeria pusilla (M. Sars in G. O. Sars, 1878)"
"Canlubang Industrial Estate"
"*Ceptobasis deficiens (Moore, 1887)"
"Bolesławiec Commune"
"*Cryphia ravula ereptriculoides (Boursin, 1952)"
"Sanganala"
"* Aspidophoroides olriki (Lütken, 1877)"
"Kayanna bazar"
"*Boarmia gelidaria (Walker, 1863)"
"*Poria rickii (G.Bresadola(1920)"
"*Hydrobia stagnorum (Gmelin, 1791)"
"*Blastomyces parvus (C.W. Emmons & Ashburn) Y.P. Jiang, Sigler & de Hoog)"
"Hella"
"*Dyphlebia trimenii (Felder, 1874)"
"* Flagellimonas (Bae et al. 2007)"
"Rhizochilus teramachii Kuroda, 1953"
"* Pseudoblepisanis luteovittigera (Villiers, 1964)"
"* Olenecamptus affinis m. vittaticollis (Heller) Breuning, 1940)"
"* Anaetia gilvipes (Faldermann, 1837)"
"* Thiseltonia dyeri (Hemsl.)"
"* Turbo corallinus (Reeve)"
"* Margarita minutissima (Mighels, 1843)"
"*Ephestia colorella (Dyar, 1914)"
"* Patelliferea (Cavalier-Smith, 1993)"
"*Scolia otomita (Saussure, 1858)"
"* Fulgoraria (Saotomea) minima Bondarev, 1994"
"* Pedestredorcadion regulare (Pic, 1931)"
"*Nanina (Thysanota) (Albers, 1860)"
"Staro Apno (until 1990), Škocjan pri Turjaku"
"බිතුගල්ගම"
"*Ascidia expansa( Kiaer, 1893)"
"Хатыҥнаах"
"*Eumeta maxima (Butler, 1882)"
"*Rhodaria olivacealis (Bremer, 1864)"
"*Pentila cloetensi ab. latefascia (Dufrane, 1953)"
"*Trichromia kennedyi (Rothschild, 1917)"
"*Papilio syncellus (Stoll, 1780)"
"*Hypochalcia dispunctella (Herrich-Schaffer, 1849)"
"*Choanomphalus elatospiralis B. Dybowski & Grochmalicki, 1925"
"* Parapomempsoides camerunica (Breuning, 1981)"
"* Erycides mancinus (Herrich-Schäffer, 1862)"
"*Hypsotropha acidnias (Turner, 1904)"
"*Cheilosia flavimana (Meigen, 1838)"
"*Giaura tortricoides ab. ura (Strand, 1917)"
"*Conchylis lacteipalpis (Walsingham, 1891)"
"* Festuca pubinervis (Vickery)"
"Wielbark Commune"
"*Kneiffia subgelatinosa (Berk.&Broome(1875)"
"Littorina obtusata var. castanea (Dautzenberg & P. Fisher, 1915)"
"1801 Agaricus melaleucus (Pers.)"
"*Guebla (Chrétien, 1915)"
"*Bradyrrhoa trapezella (ochrospilella Rebel, 1892)"
"Бакы"
"* Saperda fuscipes (Say, 1827)"
"إفرني"
"Kalmeshwar-Bramhani"
"* Lopezcolonia octopunctata (Scopoli, 1772)"
"*Cosmosoma rubrigutta (Skinner, 1906)"
"*Polia wyatti (Barnes & Benjamin, 1926)"
"* Syrnola massauensis Micali and Palazzi 1992,"
"Trisangam, Muktobeni"
"*Callinaias nigripalpis (Warren, 1896)"
"*Technitis tephrodes"
"*Aganosma euloba (Miq.)"
"Vuyani"
"*Cerostoma undulatella (Busck, 1906)"
"*Micronia advocataria (Walker, 1861)"
"*Parallelia korintjiensis (Prout, 1928)"
"*Latiaxis fearnleyi (Emerson & D'Attilio, 1965) (basionym)"
"Harmil"
"*Musca pantherinus (Linnaeus, 1758)"
"*Ruralis orientalis chosenicola (Bryk, 1946)"
"Strzegowo Commune"
"Faustina faustina"
"*Endagria fuscula ab. palliata (Staudinger, 1892)"
"Hermaeina maculosa (Trinchese, 1874)"
"Changchow"
"Józefów nad Wisłą Commune"
"Tera Kòrá"
"* Siphonaria redimiculum Reeve, L.A., 1856"
"*Anchusa axillaris Parsa"
"(Vandecandelaere et al., 2008)"
"Dagarwa"
"Stegna Commune"
"Rhizoctonia violacea"
"*Basiothia idricus (Walker, 1856)"
"misi"
"Y Gogledd"
"*Protoparce lefeburii bossardi (Gehlen, 1926)"
"Tykocin Commune"
"*Lophotrichus setifer (Alf. Schmidt(1978)"
"* Naticarius marochiensis (Gmelin, 1791)"
"*Tortricodes tortricella (Hübner, 1796)"
"*Sauris triseriata (Moore, 1887)"
"* Neritina juttingae (Mienis, 1973)"
"(F.H. Wigg.) Gillet (1879)"
"*Theophila religiosae"
"*Thermesia praecipua (Walker, 1865)"
"* Curimatella alburnus australe Eigenmann & Kennedy, 1903"
"Mahuāon"
"*Schinia digitalis (Smith, 1891)"
"*Charaxes eurinome"
"* Pleurodonte (Labyrinthus) leucodon Pilsbry, 1894"
"*Castnia unifasciata (R. Felder, 1874)"
"Bacillus campestris ( Pammel (1895)"
"(Sütlüce)"
"Halaqi"
"* Sybra negrosensis (Breuning, 1947)"
"* Iberodorcadion spinolae (Dalman, 1817)"
"*Kalmina (Swinhoe 1891)"
"*Tinissa chloroplocama (Meyrick, 1938)"
"Conferva rosea (Roth) Smith, 1802)"
"*Tortrix hyemana (Hübner,[1818-1819])"
"Słaboszów Commune"
"* Musaria tirellii (Luigioni, 1913)"
"Zealandosandrus Salmon, 1950"
"N.T.S Barkakana"
"Szczaniec Commune"
"*Anerastria acrophaea (Turner, 1913)"
"* Papilio eteocles (C. Felder & R. Felder, 1865)"
"*Tetanocentria coleophorella (Sinev, 1993)"
"Cancellaria trailli (Hutton, 1873)"
"*Papilio bitias (Cramer, 1777)"
"*Telipna rogersi (H. H. Druce, 1907)"
"Loughanure"
"* Margarita harrisoni (Hancock, 1846)"
"Cerithium bavayi var. denticulata (Vignal, 1902)"
"*Cincia nephelistis (Hampson, 1905)"
"Loktanella soesokkakensis"
"* Cicadetta minima (Moulds, 1990)"
"*Agrotis interstriata (Hampson, 1902)"
"* Oligonema (S.Watson)"
"* Thylactus dorsalis (Gahan, 1890)"
"*Antona batesi"
"* Oocorys rotunda (Dall, 1908)"
"Eutrochatella tankervillei (orth. error)"
"*Eritarbes otiosa (Walsingham, 1909)"
"Birhami"
"*Sogdagria syczewskae (Tscharykuliev, 1964)"
"*Azelina inordinata"
"*Phoenicoprocta chrysorrhoea (Hampson, 1898)"
"*Sarcodontia unicolor (Zmitr. & Spirin (2006)"
"Prunum fulgidum (Lussi & G. Smith, 1999) (original combination)"
"*Lithosia signata (Walker, 1854)"
"* Nonyma acutipennis (Kolbe, 1893)"
"*Phalacra metagonaria (Walker, 1866)"
"Byakar"
"Rzeczenica Commune"
"*Cossus impeditus (Walker, 1865)"
"*Desmia chryseis ab. briseis (Hering, 1906)"
"* Peritragus nigroapicalis (Aurivillius, 1903)"
"(Yananköy)"
"Yelagiri Malai"
"* Persona (Montfort, 1810)"
"*Metasiodes rhodobaphialis (Ragonot, 1894)"
"Trzebownisko Commune"
"* Pyrrhopoda basalis (Kraatz, 1893)"
"Tsiyang"
"*Cydia milleniana (Razowski, 1991)"
"*Zenzera multistrigata (Moore, 1881)"
"*Phalaena afzeliana (Swederus, 1787)"
"Flocculina (P.D.Orton(1960)"
"* Buccinum strigatum ( Gmelin, J.F., 1791)"
"*Cybalomia squamosa"
"*Othora subglauca (Walker, 1865)"
"Bowringpet"
"* Burkholderia sordidicola (Lim et al. 2003)"
"* Anguilla elphinstonei  (Sykes, 1839  )"
"* Aphodius insularis (Petrovitz, 1961)"
"*Hemithea simplex (Warren, 1897)"
"*Compsoptera aemiliorum (Raineri, 1994)"
"* ?Dorcadion merzbacheri (Breuning, 1946)"
"* Synchitodes rufa (Reitter, 1881)"
"El Hassaine-Béni Yahi"
"*Meganaclia carnea (Hampson, 1898)"
"* Isochariesthes nigroguttata (Aurivillius) Teocchi, 1993)"
"*Orthotylus pulchellus (Reuter 1874)"
"* Chaos diffluens (O.F. Müller, 1786) Schaeffer, 1926)"
"New Adhapara, Nua-adhapara"
"Hinsonton Community"
"* Murex (Murex) brevispina (Lamarck, 1822)· accepted, alternate representation"
"Grabno (until 1952)"
"Ramulispora herpotrichoides (Fron) Arx 1983)"
"*Oenectra approximata (Butler, 1883)"
"Several, see [[#Synonyms"
"*Leptura cruciata Olivier, 1795"
"Cisseis rufobasalis"
"* Fissurella viridis (Costa O.G., 1839)"
"Nova Lisboa (New Lisbon)"
"*Syntomis volans (Swinhoe, 1890)"
"*Rampylla nefas (Dyar, 1922)"
"Perrottetia aquilonaria (Siriboon & Panha, 2013)"
"Dev Bhumi Delmal"
"*Cerala (Hampson, 1912)"
"Hai-lun"
"*Mordella nebulosus (Scopoli, 1772)"
"*Blepharidia yeterofuna"
"* Cerithidea costata (da Costa, 1778)"
"* Pheidole militaris (Smith, F., 1860)"
"* Helix similis (Cox, 1868) (junior synonym)"
"Phelindaba"
"* Cantharis testacea (Fairmaire, 1896)"
"*Argyroploce praesiliens (Meyrick, 1924)"
