<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Apple IBook G4 12.1"" Notebook - PowerPC G4 1.33 GHz (512 MB RAM - 40 GB HDD - Combo Drive - ATI Mobility Radeon 9550 - Mac OS X 10.4 Tiger - 1024 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,12.1 in,Active Matrix LCD ( TFT ),Yes,1.4 in,Built-In Microphone Yes,IEEE 802.11b/g|Fast Ethernet|Bluetooth 2.0,Track Pad,512 MB,2 x USB 2.0|Firewire Yes|S-Video Yes,Notebook,DDR SDRAM,,PowerPC G4,1.33 GHz,,http : //www.apple.com,1 Year,11.2 in,6 hour ( s ),Mac OS X 10.4 Tiger,,ATI Mobility Radeon 9550,4.90 lbs,,40 GB,CD-RW/DVD-ROM,1.50 GB,4 : 3 ( Standard ),512 kB,32 MB,1024 x 768,,,,50 Wh,Apple,133 MHz,1.35 '' Height x 11.20 '' Width x 9.06 '' Depth,IDE ( ATA/EIDE/ATAPI ),,DDR SDRAM,4200.0,,0.512,12.1,40000.0,0.00135,512.0,32.0,1330.0,78.4,,2.0,iBook,XGA,Mail Dashboard Spotlight iChat AV Safari Sherlock QuickTime iSync iCal DVD Player Address Book AppleWorks iWork ( 30-day trial ) Classic environment Quicken 2005 2005 World Book Multimedia Reference Suite Nanosaur 2 Marble Blast Gold Microsoft Office 2004 for Mac Test Drive Zinio Reader XCode Developer Tools and Apple Hardware Test iLife '05 : iTunes iPhoto iMovie HD iDVD GarageBand,2.0,AGP 4X,Card,32 MB,Apple,AirPort Extreme,,,,,,,,,,G4,,,Memory Detail : 512 MB on board Built-in Device : Omnidirectional Microphone,,,,,,,,Yes,,,,,,,,,,"16 X ( CD , CD-R )","24 X ( CD , CD-R )","24 X ( CD , CD-R )","8 X ( DVD , DVD-R )",16.0,24.0,8.0,
"Lenovo Edge E540 20C600B9US 14"" LED Notebook - Intel - Core I3 I3-4000M 2.4GHz (4 GB RAM - 500 GB HDD - Windows 8) Price Comparison at Buy.net",,14 in,LED Backlight,RoHS|EPEAT Gold|ENERGY STAR 5.2,,Built-In Microphone Yes,Gigabit Ethernet,TouchPad|Trackpoint,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i3,2.40 GHz,,http : //www.lenovo.com/us/en/,1 Year,,,Windows 8,Mini PCI Express|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MultiMediaCard ( MMC ),,,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio 1040 G1 14"" LED Ultrabook - Intel - Core I7 I7-4600U 2.1GHz - Platinum (4 GB RAM - 256 GB SSD - Intel - Windows 7 Professional 64-bit English - 1600 X 900 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",9.2 in,14 in,LED Backlight,EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,0.6 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,ForcePad,4 GB,2 x USB 3.0|DisplayPort Yes,Ultrabook,DDR3L SDRAM,6-cell,Intel Core i7,2.10 GHz,256 GB,http : //www.hp.com,3 Year,13.3 in,9.75 Hour,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),microSD Card|microSD Extended Capacity ( microSDXC ) |microSDHC,Intel HD 4400,3.30 lbs,Platinum,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) 340 G1 14"" LED Notebook - Intel - Celeron 2980U 1.6GHz (2 GB RAM - 320 GB HDD - Intel HD Graphics - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.7 in,14 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam No,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad,2 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Celeron,1.60 GHz,,http : //www.hp.com,1 Year,13.7 in,,Windows 8.1,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),Intel HD Graphics,4.40 lbs,,320 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude E6430 14"" LED Notebook - Intel Core I5 I5-3340M 2.70 GHz (4 GB RAM - 128 GB SSD - DVD-Writer - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.7 in,14 in,LED Backlight,ENERGY STAR 5.2|EPEAT Gold,1.4 in,Built-In Microphone Yes|Built-In Webcam Yes,Gigabit Ethernet|Bluetooth 4.0 + LE,TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3 SDRAM,,Intel Core i5,2.70 GHz,128 GB,http : //www.dell.com,3 Year,14.1 in,,Windows 7 Professional,ExpressCard/54|Mini PCI Express,,5.52 lbs,,,DVDR/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo S1 Yoga 20CD002TUS Ultrabook/Tablet - 12.5"" - In-plane Switching IPS Technology - Intel - Core I5 I5-4200U 1.6GHz - Black (4 GB RAM - 180 GB SSD - Windows 8.1 Pro 64-bit - Convertible - 1920 X 1080 Multi-touch Screen Display LED Backlight)) Price Comparison at Buy.net",8.7 in,12.5 in,In-plane Switching ( IPS ) Technology LED Backlight,ENERGY STAR|RoHS,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Keyboard Backlight Yes,IEEE 802.11ac|Bluetooth 4.0,TouchPad|Trackpoint|Stylus|Touch Screen Yes,4 GB,2 x USB 3.0|HDMI Yes|Ethernet RJ-45 No,Ultrabook/Tablet,DDR3L SDRAM,8-cell,Intel Core i5,1.60 GHz,180 GB,http : //www.lenovo.com/us/en/,1 Year,12.4 in,7 Hour,Windows 8.1 Pro,Mini PCI Express|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MultiMediaCard ( MMC ),Intel HD 4400,3.59 lbs,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer LT41P07u-28052G50nii 10.1"" Touchscreen LED Netbook - Intel Celeron N2805 1.46 GHz (2 GB RAM - 500 GB HDD - Intel - Windows 8 32-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",7.2 in,10.1 in,LED Backlight,,1.3 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n,TouchPad|Touch Screen Yes,2 GB,2 x USB 2.0|HDMI Yes|VGA Yes|Audio Line Out Yes,Netbook,DDR3L SDRAM,3-cell,Intel Celeron,1.46 GHz,,http : //us.acer.com,,10.1 in,5 Hour,Windows 8,Secure Digital ( SD ) Card,Intel,2.38 lbs,,500 GB,,2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio 9470m 14.0"" LED Ultrabook - Intel - Core I7 I7-3687U 2.1GHz - Platinum (8 GB RAM - 256 GB SSD - Intel HD 4000 - Windows 7 Professional 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,14 in,LED Backlight,RoHS|WEEE|IT Eco Declaration|EPEAT Silver|ENERGY STAR,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,8 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|DisplayPort Yes,Ultrabook,DDR3 SDRAM,4-cell,Intel Core i7,2.10 GHz,256 GB,http : //www.hp.com,1 Year,13.3 in,10 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MMCplus,Intel HD 4000,3.56 lbs,Platinum,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 8560p 15.6"" Silver Notebook (2.3 GHz Intel Core I5 2410M, 4 GB DDR3, 500 GB HDD, DVD±RW DL, Radeon HD 6470M, Windows 7 Professional, LED Backlight) Price Comparison at Buy.net",9.9 in,15.6 in,LED Backlight,ENERGY STAR|EPEAT Gold,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet|Bluetooth 2.1,TouchPad|Pointstick,4 GB,3 x USB 2.0|2 x USB 3.0|Firewire Yes|Ethernet RJ-45 Yes|Modem RJ-11 Yes|eSATA/USB Combo Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i5,2.30 GHz,,http : //www.hp.com,1 Year,14.7 in,7.25 Hour,Windows 7 Professional,ExpressCard/54|Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),AMD Radeon HD 6470M,6.27 lbs,,500 GB,DVD-RAM/R/RW,16 GB,,,,1366 x 768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 GB Dedicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude D620 Black 14.1"" Notebook (1.8 GHz Intel Core 2 Duo, 2 GB DDR3, 120 GB HDD, DVD±RW/BD-ROM, Windows 7 Home Premium) Price Comparison at Buy.net",,14 in,Active Matrix LCD ( TFT ),,,,Gigabit Ethernet,Touchpad|Keyboard,2 GB,VGA|USB - Universal Serial Bus 2.0|Serial - RJ11 ( Phone Jack ) |Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),,DDR3,,Intel Core 2 Duo,1.8 GHz,,http : //www.dell.com/us/dfb/p/latitude-d620/pd,90 day ( s ),,,Windows 7 Home Premium,SD Card,,,Black,120 GB,DVD+-RW|BD-ROM,4 GB,16 : 10,,,1440 x 900,1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro Silver 15.4"" Notebook (2.33 GHz Intel Core 2 Duo T7600, 2 GB DDR3, 120 GB HDD, DVD±RW, ATI Mobility Radeon X1600, Mac OS X 10.4 Tiger, LED Backlight) Price Comparison at Buy.net",9.6 in,15.4 in,LCD Display w/ Glossy Screen,Yes,1 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g|Gigabit Ethernet|Bluetooth 2.0,Track Pad,2 GB,2 x USB 2.0|Firewire Yes|DVI Yes,Notebook,DDR2 SDRAM,,Intel Core 2 Duo,2.33 GHz,,http : //www.apple.com,1 Year,14.1 in,5 Hour,Mac OS X 10.4 Tiger,ExpressCard/34,ATI Mobility Radeon X1600,5.60 lbs,,120 GB,DVDR/RW,2 GB,16 : 10,4 MB,256 MB,1440 x 900,1,,,,,667 MHz,1 '' Height x 14.10 '' Width x 9.60 '' Depth,,,,,,,,,,,,,,,,,,,,,,256 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Getac 14"" Touchscreen LED QuadraClear Notebook - Intel Core I5 I5-3320M 2.60 GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Windows 7 Professional - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.2 in,14 in,QuadraClear LED Backlight,EPEAT Gold,1.9 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,Touch Screen Yes,4 GB,1 x USB 2.0|3 x USB 3.0|Firewire Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|eSATA/USB Combo Yes,Notebook,DDR3 SDRAM,9-cell,Intel Core i5,2.60 GHz,,http : //www.getac.com,3 Year,13.7 in,,Windows 7 Professional,ExpressCard/54|PC Card Type II,,6.40 lbs,,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujitsu LIFEBOOK T902 Tablet PC - 13.3"" - Intel Core I5 I5-3230M 2.60 GHz (8 GB RAM - 500 GB HHD - DVD-Writer - Windows 7 Professional 64-bit - Convertible - 1600 X 900 Multi-touch Screen Display LED Backlight - Bluetooth - English US Keyboard) Price Comparison at Buy.net",9.6 in,13.3 in,LED Backlight,EPEAT Gold,1.3 in,Built-In Microphone Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 3.0,TouchPad|Stylus|Touch Screen Yes,8 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Tablet PC,DDR3 SDRAM,6-cell,Intel Core i5,2.60 GHz,,http : //us.fujitsu.com,3 Year,13.2 in,8.83 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ),Intel HD 4000,4.41 lbs,,,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio 9470m 14"" LED Notebook - Intel - Core I5 I5-3337U 1.8GHz - Platinum (4 GB RAM - 500 GB HDD - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,14 in,LED Backlight,ENERGY STAR|EPEAT Silver|WEEE|RoHS|IT Eco Declaration,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,4-cell,Intel Core i5,1.80 GHz,,http : //www.hp.com,1 Year,13.3 in,8.50 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |MMCplus|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4000,3.56 lbs,Platinum,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo X240 Black 12.5"" Ultrabook (2.1 GHz Intel Core I7-4600U, 8 GB DDR3, 256 GB SSD, Intel HD Graphics 4400, Windows 7 Pro, LED Backlight) Price Comparison at Buy.net",8.19 in,12.5 in,LCD Display w/ LED Backlight,RoHS|GREENGUARD|EPEAT Gold|Energy Star,0.79 in,Keyboard Backlight|Fingerprint Reader|Built-In Webcam,Gigabit Ethernet|Bluetooth,TrackPoint|Touchpad|Keyboard,8 GB,VGA|USB - Universal Serial Bus 3.0|Ethernet - RJ45|DisplayPort|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),Ultra Portable,DDR3,3-cell,Intel Core i7,2.1 GHz,256 GB,http : //shop.lenovo.com/us/en/laptops/thinkpad/x-series/x240/,3 year ( s ),12.02 in,8.7 hour ( s ),Windows 7 Professional,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ),Intel HD Graphics 4400,2.84 lbs,Black,,,8 GB,16 : 9,4 MB,,1366 x 768 ( WXGA ),,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T420 4236J22 14"" LED Notebook - Intel Core I5 I5-2520M 2.50 GHz - Black (4 GB RAM - 320 GB HDD - DVD-Writer - Intel HD 3000 - Windows 7 Professional 32-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",9.2 in,14 in,LED Backlight,RoHS|EPEAT Gold|ENERGY STAR,1.2 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11 a/g/n|Gigabit Ethernet|Bluetooth 3.0,TouchPad|Trackpoint,4 GB,4 x USB 2.0|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes|eSATA/USB Combo Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,9-cell,Intel Core i5,2.50 GHz,,http : //www.lenovo.com/us/en/,3 Year,13.4 in,15 Hour,Windows 7 Professional,ExpressCard/34|Secure Digital ( SD ) |Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ),Intel HD 3000,5.22 lbs,Black,320 GB,DVDR/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer ICONIA W4-820-Z3742G06aii 64 GB Net-tablet PC - 8"" - In-plane Switching IPS Technology - Intel Atom Z3740 1.33 GHz (2 GB RAM - Windows 8 32-bit - Slate - 1280 X 800 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",8.6 in,8 in,In-plane Switching ( IPS ) Technology LED Backlight,,0.4 in,Built-In Microphone Yes|Built-In Fingerprint Reader No,IEEE 802.11a/b/g/n,Touch Screen Yes,2 GB,HDMI Yes,Net-tablet PC,LPDDR3,2-cell,Intel Atom,1.33 GHz,,http : //us.acer.com,,5.3 in,,Windows 8,microSD|microSD Extended Capacity ( microSDXC ),Intel HD Graphics,14.64 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 17 17.3"" LED Notebook - Intel - Core I7 I7-4700MQ 2.4GHz - Graphite (8 GB RAM - 500 GB HDD - DVD-Writer - NVIDIA, Intel Quadro K610M, HD 4600 - Windows 7 Professional 64-bit English - 1600 X 900 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",10.7 in,17.3 in,LED Backlight,ENERGY STAR|RoHS|IT Eco Declaration|WEEE|EU WEEE,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + LE,TouchPad|Pointstick,8 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3 SDRAM,8-cell,Intel Core i7,2.40 GHz,,http : //www.hp.com,,16.4 in,,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),NVIDIA|Intel Quadro K610M|HD 4600,,Graphite,500 GB,DVD-RAM/R/RW,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Tecra Z50-A1501 15.6"" LED Ultrabook - Intel Core I5 I5-4300U 1.90 GHz - Cosmo Silver (8 GB RAM - 320 GB HDD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.9 in,15.6 in,LED Backlight,RoHS|ENERGY STAR|EPEAT Gold,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11ac|Gigabit Ethernet|Bluetooth 4.0,AccuPoint II|TouchPad,8 GB,1 x USB 2.0|3 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Ultrabook,DDR3L SDRAM,4-cell,Intel Core i5,1.90 GHz,,http : //www.toshiba.com,3 Year,14.9 in,8.63 Hour,Windows 7 Professional Upgradable to Windows 8.1 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |miniSD Card|microSD Card|Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ),Intel HD 4400,4.10 lbs,Cosmo Silver,320 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Chromebook 14-q049wm Red 14"" Notebook (1.4 GHz Intel Celeron 2955U, 4 GB DDR3, 16 GB SSD, Chrome OS, LED Backlight) Price Comparison at Buy.net",9.4 in,14 in,BrightView LED Backlight,EPEAT Silver,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n,ImagePad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes,Notebook,DDR3L SDRAM,4-cell,Intel Celeron,1.40 GHz,16 GB,http : //www.hp.com,,13.6 in,,Chrome OS,Secure Digital ( SD ) Card,Intel HD Graphics,4.07 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5-573P-54208G1Tarr 15.6"" Touchscreen LED Notebook - Intel Core I5 I5-4200U 1.60 GHz - Red (8 GB RAM - 1 TB HDD - Intel HD 4400 - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + HS,TouchPad|Touch Screen Yes,8 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,,http : //us.acer.com,,15 in,6.50 Hour,Windows 8.1,Secure Digital ( SD ) Card,Intel HD 4400,4.85 lbs,Red,1 TB,,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Chromebook 14-q030nr Coral 14"" Notebook (1.4 GGz Intel Celeron 2955U, 2 GB DDR3, 16 GB SSD, Intel HD Graphics, Chrome OS, LED Backlight) Price Comparison at Buy.net",,14 in,LED Backlight,RoHS,,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet,TouchPad,2 GB,Ethernet RJ-45 Yes,Notebook,,,Intel Celeron,1.40 GHz,16 GB,http : //www.hp.com,,,,Chrome OS,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo X240 Black 12.5"" Ultrabook (1.9 GHz Intel Core I5-4300U, 4 GB DDR3, 500 GB HDD, Intel HD Graphics 4400, Windows 7 Pro, LED Backlight) Price Comparison at Buy.net",8.19 in,12.5 in,Active Matrix LCD ( TFT ),EPEAT Gold,0.79 in,Keyboard Backlight|Fingerprint Reader|Built-In Webcam,Gigabit Ethernet|Bluetooth,TrackPoint|Touchpad|Keyboard,4 GB,VGA|USB - Universal Serial Bus 3.0|Ethernet - RJ45|DisplayPort|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),Ultra Portable,DDR3,3-cell,Intel Core i5,1.9 GHz,,http : //shop.lenovo.com/us/en/laptops/thinkpad/x-series/x240/,1 year ( s ),12.02 in,,Windows 7 Professional,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ),Intel HD Graphics 4400,2.84 lbs,Black,500 GB,,8 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5-131-10174G50akk 11.6"" LED Notebook - Intel Celeron 1017U 1.60 GHz (4 GB RAM - 500 GB HDD - Intel HD Graphics - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8 in,11.6 in,LED Backlight,ENERGY STAR,1.1 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Fast Ethernet|Bluetooth 4.0 + HS,TouchPad,4 GB,3 x USB 2.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Celeron,1.60 GHz,,http : //us.acer.com,,11.2 in,6.50 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD Graphics,3.26 lbs,,500 GB,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
