<page title>,capacity,depth,dockable,height,ram,run time,speed,system type,technology,type,weight,widescreen,width,cache memory,device type,flash memory,form factor,interface,memory speed,monitor type,power provided,installed size,interface type,spindle speed,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,localization,manufacturer selling program,manufacturer warranty,memory,networking,operating system,optical drive,processor,product description,security,storage,system type,weight,empty slots,features,slots qty,automatic duplexing,interface,max resolution bw,microsoft certification,monthly duty cycle max,print speed,printer type,ram installed max,total media capacity,aspect ratio,backlight life,brightness,color,diagonal size,interfaces,panel type,pixel pitch,power supply,response time,screen coating,viewable size,product type,resolution,storage,touchscreen,channel qty,localization,raid level,video memory,card reader,image enhancement technology,language simulation,max media size,max resolution color,media handling,media size class,media type,power,system requirements,main storage,optical drive,color,case material,battery life,battery type,best buy pc app,bluetoothenabled,bluray player,builtin webcam,cache memory,computer hard drive size,digital media reader or slots,directdisc labeling,display type,drive capacity,energy star certified,epeat qualified,game ports,graphics card,graphics chip,hard drive type,hdmi output,ieee 1394 firewire ports,laptop weight,modem,mpeg,operating system bit version,operating system platform,parallel ports,pcmcia slots,pointing device,processor brand,processor speed,screen size measured diagonally,speakers,svideo outputs,system memory ram,system memory ram expandable to,tv tuner,type of memory ram,usb 20 ports,video memory,wireless networking,bypass feeder capacity,copier type,device type,document feeder capacity,fax resolutions,fax type,max copying resolution,max copying speed,max fax transmission speed,max media capacity,max printing resolution,max printing speed,media size,office machine features,original size,original type,output trays capacity,pc connection,pc connection availability,printing technology,scanning,standard media capacity,hard drive size,keyboard description,network card,other control devices mouse etc,recordable dvd drive,recordable dvd drive speeds,software included,tilt,touchscreen,audio output,cache per processor,camera,card reader,form factor,graphics controller,hard drive,monitor,optical storage,os provided,platform technology,processor main features,processor socket,ram,storage controller,type,2in1,audio,customized convenience,more expansion less expense,solid security,receiver,backlit keyboard,gaming series,included software,optical drive speeds,wireless display,adobe flash compatible,data plan required,digital camera,digital camera pixels,front facing webcam,front facing webcam pixels,gps enabled,gps enabled with,headphone jack,internal storage type,pricematch,sd card slot,storage capacity,wifi built in,installed qty,beautifully slim,everlasting memories,sensational fun,superior productivity,wireless,power,microsoft office preloaded,contrast ratio,pixel per inch,speakers,automatic document feeder,automatic document reduction,automatic redial,available print modes,bit depth,black printer resolution,color printer resolution,copier resolution dpi,copier speed bw,copier speed color,document feed type and capacity,duty cycle,fax transmission speed,fontstypefaces,input paper capacity,media sizes,media types,minimum system requirements,multiple copies,networking capabilities,number of speed dials,output paper capacity,pcfree printing,print quality,print speed bw,print speed color,reduction enlargement,scan method,scanner resolution dpi,scanner type,total ink tankscartridge,twosided printer,type of interface,os provided,additional audiovideo connectors,connectivity,mechanical design,batteries needed,battery included,battery quantity,color category,connection type,cordlesswireless,ergonomic,leftrighthanded design,mac compatible,optical technology,port connection,type of pointing device,sharing files and documents is a snap,get connected in more ways than one,store it all,carrier,processor,aspect ratio,brightness,builtin devices,color support,compliant standards,contrast ratio,display position adjustments,input connectors,native resolution,panel type,pixel pitch,response time,all media,connect,do more,easy fun,memory,vesa support,ink palette supported colors,inkjet technology,printer features,product type,max media size custom,ssd cache,sound emission,hard drive capacity,number of ports,power consumption,bundled with,screen coating,fun shareable services,hd video recording,inspiring mobile freedom in your life,location,processor clock speed,rich multimedia experience,sleek portable design,supported flash memory cards,wireless connectivity,amazing angles with ips,beauty and brains,hp and the environment on your side,jawdropping details,software that simplifies,compatibility,dvid input,dvid with hdcp input,hdmi input,inputs,maximum resolution,product depth with stand,speakers included,vga input,airprint enabled,bundled services,min media size custom,pricing type,designed for,features,hot keys function,antiglare coating,horizontal frequency,monitor type,screen refresh rate,vertical frequency,fax memory,product depth without stand,additional features,5 customizable buttons,bluetrack technology,comfort and durability,tilt wheel,backlight technology,battery capacity,battery chemistry,dimensions w x d x h,display screen type,finger print reader,graphics controller manufacturer,graphics memory accessibility,graphics memory technology,hdmi,height,keyboard,maximum battery run time,maximum power supply wattage,memory card reader,memory card supported,memory technology,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system architecture,optical drive type,pointing device type,processor manufacturer,processor model,processor turbo speed,processor type,screen mode,screen resolution,screen size,solid state drive capacity,standard memory,total number of usb ports,webcam,wireless lan standard,battery indicator,scrolling wheel,drop size,paper feeder,green compliance,number of buttons,total print heads,bays,available expansion slots,gorgeous gaming power,included service,instinctfast response,optimum game control,spectacle of sound,input device,heavy security exceptionally managed,reliability for the long haul,the solution for diverse business demands,preview screen size,ips,portrait andor landscape viewable,at home in your environment,barcodes,featurerich and up to any task,print from a usb flash drive,recommended monthly volume,print on cddvd,wireless broadband wwan,dimensions,display format,hdmi ports qty,lan protocol,pc interface,power device,remote control,targeting,tv tuner,viewing angle,7 capacitive multitouch screen,battery run time,fast processor,frontfacing camera,movies and tv shows,responsive touch screen,slim lightweight portable,supported still image formats,supported text formats,flash memory installed max,speaker system,stand,stand design,read speed,series,incredible beauty vibrant portability,incredible cloud store share and sync,incredible sound incredible sound with sonicmaster,pricing type,killer gaming lan priority online gaming lead the way,outstanding management of power usage,carry less,durable and dependable,productive powerhouse,security you can depend on,the power of touch,display screen technology,ethernet technology,network rj45,number of usb 20 ports,processor core,vga,wireless capability,essential security,were right behind you,environmentally friendly,auto sensing,interface slot type,lan connection,number of lan ports,speed,ips panel provides vivid images on the go,supernote super great app for more than note taking,data compression system,onscreen image controls,zooming capabilities,document management also made easy,everything the small workgroup requires,keyboard design,mouse included,multimedia keys,palm rest,available expansion bays,10point multitouch display,four awesome modes one incredible device,instant resume,multimode keyboard,robust harddrive protection,rocksolid durability,print speed photo,antenna qty,frequency band,usb 30 and network connectivity,print documents and web pages fast,cables included,connectivity technology,movement detection technology,movement resolution,os required,performance,a powerful tablet doesnt have to be complicated,make the most of the real estate,make the most of your downtime,hp support,impressive audio and visual experience,power to perform,put it together,integrated options,sensors,detailoriented display,familyfriendly,low battery,magazines come to life,more productive than ever,security at your fingertips,security devices,ultrathin and lighter,dolby advanced audio v2,intel processor,precision keyboard,ultradurable and milspec tested,vga port,discrete graphics,ambibright,digital uniformity compensation,rapid response,add style and priority by customizing your home screen,meetings made easy no paper or servers necessary,powering entertainment and empowering productivity,seamless multi tasking four different ways,take web meetings to the next level,maximum memory,number of total memory slots,mounting kit,a classic timeless design,precise input,providing a smooth computing experience
Lenovo ThinkPad Edge E430 6271 - 14 - Core i3 3130M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 320 GB HDD,48 Wh,9.2 in,,1.3 in,,,,Notebook,DDR3 SDRAM,14,4.7 lbs,Yes,13.4 in ``,,,,,Serial ATA-300,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Anti-glare,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,ABS plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC EA244UHD 24"" 4K Widescreen Desktop Monitor with IPS Panel, 3840 x 2160",,,,,,,,,,,,,,,,,,,,,,,,,,22 in x 8.6 in x 15.2 in - with stand,,,ENERGY STAR Qualified,,,,3 years warranty,,,,,,NEC MultiSync EA244UHD-BK - LED monitor - 24 '',,,,19.2 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,,,,,,,,,,LED-backlit LCD monitor - 24 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widescreen - 16 : 9,350 cd/m2,USB hub,1.07 billion colors,,1000 : 1,"Height , pivot ( rotation ) , swivel , tilt","2xHDMI , 2xDVI-D , 2xDisplayPort",3840 x 2160,AH-IPS,0.14 mm,6 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite L55-A5168 15.6"" Notebook Computer, Intel Core i5-4200U 1.6GHz, 8GB RAM, 500GB HDD, Windows 8.1",,,,,,,,,,,,,,,,,,,,,,,,,4-cell - up to 6.75 hours,14.9 in x 9.6 in x 1.1 in,15.6 '' LED backlight TruBrite 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,United States,,1 year warranty,8 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Toshiba Satellite L55-A5168 - 15.6 '' - Core i5 4200U - Windows 8.1 - 8 GB RAM - 500 GB HDD,,500 GB HDD / 5400 rpm,Notebook,5.4 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mercury silver in fusion horizon , black keyboard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricoh Aficio SP 311DNw B&W Wireless Laser Printer, 30ppm Speed, 250 Sheets Standard Tray, 1200x600 dpi, USB 2.0, 10/100Base-TX Ethernet",,,,,,,,,,,,,,,,,,,,,,,,,,14.6 in x 15 in x 10.3 in,,,,,,,,,Print server,,,360 MHz,Ricoh SP 311DNw - printer - monochrome - laser,,,,28 lbs,,,,Yes,"USB 2.0 , LAN , Wi-Fi ( n )",1200 x 600 dpi,,20000 pages,Up to 30 ppm - B/W - Letter A Size ( 8.5 in x 11 in ),Workgroup printer - laser - monochrome,128 MB ( 128 MB ),300 sheets,,,,,,,,,,,,,,,,,,,,,,,"PCL 5E , PCL 6",ANSI A ( Letter ) ( 216 x 279 mm ),,"250-sheet input tray , 50-sheet bypass tray",Legal,"Plain paper , recycled paper",AC 120 V,"Microsoft Windows XP , Microsoft Windows Server 2003 , Microsoft Windows 7 , Microsoft Windows Vista , Microsoft Windows Server 2008 , Microsoft Windows Server 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5 in x 14 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55 in x 5.5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Slate 21-k100 - Tegra 4 T40S 1.66 GHz - 1 GB - 0 GB - LED 21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android 4.2 Jelly Bean,,NVIDIA Tegra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,Yes,32KB I-cache on die Level 3 ; unified : 2MB on die Level 2,,"Yes , digital media card reader",No,,8GB,No,No,,,,Flash,No,,,,,,Android,,,,NVIDIA,1.66GHz ( up to 1.8GHz with dual- and single-core modes ),21.5 '',Internal,,1GB,Nonexpandable,No,DDR3 SDRAM,"3 ( 1 side , 2 rear )",,Built-in 802.11a/b/g/n wireless LAN,,,,,,,,,,,,,,,,,,,,,,,8GB,Wired,Built-in Ethernet LAN 10/100 ( RJ-45 connector ),Wired mouse,,,Google Play ; Kingsoft Office and more,Yes,Yes,,,,,,,,,,,,,,,,,,DTS Sound+,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS All-in-One PC ET2322IUKH - Core i3 4010U 1.7 GHz - 4 GB - 500 GB - LED 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® HD Graphics 4400,,,,,,Windows 8,,Intel® 4th Generation Core™ i3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,Yes,3MB,,"Yes , digital media card reader",No,,500GB,No,Yes,,,,SATA ( 7200 rpm ),Yes,,,,,64-bit,Windows,,,,Intel®,1.7GHz,23 '',Internal,,4GB,16GB,No,DDR3 SDRAM,2 USB 3.0 ( rear ) ; 3 USB 2.0 ( rear ),Shared,Built-in 802.11b/g/n wireless LAN,,,,,,,,,,,,,,,,,,,,,,,500GB,Wired,Built-in Gigabit Ethernet LAN ( RJ-45 connector ),Wired mouse,"Yes , DVD±RW/CD-RW",Drive speeds not specified,,Yes,No,,,,,,,,,,,,,,,,,,SonicMaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ProBook 430 G1 - 13.3"" - Core i3 4010U - Windows 8 64-bit - 4 GB RAM - 320 GB HDD",,,,,,,,,,,,,,,,,,,,,,,,,4-cell - up to 8.5 hours,12.8 in x 9.2 in x 0.8 in,13.3 '' LED backlight HD anti-glare 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,English / United States,HP Smart Buy,1 year warranty,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 8 64-bit,,Intel Core i3 ( 4th Gen ) 4010U / 1.7 GHz / 3 MB Cache,HP ProBook 430 G1 - 13.3 '' - Core i3 4010U - Windows 8 64-bit - 4 GB RAM - 320 GB HDD,Fingerprint reader,320 GB HDD / 5400 rpm,Notebook,3.3 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad Yoga 12.5"" Convertible 2 In 1 Multi-Touch Ultrabook Computer, Intel Core i7-4500U 1.8GHz, 8GB RAM, 256GB SSD, Windows 8.1",,,,,,,,,,,,,,,,,,,,,,,,,8-cell - up to 7 hours,12.4 in x 8.7 in x 0.7 in,12.5 '' LED backlight touchscreen 1920 x 1080 / Full HD,,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,,,1 year warranty,8 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8.1 64-bit - English,,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Lenovo ThinkPad S1 Yoga 20CD - 12.5 '' - Core i7 4500U - Windows 8.1 64-bit - 8 GB RAM - 256 GB SSD,Trusted Platform Module ( TPM 1.2 ) Security Chip,256 GB SSD,Ultrabook,3.5 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 degree flip design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Interact with your ThinkPad Yoga by using simple , intuitive gestures directly on the 12.5 '' HD or FHD 10-point multitouch display . Its advanced multitouch technology provides a superior touch experience , greater responsiveness , and faster response times .","Easily change between four modes - laptop , stand , tablet , and tent - while your system automatically switches system settings and locks the keyboard in place . The secret : ThinkPad Yoga 's unique design and touchscreen display allows the screen to flip around 360 degrees , which means you can select the mode you use based on what you choose to do .",Stay productive by picking up where you left off in an instant . The ThinkPad Yoga wakes from sleep mode in less than 2 seconds and from hibernation in less than 7 seconds .,"Pioneering ultrabooks need pioneering keyboards - and the ThinkPad Yoga 's lift-and-lock keyboard fits the bill . When your Yoga switches between modes , the keyboard frame automatically rises and the keys lock , eliminating accidental keystrokes and providing a more comfortable grip .",Enjoy peace of mind knowing that your data is protected . The ThinkPad Yoga 's active protection system locks and protects your HDD when it detects sudden movements - it 's like having an airbag for your hard drive .,"The ThinkPad Yoga 's durable magnesium-alloy frame and heavy-duty , scratch- and smudge-resistant Corning Gorilla Glass display means it can handle tough treatment from even the hardiest road warrior .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC AccuSync AS222WM-BK - LED monitor - 22,,,,,,,,,,,9 lbs `` 9 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 cd/m2,Black,22,DVI-D ﾦ VGA,TN,0.25 mm,,5 ms,,21.5 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 : 1,102 ppi,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DoubleSight DS-90U - LCD monitor - 8.9""",,,,,,,,,,,,,,,,,,,,,,,,,,9 in x 1 in x 5.7 in,,,,,,,3 years warranty,,,,,,DoubleSight DS-90U - LCD monitor - 8.9 '',,,,1.5 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD monitor - 8.9 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widescreen - 16 : 10,200 cd/m2,,,,300 : 1,"Height , pivot ( rotation ) , tilt",USB,1024 x 600,,,30 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pro 610 G1 - 10.1 - Atom Z3795 - Windows 8.1 Pro 64-bit - 4 GB RAM - 64 GB SSD,31 Wh,7.1 in,,0.4 in,4 GB,,1067 MHz,Tablet,LPDDR3 SDRAM,10.1,1437.4 lbs,Yes,10.2 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphite,,,,,,,,,,,,,,,,,,,,,,,,,,,64 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Compaq Elite 8300 - Core i5 3470 3.2 GHz - 4 GB - 500 GB,1 x 500 GB,14.9 in,,3.9 in,,,,,,HDD Integrated,16.8 lbs,,13.3 in,,Power supply,,DIMM 240-pin,,,None .,240 Watt,6 MB,SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,Unbuffered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon imageCLASS MF4890DW Monochrome Multifunction Laser Printer, 600x600dpi, 26ppm Simplex/16ppm Duplex Print Speed - Print, Scan, Copy, Fax",,,,,,,,,,,,,,,,,,,,,,,,,,15.4 in x 14.5 in x 14.2 in,,,"ENERGY STAR Qualified , EPEAT Bronze",,,,1 year warranty,,,,,,Canon ImageCLASS MF4890dw - multifunction printer ( B/W ),,,,28.2 lbs,,,,Yes ( copying ) Yes ( printing ),,,Compatible with Windows 7,10000 impressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Transparencies , envelopes , plain paper , labels , recycled paper , heavy-weight paper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 sheets,Digital,Fax / copier / printer / scanner,50 sheets,200 x 400 dpi,Super G3 - plain paper,Up to 600 x 600 dpi,Up to 26 ppm,33.6 Kbps,,Up to 1200 x 600 dpi,Up to 26 ppm,"Legal ( 216 x 356 mm ) , A4 ( 210 x 297 mm ) ( max )",,5 in x 5.5 in ( min ) - Legal ( 8.5 in x 14 in ) ( max ),Sheets,100 sheets,"USB 2.0 , LAN , Wi-Fi ( n )",Yes,Laser ( monochrome ),600 x 600 dpi,250 sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
