<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"60002795, 3967200, NEC Display Solutions, LCD Monitor, Itenergy Ltd",,,,5:4,,NEC Display,250 cd/mÂ²,,,Black Silver,,"1,000:1",61 mm,,,Yes,,TCO Displays 5.0 ENERGY STAR,Yes,,,,320.5 mm,170Â°,,NEC Display Solutions,60002795,1280 x 1024,1.0,,,,,PC,MultiSync,LCD175M,MultiSyncLCD175M LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,,,,,170Â°,,,Yes,4 kg,368 mm,230 mm,408.50 mm,,,368 mm,,,,,,,,,,,6.50 kg,,,,,,,,,,,,,,,,,,,,,Plug and Play,
"247E4LHSB/00, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,,BSMICCCCE MarkFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,Glossy Black,16.7 Million Colours,"1,000:1",39 mm,,,,Security Lock TrueVision Touch Controls Sync on Green SmartImage,TCO Certified Displays 6.0 WEEE RoHS EPEAT Silver ENERGY STAR 6.0,Yes,,Yes,Yes,348 mm,178Â°,,Philips Electronics,247E4LHSB/00,1920 x 1080,1.0,,17.20 W,,,Mac PC,,247E4LHSB,LCD Monitor with SmartImage Lite,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,60 Hz,500 mW,,,170Â°,,,Yes,3.16 kg,557 mm,193 mm,434 mm,220 V AC 110 V AC,,557 mm,,,,,,300 mW,E,,,,3.44 kg,,,,,,,,,,,,,,,,,,,,,,
"C9F26AA#ABM, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,,,Black,,"3,000,000:1",47.5 mm,,,Yes,,TCO Certified Edge ENERGY STAR,Yes,,,,294.1 mm,,3 Year,Hewlett-Packard,C9F26AA#ABM,1600 x 900,1.0,,22 W,ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD,,,ProDisplay,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,,,,,,,Yes,3.50 kg,482 mm,151.10 mm,359.20 mm,,,482 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"9H.LC5LB.RBE, M352478, BenQ, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,BenQ,350 cd/mÂ²,USB Hub,,Red Black,16.7 Million Colours,"12,000,000:1",149 mm,,Yes,Yes,Black eQualizer Security Lock Game Mode Motion Blur Reduction Technology LightBoost Technology Smart Scaling Advanced Motion Accelerator (AMA) Senseye 3 Flicker-free,,,Yes,Yes,,516 mm,170Â°,,BenQ Corporation,9H.LC5LB.RBE,1920 x 1080,1.0,,45 W,,,PC,,XL2420Z,XL2420Z Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",,144 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,6.10 kg,571 mm,,,220 V AC 110 V AC,,,,,,,130 mm,,XL,,35Â°,-5Â°to20Â°,,,,Wall Mountable,,,3D Ready,Yes,,,,,,,,,,,,,,,
"C6Y18A4#ABT, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"1,000,000:1",49.5 mm,,Yes,Yes,,TCO Certified Displays ENERGY STAR WEEE Taiwan Green Mark RoHS REACH China Energy Label (CEL) CECP,Yes,,,,334.2 mm,,3 Year,Hewlett-Packard,C6Y18A4#ABT,1920 x 1080,1.0,,40 W,ZR2330w 23-inch IPS LED Backlit MonitorAC Power CableUSB CableVGA CableDisplayPort CablePrinted Documentation and CD,,,,ZR2330w,ZR2330w 23-inch IPS LED Backlit Monitor,LCD Monitor,14 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,4.10 kg,551.5 mm,249.40 mm,467 mm,,,551.50 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"9H.LA6LB.QPE, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,BenQ,250 cd/mÂ²,,,Glossy Black,16.7 Million Colours,"1,000:1",194 mm,,,Yes,Eco Mode Senseye 3,TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,Yes,,,434 mm,170Â°,,BenQ Corporation,9H.LA6LB.QPE,1920 x 1080,1.0,,23 W,,,PC,,GL2460,GL2460 Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,,300 mW,,,160Â°,Yes,100 x 100,Yes,4.30 kg,565 mm,,,220 V AC 110 V AC,,,,,,,,,GL60,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"VA2046A-LED, B921483, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Viewsonic,200 cd/mÂ²,,CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO Ukraine CCC BSMI PSB C-TICK,Black,16.2 Million Colours,600:1,49 mm,,,No,Security Lock Eco Mode,WEEE China Energy Label (CEL) RoHS,Yes,No,No,,301.8 mm,90Â°,2 Year,Viewsonic Corporation,VA2046A-LED,1600 x 900,1.0,,18 W,20'' LED Display 1 x Power Cable 1 x D-Sub Cable 1 x Quick Start Guide 1 x CD-ROM,,PC Mac,,VA2046a-LED,20'' LED Display,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",No,75 Hz,,No,,65Â°,Yes,100 x 100,Yes,2.60 kg,478.2 mm,197.60 mm,360.20 mm,220 V AC 110 V AC,Anti-glare,478.20 mm,,,,,,,,,,,3 kg,,,Wall Mountable,,,,,,,,,,,,,".sep { font-family: Arial, Helvetica, sans-serif; font-size: 8pt; color: #b0b0b0; background-color: #b0b0b0; margin-bottom: 20pt; }
.spec { font-family: Arial, Helvetica, sans-serif; margin-bottom: 5pt; font-size: 8pt; }
.sect { font-family: Arial, Helvetica, sans-serif; font-size: 8pt; font-weight: bold; }
.para { font-family: Arial, Helvetica, sans-serif; font-weight: bold; font-siez: 10pt; background-color: #b0b0b0; color: black; }
.descr { font-family: Arial, Helvetica, sans-serif; font-size: 10pt; }
Details
General Information
Manufacturer
Viewsonic Corporation
Manufacturer Part Number
VA2046A-LED
Brand Name
Viewsonic
Product Model
VA2046a-LED
Product Name
20'' LED Display
Product Type
LCD Monitor
Technical Information
Number of Screens
1
Screen Size
50.8 cm (20"")
Screen Mode
HD+
Screen Surface
Anti-glare
Response Time
5 ms
Aspect Ratio
16:9
Horizontal Viewing Angle
90Â°
Vertical Viewing Angle
65Â°
Adjustable Display Angle
Yes
Mount Type
Wall Mountable
Backlight Technology
LED
HDCP Supported
No
Features
Eco Mode
Features
Security Lock
Video
Maximum Resolution
1600 x 900
Standard Refresh Rate
75 Hz
Colour Support
16.2 Million Colours
Contrast Ratio
600:1
Brightness
200 cd/mÂ²
Audio
Speakers
No
Interfaces/Ports
DVI
No
HDMI
No
USB
No
VGA
Yes
Power Description
Input Voltage
110 V AC
Input Voltage
220 V AC
Operating Power Consumption
18 W
Physical Characteristics
VESA Mount Compatible
Yes
VESA Mount Standard
100 x 100
Colour
Black
Height
301.8 mm
Width
478.2 mm
Depth
49 mm
Height with Stand
360.20 mm
Width with Stand
478.20 mm
Depth with Stand
197.60 mm
Weight (Approximate)
2.60 kg
Weight with Stand (Approximate)
3 kg
Miscellaneous
Package Contents
20'' LED Display 1 x Power Cable 1 x D-Sub Cable 1 x Quick Start Guide 1 x CD-ROM
Certifications & Standards
CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO Ukraine CCC BSMI PSB C-TICK
Platform Supported
PC
Platform Supported
Mac
Green Compliant
Yes
Green Compliance Certificate/Authority
WEEE
Green Compliance Certificate/Authority
RoHS
Green Compliance Certificate/Authority
China Energy Label (CEL)
Warranty
Limited Warranty
2 Year
No accessories available
Product feature could not be found.",VA2046A-LED,"Viewsonic VA2046a-LED 50.8 cm (20"")
LED LCD Monitor - 16:9 - 5 ms -
Adjustable Display Angle - 1600 x
900 - 16.2 Million Colours - 200
cd/mÃ¯Â¿Â½ - 600:1 - HD+ - VGA - 18 W
- Black - WEEE, RoHS, China Energy
Label (CEL)",B921483,660 - Available,,
"T52DEEU, LENMON044, Lenovo, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Lenovo,200 cd/mÂ²,,UL,Raven Black,,400:1,21.5 mm,,,,,RoHS ENERGY STAR EPEAT Gold,Yes,,,,217.9 mm,90Â°,3 Year,Lenovo Group Limited,T52DEEU,1366 x 768,1.0,,5 W,LT1421 Widescreen LCD MonitorUSB Cable,,,ThinkVision,LT1421,LT1421 Widescreen LCD Monitor,LCD Monitor,8 ms,WXGA,"35.6 cm (14"")",,,100 mW,Yes,USB 2.0,50Â°,No,,,870 g,335 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34UM65-P, 2975677, LG Electronics, LCD Monitor, Itenergy Ltd",No,No,No,21:9,LED,LG,300 cd/mÂ²,Speaker,,Black,,"5,000,000:1",82.9 mm,,Yes,Yes,Flicker-free Dual Link-up Split Screen Reading Mode,TÃV,Yes,Yes,Yes,,379.8 mm,178Â°,,LG Electronics,34UM65-P,2560 x 1080,1.0,2.0,,,In-plane Switching (IPS) Technology,PC Mac,,34UM65-P,34UM65-P Widescreen LCD Monitor,LCD Monitor,14 ms,UW-UXGA,"86.4 cm (34"")",Yes,,,,,178Â°,Yes,,,7.69 kg,829.9 mm,172.90 mm,468.90 mm,,Anti-glare,829.90 mm,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
"C6Y18A4#UUZ, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"1,000,000:1",49.5 mm,,Yes,Yes,,China Energy Label (CEL) CECP Taiwan Green Mark RoHS REACH TCO Certified Displays ENERGY STAR WEEE,Yes,,,,334.2 mm,,3 Year,Hewlett-Packard,C6Y18A4#UUZ,1920 x 1080,1.0,,40 W,ZR2330w 23-inch IPS LED Backlit MonitorAC Power CableUSB CableVGA CableDisplayPort CablePrinted Documentation and CD,,,,ZR2330w,ZR2330w 23-inch IPS LED Backlit Monitor,LCD Monitor,14 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,4.10 kg,551.5 mm,249.40 mm,467 mm,,,551.50 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"859-10189, Dell, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Dell,250 cd/mÂ²,,EMC,Black,16.7 Million Colours,"1,000:1",52 mm,,,Yes,Security Lock Cable Management,TCO Certified Displays ENERGY STAR EPEAT Gold,Yes,Yes,,,323.3 mm,170Â°,3 Year,"Dell, Inc",859-10189,1920 x 1080,1.0,,30 W,"E-series E2313H 23"" (58cm) LED Monitor VGA,DVI-D (1920x1080) Black VGA Cable Stand Power Cable DVI Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide",,,,E2313H,"E-series E2313H 23"" (58cm) LED Monitor VGA,DVI-D (1920x1080) Black",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.46 kg,546.4 mm,180.10 mm,404.80 mm,220 V AC 110 V AC,Anti-glare,546.40 mm,,,,,,,E,,,,,,,Wall Mountable,,25%,,Yes,,,,,,,,,,,,,,,
"A1X76AA#ABU, 94389XM, HP, LCD Monitor, Itenergy Ltd",,,No,4:3,LED,HP,300 cd/mÂ²,Speaker USB Hub,UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001,Jack Black,,"1,000:1",40.6 mm,,Yes,Yes,Security Lock,China Energy Label (CEL) REACH Eco-label IT Eco Declaration ENERGY STAR WEEE EPEAT Gold,Yes,Yes,,,208.3 mm,176Â°,,Hewlett-Packard,A1X76AA#ABU,1024 x 768,1.0,2.0,18 W,,,PC,,L6010,L6010 10.4-inch Retail Monitor,LCD Monitor,25 ms,XGA,"26.4 cm (10.4"")",Yes,60 Hz,1 W,Yes,USB 2.0,176Â°,Yes,75 x 75,Yes,1.20 kg,254 mm,,,220 V AC 110 V AC,Anti-glare Anti-static,,,,,,,500 mW,,,,,,,,,,,,Yes,15.7% Plastic,,,,,,,,,,,,,,
"HW246HBB, V320091, Hannspree, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Hanns.G,250 cd/mÂ²,,,Black White,,"40,000,000:1",,,,,,,,,Yes,,,,,"Hannspree, Inc",HW246HBB,1920 x 1080,1.0,,,,,,,HW246HBB,HW246HBB Widescreen LCD Monitor,LCD Monitor,5 ms,,"59.9 cm (23.6"")",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LAALB.QBE, 2819843, BenQ, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,,BenQ,350 cd/mÂ²,USB Hub,,Black,1.07 Billion Colors,"1,000:1",,,Yes,Yes,Brightness Sensor Security Lock Senseye 3 Eco Mode Ambient Light Sensor,TCO Certified Displays 6.0,Yes,Yes,Yes,Yes,,178Â°,,BenQ Corporation,9H.LAALB.QBE,2560 x 1440,1.0,2.0,,,Advanced Hyper Viewing Angle (AHVA),Mac PC,,BL2710PT,BL2710PT Widescreen LCD Monitor,LCD Monitor,4 ms,WQHD,"68.6 cm (27"")",Yes,,,Yes,USB 3.0,178Â°,Yes,100 x 100,Yes,8.20 kg,,259 mm,525 mm,220 V AC 110 V AC,,639 mm,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.VB6EE.005, 8654R91, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Acer,250 cd/mÂ²,Speaker,,Dark Grey,16.7 Million Colours,"100,000,000:1",,,Yes,Yes,,EPEAT Gold TCO Certified Displays 6.0,Yes,Yes,No,,,178Â°,3 Year,"Acer, Inc",UM.VB6EE.005,1920 x 1080,1.0,2.0,21.90 W,B236HL Widescreen LCD Monitor1 x VGA Cable1 x DisplayPort Cable1 x DVI CablePower Cord,In-plane Switching (IPS) Technology,,,B236HL,B236HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",Yes,60 Hz,450 mW,,,178Â°,Yes,100 x 100,Yes,,,,,220 V AC 110 V AC,Anti-glare,,,,,,150 mm,350 mW,B,,60Â°,-5Â°to35Â°,,36 kWh,B,,,,,,,,,,,,,,,,,,,,
"E5H53AA#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,300 cd/mÂ²,Speaker,FCC CSA CE KC / KCC e-Standby NOM CCC VCCI EAC C-Tick PSB ISC BSMI WHQL S-mark,Silver White Black,,"10,000,000:1",160.7 mm,,,,Ultra Slim Mobile High-Definition Link (MHL),China Energy Label (CEL) REACH TÃV ENERGY STAR TCO Certified Displays,Yes,Yes,Yes,Yes,428.5 mm,178Â°,1 Year,Hewlett-Packard,E5H53AA#ABU,1920 x 1080,1.0,2.0,54 W,"ENVY 24 60.5 cm (23.8"") Diagonal IPS Monitor with Beats Audio(E5H53AA) Documentation Kit AC Power Cable VGA Cable Stereo Audio Cable HDMI Cable MHL Cable",In-plane Switching (IPS) Technology,PC,Envy,,"Envy 24 60.5 cm (23.8"") Diagonal IPS Monitor with Beats Audio(E5H53AA)",LCD Monitor,7 ms,Full HD,"60.5 cm (23.8"")",Yes,60 Hz,,,,178Â°,Yes,,Yes,5.15 kg,539.4 mm,,,,,,,,,,,,,,,-5Â°Up to25Â°,,,,,,,,,,,,,,,,,,,,,,,
"24MB35PM-B, 4065873, LG Electronics, LCD Monitor, Itenergy Ltd",,,,16:9,LED,LG,250 cd/mÂ²,Speaker,,Black,,"5,000,000:1",,,,Yes,,,,,,,,,,LG Electronics,24MB35PM-B,1920 x 1080,1.0,,,,In-plane Switching (IPS) Technology,,,24MB35PM-B,24MB35PM-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9F26AA#ABB, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,,,Black,,"1,000:1",47.5 mm,,,Yes,Security Lock,ENERGY STAR TCO Certified Displays EPEAT Gold,Yes,Yes,,,294.1 mm,170Â°,3 Year,Hewlett-Packard,C9F26AA#ABB,1600 x 900,1.0,,22 W,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD",,,Essential,P201,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,500 mW,,,160Â°,Yes,100 x 100,Yes,3.50 kg,482 mm,151.10 mm,359.20 mm,110 V AC 220 V AC,Anti-glare,482 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2283HS-B1, II-E2283HS-B1, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,250 cd/mÂ²,Speaker,CE TUV-GS VCCI-B CU ISO-9241-307:2008,Black,16.7 Million Colours,"5,000,000:1",193 mm,,,Yes,OverDrive Flicker-free Display Power Management Signaling (DPMS) Security Lock,TCO Certified Displays ENERGY STAR EPEAT Silver,Yes,Yes,Yes,Yes,382.5 mm,170Â°,3 Year,"iiyama North America, Inc",E2283HS-B1,1920 x 1080,1.0,2.0,21 W,ProLite E2283HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,Twisted Nematic Film (TN Film),Mac PC,ProLite,E2283HS,ProLite E2283HS Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",Yes,75 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3 kg,505.5 mm,,,120 V AC 230 V AC,,,,,,,,,,,160Â°,5Â°to22Â°,,,,,,,,,,,,,,,,,,,,,,,
"C4D30AA#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,,CBCEFCC MarkingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R50377-1992GOST 25861EEIIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB MarkISC MarkC-Tick,Black Iridium Silver,,"1,000:1",171 mm,,,Yes,Security Lock,CECP ErP ENERGY STAR 5.2 WEEE REACH,Yes,Yes,Yes,,385 mm,178Â°,1 Year,Hewlett-Packard,C4D30AA#ABU,1920 x 1080,1.0,,28 W,"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor HDMI CableA/C Power CablePower AdapterVGA CableDVI-D CableDocumentation CD (Warranty, Drives)Setup PosterCable Management Clip",In-plane Switching (IPS) Technology,PC,Pavilion,22xi,"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"54.6 cm (21.5"")",,60 Hz,500 mW,,,178Â°,,,Yes,3 kg,499 mm,,,,Anti-glare,,,,,,,,,,,,,,,,,,,Yes,Plastic,,,,,,,,,,,,,,
"201BL2CB/00, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,Philips,250 cd/mÂ²,Speaker,BSMICEFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,Black,16.7 Million Colours,"1,000:1",49 mm,,,Yes,Security Lock SmartPower SmartImage,TCO Certified Displays 5.2 RoHS EPEAT Gold ENERGY STAR 5.0,Yes,Yes,,Yes,316 mm,176Â°,2 Year,Philips Electronics,201BL2CB/00,1600 x 900,1.0,2.0,17 W,,,PC Mac,Brilliance,201BL2CB,"Brilliance LED Monitor 201BL2CB B-line 20"" / 50.8 cm with SmartImage",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,60 Hz,100 mW,Yes,USB 2.0,170Â°,Yes,100 x 100,Yes,3.69 kg,494 mm,220 mm,407 mm,220 V AC 110 V AC,,494 mm,,,,,,100 mW,B,,,,5.06 kg,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#ABT, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,CE CB KC KCC NOM PSB Ice TUV S CCC SEPA ISC VCCI FCC BSMI,Black,16.77 Million Colors,"1,000:1",51 mm,,Yes,Yes,Security Lock,ENERGY STAR TCO Certified Edge China Energy Label (CEL) CECP EPA EPEAT Gold REACH,Yes,Yes,,,329 mm,170Â°,3 Year,Hewlett-Packard,C9V75AA#ABT,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable Power Cord Printed Documentation And CD HP Display Assistant Software,,PC,Business,E231,EliteDisplay E231 23-inch LED Backlit Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",No,60 Hz,500 mW,Yes,USB 2.0,160Â°,Yes,,Yes,3.90 kg,544 mm,242.40 mm,469.90 mm,220 V AC 110 V AC,Anti-glare,544 mm,,,,,,,Advantage,No,,,6.10 kg,,,Wall Mountable,,,,,,No,,,,,,,,,,,,,
"C9V75AT#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"1,000:1",51 mm,,Yes,Yes,Security Lock,EPEAT Gold ENERGY STAR REACH WEEE TCO Certified Displays,Yes,Yes,,,329 mm,170Â°,3 Year,Hewlett-Packard,C9V75AT#ABU,1920 x 1080,1.0,,36 W,"EliteDisplay E231 58,4 cm (23'') LED Backlit MonitorVGA CableUSB CableAC Power CablePrinted DocumentationCD-ROM",,,Advantage,E231,"EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,500 mW,Yes,USB 2.0,160Â°,,,Yes,6.10 kg,544 mm,469.90 mm,242.40 mm,220 V AC 110 V AC,Anti-glare,544 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LS32D85KTSN/EN, 886P483, Samsung, LCD Monitor, Itenergy Ltd",,Yes,,16:9,LED,Samsung,300 cd/mÂ²,,,Black,1073 Million Colors,"3,000:1",68.6 mm,,Yes,Yes,Eco Light Sensor Magic Upscale Picture by Picture Off Timer MagicBright3 Eco Saving Display Power Management Signaling (DPMS) MultiScreen Split Screen Picture in Picture,TCO Certified Displays ENERGY STAR,Yes,Yes,Yes,,440.9 mm,178Â°,1 Year,Samsung,LS32D85KTSN/EN,2560 x 1440,1.0,,100 W,,,PC Mac,,S32D850T,"S32D850T - 32"" 850 Series QHD Business LED Monitor",LCD Monitor,5 ms,WQHD,"81.3 cm (32"")",,,400 mW,Yes,,178Â°,Yes,200 x 200,,9.40 kg,741.4 mm,279.91 mm,629.92 mm,120 V AC 230 V AC,,741.43 mm,,,,,130 mm,,850,,,,12.20 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LS27C570HS/EN, Samsung, LCD Monitor, Itenergy Ltd",Yes,,,,LED,Samsung,300 cd/mÂ²,,,High Glossy Black,16.7 Million Colours,"1,000:1",103 mm,,No,No,Magic Upscale Eco Saving MagicTune MagicBright3 MultiScreen,,,,Yes,,389 mm,178Â°,,Samsung,LS27C570HS/EN,1920 x 1080,1.0,,20 W,,,PC Mac,,S27C570H,S27C570H Widescreen LCD Monitor,LCD Monitor,5 ms,,"68.6 cm (27"")",No,,300 mW,No,,178Â°,,,Yes,4.85 kg,642 mm,200 mm,480.40 mm,220 V AC 110 V AC,,642 mm,,,,,,,570,,,,5.30 kg,,,,,,,,,,,,,,,,,,,,,,
"9H.LA2LA.TPU, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,BenQ,250 cd/mÂ²,,,Glossy Black,16.7 Million Colours,"3,000:1",174 mm,,,Yes,Security Lock Eco Mode Senseye 3,TCO Certified Displays 5.2 ENERGY STAR 5.2,Yes,Yes,,,400 mm,178Â°,,BenQ Corporation,9H.LA2LA.TPU,1920 x 1080,1.0,,21 W,,,PC,,GW2255,GW2255 Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",,,300 mW,,,178Â°,Yes,100 x 100,Yes,3.70 kg,525 mm,,,220 V AC 110 V AC,,,,,,,,,GW,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"B7M13AS#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,,HP,200 cd/mÂ²,,ULCULCEFCC Class BNOMICESTickBSMICCCTUV/SISCPSBWHQL,Black,,600:1,47.5 mm,,,Yes,Security Lock,China Energy Label (CEL) EPEAT Silver ENERGY STAR REACH,Yes,Yes,,,281.5 mm,90Â°,1 Year,Hewlett-Packard,B7M13AS#ABU,1366 x 768,1.0,,24 W,"W1972a 47 cm (18.5) LED Backlit LCD Monitor VGA cableAudio CableAC Power Cable""",,PC,Value,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,,,,,50Â°,,,Yes,,446.1 mm,170.20 mm,339.50 mm,110 V AC 220 V AC,Anti-glare,446.10 mm,,,,,,,,,,,2.70 kg,,,,,,,,,,,,,,,,,,,,,,
"857-BBBV, Dell, LCD Monitor, Itenergy Ltd",,,,5:4,LED,Dell,250 cd/mÂ²,USB Hub,,Black Silver,16.7 Million Colours,"2,000,000:1",46.5 mm,,Yes,Yes,,CECP RoHS China Energy Label (CEL) TCO Certified Displays EPEAT Gold ENERGY STAR 6.0,Yes,,,,336.3 mm,,3 Year,"Dell, Inc",857-BBBV,1280 x 1024,1.0,,37 W,,,,,P1914S,19 Monitor - P1914S,LCD Monitor,8 ms,SXGA,"48.3 cm (19"")",No,,,Yes,,,Yes,,Yes,2.76 kg,411.5 mm,,336.30 mm,,,411.48 mm,"Built to comply with
the latest environmental and regulatory standards, and protected by a
Premium Panel Guarantee and 3 years Advanced Exchange Service.","Fully adjustable stand and a comprehensive set of analog and
digital ports and cables.",,,,,,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
