<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy Acer 22"" V226WL BMD LED-LCD Monitor, Black Monitors - LED-LCD UM.EV6AA.001 today at PC Connection",EPEAT Gold TCO Displays 6.0,,22 in,,Yes,250 cd/m2,,3 Years,3 Years,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, VGA cable, DVI cable, power cord, documentation",,,6.80 lb(s),"16.5""h x 19.9""w x 8.2""d",limited,,,,250 nit(s),16.7 million colors,DVI HDDB15 Power,Power DVI VGA,"100,000,000:1",LED-backlit LCD,Widescreen,1680 x 1050,"(1) DVI
(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 24.2W (typ.); 0.5W (standby); 0.4W (off mode)",5 ms,170/160,Speakers Included Dual speakers,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Elite Spectrum Electric Projection Screen with Black Case, Matte Projector Screens ELECTRIC125H today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Matte White,,"Screen, IR remote control, 12v trigger adapter, documentation",Projection screen (motorized),,,"73.5""h x 121""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Projector Screen, Matte White, 1:1, 136in Projector Screens M136UWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black White,Wall mounting brackets sold separately.,"Screen, case, hardware, documentation",Projection screen,,,"95""h x 102.5""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 22"" 22MB65P-B LED-LCD Monitor, Black Monitors - LED-LCD 22MB65P-B today at PC Connection",DDC/CI ISO 13406-2 TUV Ergo TUV GS CUL TCO Displays 6.0 Plug and Play,Pivot (rotation) Height Tilt Swivel,22 in,0.282 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Economy Electric Projection Screen, White Case, 120in Projector Screens ELECTRIC120V today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Matte White,,"Screen, mounting hardware, documentation",Projection screen (motorized),,,"83.5""h x 98""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy NEC Compact Carrying Case, for EX201W Carrying Cases - Projectors SC-EX20 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,Works with EX201W-BK,"Case, documentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 27"" I2769VM Full HD LCD Monitor, Black Monitors - LCD I2769VM today at PC Connection",TUV Bauart EuP NRTL TCO05 GOST FCC RoHS ISO 9241-307,Tilt,27 in,0.311 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M Privacy Filter For 14"" Toughbook 53 Glare Filters & Privacy Screens PFNPNTB53 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Tinted clear,"Keeps your personal or confidential information safe from prying eyes.
You'll see the information on your display while people on either side only see a darkened screen.
Designed to fit widescreen laptops with a diagonally measured 14"" viewing screen and a 16:9 aspect ratio.
Customed designed to fit the Panasonic Toughbook 53.","filter, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 39"" LY340C Full HD LED-LCD Commercial TV Televisions - LED-LCD Commercial 39LY340C today at PC Connection",,,,,Yes,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,,,,,,,,39 in,2 speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy NEC Table Top Stand for X401S, X401S-AVT Stands & Mounts - AV ST-322 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Compatible with X401S, X401S-AVT.","Stand, documentation",Stand,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Pull-Down Projection Screen with SRM, MaxWhite FG, Projector Screens M100VSR-PRO today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Ergotron Neo-Flex All-In-One SC Lift Stand for LCD and CPU, Stands & Mounts - AV 33-338-085 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Weight Capacity: 6–16 lbs. for display; total stand capacity = 37 lbs. for combined weight of display, CPU, keyboard and mouse.
Motion may be restricted when using 22–24"" monitors in portrait mode.
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm & 75 x 75mm).
Five-inch height adjustment ergonomically accommodates average range of users.
Removal of lock screw allows portrait to landscape rotation (90°).
Compatible with most 15–24"" displays, and most small or ultra small form factor CPUs. Maximum CPU size = 15""W x 14""H x 4.5""D; minimum CPU size = 7""W x 7""H x 2""D. Provided rubber spacer must be used to accommodate CPU depths of less than 3"".
Mounting Option: Two M4 threaded screw inserts are located at the bottom of the base to allow for attachment of the stand to worksurface. Screws not supplied. Hole-spacing from center to center = 4.5"".","Stand, CPU secure clamp, VESA mounting kit, cable ties, documentation",Display stand Stand Monitor stand,CPU Flat panel display,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 23"" I2367FH Ful HD LED-LCD Monitor, Black Monitors - LED-LCD I2367FH today at PC Connection",EuP BSMI VCCI CB KCC C-Tick ISO 9241-307 CEL MPRII E-Standby EPA FCC J-MOSS PSE Mark GOST CCC TUV GS KC REACH DDC-2B DDC-2B/CI TCO Displays 6.0 CTUVus,Tilt,23 in,0.2652 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Silver Black,,,,,,,,,,,250 cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP Smart Buy 18.5"" V193 LED-LCD Monitor, Black Monitors - LED-LCD G9W86A6#ABA today at PC Connection",KCC KC CB FCC CCC VCCI,Tilt,18.5 in,0.3 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Business-class presentation features:
Enjoy crisp, clear views of your documents and e-mail with 1366 x 768 resolution, 5M:1 dynamic contrast ratio, and 5 ms response time on an 18.5-inch inch diagonal screen. Quickly and easily connect to your devices with a VGA input.
Affordable, stylish, and compact:
Make a good impression and leave plenty of room on the desk with a design that complements HP PCs and has a small footprint. The internal power supply also helps keep your workspace tidy.
Designed with the environment in mind:
Reduce power consumption and help lower your costs with an intelligent, energy-efficient design that is ENERGY STAR qualified and EPEAT Silver registered. The display also includes mercury-free display backlights and arsenic-free display glass.
Dimensions with stand: 13.3""h x 17.4""w x 7.4""d","monitor, power cord, VGA cable, documentation",,,6.00 lb(s),"10.9""h x 17.4""w x 1.8""d",,,,,200 cd/m2,,HDDB15 Power,Power VGA,"5,000,000:1 600:1",LCD LED-backlit,Widescreen,1366 x 768,"(1) HDDB15 VGA
(1) Power in","Supply: 100-240VAC
Consumption: 17W (max); 15W (typ.); 0.5W (standby)",5 ms,90/65,,,,,,,,,,,,,,,,,,
"Buy Asus 20"" VS207D-P LED-LCD Monitor, Black Monitors - LED-LCD 90LM0010-B021B0 today at PC Connection",EPEAT Gold WHQL CUL WEEE BSMI GOST-R CB VCCI RoHS FCC C-Tick TCO Displays 6.0 ErP Ready,Tilt,19.5 in,0.2768 mm,Yes,250 cd/m2,,3 Years,3 Years,Black,,,,,,,,,,,250 cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Draper AccuScreeen Fixed Projection Screen, 4:3, 84in Projector Screens 800015 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,Four mounting brackets are included for wall attachment.,"Screen, mounting brackets, documentation",Projection screen,,,"50.5""h x 67.3""w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 23.6"" I2421VWH Full HD LED-LCD Monitor, Black Monitors - LED-LCD I2421VWH today at PC Connection",FCC Part 15 DDC-2B WEEE CTUVus,Tilt,24 in,0.2715 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 19"" MB35PM-B LED-LCD Monitor Monitors - LED-LCD 19MB35PM-B today at PC Connection",TUV GS EN 61000-3-3 VCCI V-2 EN 55022 Class B EN 55024 Plug and Play TCO Displays 6.0 NEMKO SEMKO ISO 9241-307 EN 61000-3-2:2006 EN 60950-1:2006 DDC/CI C-Tick CSA,Tilt Height Pivot (rotation) Swivel,19 in,0.294 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Anthracite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 24"" MB35PY-B Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24MB35PY-B today at PC Connection",Plug and Play TCO Displays 6.0 ISO 9241-307 TUV Ergo TUV GS CUL ISO 13406-2 DDC/CI,Height Tilt Pivot (rotation) Swivel,24 in,0.275 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Matte Black,,,,,,,,,,11.200 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Smartmount Universal Flat Wall Mount for 37""-63"" Flat Stands & Mounts - AV SF660 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,,"Wall mount, documentation",Wall mount,Flat panel display,,,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 23"" V236HL Cbmd Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.VV6AA.C02 today at PC Connection",TCO Displays 6.0,Tilt,23 in,,,250 cd/m2,,3 Years,3 Years,Black,"Dimensions with stand: 16.1""h x 21.4""w x 8.2""d","monitor, DVI cable, VGA cable, power cord, documentation",,,,"12.8""h x 21.4""w x 2""d",,,,,250 nit(s),16.7 million colors,DVI HDDB15 Power,Power VGA DVI,"100,000,000:1",LCD LED-backlit,Widescreen,1920 x 1080,"(1) DVI
(1) HDDB15 VGA
(1) Power in",Supply: 110-220VAC,5 ms,170/160,Dual speakers Speakers Included,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Asus 28"" VN289QL Full HD LED-LCD Monitor, Black Monitors - LED-LCD VN289QL today at PC Connection",CUL CCC RoHS MEPS WHQL C-Tick WEEE BSMI FCC PSE Mark TCO Displays 6.0 CB VCCI,Swivel Height Tilt Pivot (rotation),28 in,0.32 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Refurb. V7 19"" D1912B-N6 LCD Monitor with Speakers, Black Monitors - LCD D1912B-N6-R today at PC Connection",CUL FCC TCO03 TUV GS NOM,,19 in,,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,,,,,,,,,,,,,Power DVI-D HDDB15,VGA Power DVI-D,,,,,"(1) HDDB15 VGA
(1) DVI-D
(1) Power in",,,,,,,,,,,,,,,,,Refurb.,,,,
"Buy Kensington Blackout Privacy Filter for 15.4"" Notebooks Glare Filters & Privacy Screens K55783WW today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Limited Lifetime,Limited Lifetime,Black,"Designed for 15.6-inch notebooks.
Limits viewing angle +/- 30° while also protecting the screen from scratches and damage.
Easy to attach and removable, yet thin enough to allow your notebook computer to close.
Screen cleaning cloth included.","Filter, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Targus 15.4"" LCD Monitor Privacy Screen (16:9) Glare Filters & Privacy Screens ASF154W9USZ today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Tinted,"Designed to fit 15.4” widescreen LCD Monitors with 16:9 ratio screens.
Designed to fit a range of laptops with screens up to 15.4"" in size; including models with an extended battery.","Privacy screen, documentation",Display privacy filter,,0.50 lb(s),,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Eizo Nanao 21.3"" LED Mono 5MP Medical Monitor Monitors - Medical GX540-CL-P-BK today at PC Connection",ICES-003 Class B IEC 60601-1 CSA C22.2 No. 60601-1 UL 60601-1 EN 60601-1 CCC FDA 510k China RoHS WEEE GOST-R C-Tick VCCI Class B RoHS,Height Pivot (rotation) Swivel Tilt,21.3 in,0.165 mm,,1200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 19"" MB35D-B LED-LCD Montitor, Black Monitors - LED-LCD 19MB35D-B today at PC Connection",Plug and Play TUV GS CUL ISO 9241-307 ISO 13406-2 TCO Displays 6.0 DDC/CI TUV Ergo,Tilt,19 in,0.294 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 15.6"" MB168B Portable LED-LCD Monitor, Black Monitors - LED-LCD MB168B today at PC Connection",WHQL EuP WEEE J-MOSS CCC EMC VCCI RoHS FCC CUL C-Tick,,15.6 in,0.252 mm,,200 cd/m2,,3 Years,3 Years,,,,,,,,,,,,,,,,500:1,,,1366 x 768,,,11 ms,90/65,,,,,,,,,,,,,,,,,,
"Buy Peerless Fixed Extension Column, 24"", White Stands & Mounts - AV EXT102-AW today at PC Connection",CUL UL,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,White,Max load capacity: 1200 lbs.,"Extension column, documentation",Projector ceiling mount extension tube,Projector Monitor,0.00 lb(s),"24""l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Planar 46"" LX46HD-L Full HD LED-LCD Monitor with ERO, Black Monitors - Large-Format LED-LCD 997-7113 today at PC Connection",,,46 in,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"The ultimate video wall tiling solution:
For an immersive, flexible video wall solution that can be configured in many ways and appears nearly seamless, the Clarity Matrix LCD Video Wall System is the ultimate display solution for control room or digital signage applications. Optimized for 24x7 operation, the Clarity Matrix delivers outstanding visual performance and requires minimal installation space. The Clarity Matrix utilizes cutting-edge ultra-narrow bezel LCD's that when tiled result in image-to-image gaps as small as 5.7mm. Featuring a unique mounting system and mission-critical off-board electronics design, the Clarity Matrix is the slimmest and most reliable LCD video wall available.
Unique Architecture & Benefits by Design:
The Clarity Matrix Video Wall System was architected and developed by video wall industry experts in a way that specifically addresses the challenges faced by all video wall installations: mounting and alignment, reliability and extended operation, service and maintenance access and simple, effective image processing and management. At the heart of the Clarity Matrix architecture is a distributed design that takes heat, complexity and unreliability out from behind the LCD panel and replaces it with a centrally located, easily accessible and highly reliable rackmounted system.
EasyAxis Mounting System:
The Clarity Matrix Video Wall System includes the EasyAxis mounting system. The EasyAxis mounting system is designed to be attached to a wall, used with optional free-standing bases or secured overhead in a flying configuration. The single mount supports all these configurations. When used in wall-mount
configuration, horizontal and vertical connection brackets ensure that each mount is perfectly spaced from its neighbor in the video wall. The mount system also incorporates a service mode to accommodate front and rear in-wall repair of any LCD module in the video wall. EasyAxis mounts are designed to facilitate the thinnest profile LCD video wall in the market. The combination of the mount plus the Clarity Matrix LCD Modules “blade” design result in video walls that measure a mere 3.6 inches in depth, screen-to-wall, as opposed to other designs that require 60% more clearance.
Precise Panel Alignment:
Clarity Matrix LCD modules incorporate a single simple interface board designed to distribute off-board power, video and control signals to the LCD panel keeping depth, weight, heat and points of potential failure to an unprecedented minimum. The LCD blade-style module incorporates a bracket that is perfectly paired with the EasyAxis mount. The LCD module includes EasyAxis adjustment cams that facilitate precise 6-axis alignment ensuring uniform, minimized image-to-image gap. The lighter design of the Clarity Matrix LCD module means that handling, installation, alignment and service are all easier to accomplish.
24x7 Operation & Simplified Maintenance:
The unique Clarity Matrix architecture provides for 24x7 operation with optimized thermal design, high-MTBF components and redundant power supply option. Because of the streamlined design of the Clarity Matrix LCD modules, fewer repairs are required at the panel itself. When the panels do need to be accessed or removed, this can be accomplished without removing other panels in the wall. Starting at the top of the wall, panels can be pulled up and out into Service Mode, allowing the panel below to be accessed. Also built into each Clarity Matrix LCD display are service and troubleshooting aids that minimize downtime in the event of a failure. Power, backlight and fan monitoring are all built into Clarity Matrix to provide failure notification. Clarity WallNet enables health and status monitoring over a customer network to proactively provide health status or send an email or text message to a service technician alerting them of a failure.
Redundant Power Supply:
The rack-mount video processing and power supply units each support 4 LCD modules, incorporate their own cooling and make configuration, maintenance and upgrades easily accessible and unobtrusive to the video wall itself. For even further reliability, the Clarity Matrix power supply unit includes an n+1 redundant design so if any one power supply in the unit fails, the remaining 4 will continue to power 4 LCD’s with uninterrupted operation.
Flexible Video Processing:
Clarity Matrix supports a wide range of processing options to display sources on the video wall. Planar’s Big Picture Plus processing is built into Clarity Matrix and allows sources to be scaled across the entire video wall or any section of the video wall. To simplify the set-up process of Big Picture Plus, Clarity Matrix has position sensors built in the LCD that determine where it is located within the array and scale the sources across the video wall automatically. Big Picture Plus processing also allows for ultra-high resolution dual link DVI signals to be input and spread over multiple displays at native resolution. For more complex configurations, Clarity Matrix supports all leading image processing and digital signage software solutions including Planar’s Indisys image processing.
Clarity Matrix with ERO:
Clarity Matrix with ERO features a glass front to provide increased ruggedness and optical performance for applications in public spaces or interactive touch. The glass surface is optically bonded to the front of the LCD with a proprietary construction and technique which maintains the narrow bezel spacing and creates a continuous surface when tiled together in a video wall. Clarity Matrix with ERO also provides improved optical performance in high ambient light by providing additional ambient light rejection and increased contrast.","Monitor, documentation",,,65.00 lb(s),,,,,,450 nit(s),,DVI (Dual Link) Power DVI,Power DVI,3500:1,LCD LED-backlit,Widescreen,1920 x 1080,"(4) DVI
(2) Dual-Link DVI (in, out)
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 157W (typ.)",,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
