<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"MX299Q, 2798280, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,No,No,21:9,LED,Asus,300 cd/m²,Black Silver,16.7 Million Colours,"80,000,000:1",Yes,ENERGY STAR 6.0 RoHS WEEE ErP J-Moss (Japanese RoHS),Yes,Yes,178°,110 V AC 220 V AC,3 Year,ASUS Computer International,MX299Q,,2560 x 1080,1.0,500 mW,31.70 W,Designo MX299Q Widescreen LCD Monitor Dual-link DVI Cable Audio Cable Power Cord Power Adapter Quick Start Guide HDMI Cable Warranty Card MHL Cable,Advanced High Performance In-plane Switching (AH-IPS) Technology,MX299Q,Designo MX299Q Widescreen LCD Monitor,MX,LCD Monitor,5 ms,,"73.7 cm (29"")",61 Hz,500 mW,,,178°,No,No,BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI Gost-R PSE,,215.10 mm,Security Lock Splendid Video Intelligence Technology Trace Free Technology,,391 mm,,PC Mac,,,,5.50 kg,,,700.20 mm,Speaker,Yes,Designo,,No,,Yes,No,Yes,,,,,,,,2.0,,Yes,,,No,,,,,,,,,,,,No
"BDL:K1453V160-UK, FB22T-7LED, Fujitsu Siemens Computers, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Fujitsu,250 cd/m²,,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold RoHS ENERGY STAR 6.0 IT Eco Declaration WEEE TCO Certified Displays 6.0,Yes,Yes,176°,220 V AC 110 V AC,3 Year,Fujitsu,BDL:K1453V160-UK,,1920 x 1080,1.0,200 mW,22 W,Display B22T-7 LED proGREEN DVI-D Data cable 1.8 m D-SUB Data cable 1.8 m Audio cable 1.8 m USB-cable 1.8 m UK Power cable Quickstart flyer Utility CD Warranty booklet Safety booklet,,B22T-7,Display B22T-7 LED proGREEN,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",76 Hz,300 mW,,,170°,Yes,Yes,CE EN 60950 TÜV GS GOST FCC Class B cUL C-Tick VCCI KC TÜV-S BSMI CCC SASO ISO9241-307,61 mm,200 mm,Eco Mode Security Lock,320 mm,339 mm,,PC,,,100 x 100,3.10 kg,,516 mm,516 mm,Speaker USB Hub,,proGREEN,Anti-glare,Yes,USB 2.0,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"E2280WSD-B1, IIYNOT020, Iiyama, LCD Monitor, IML Direct Italy",,,,,LED,iiyama,250 cd/m²,Black,,"5,000,000:1",Yes,,,Yes,,,,"iiyama North America, Inc",E2280WSD-B1,,1680 x 1050,1.0,,,,,E2280WSD-B1,ProLite E2280WSD-B1 Widescreen LCD Monitor,,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,,,,,,Yes,,,,,,,,,,,,,,,,Speaker,,ProLite,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60003488, NECPA302WB, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,GB-R LED,NEC,340 cd/m²,White,1073 Million Colors,"1,000:1",Yes,RoHS,Yes,,178°,,4 Year,NEC Display Solutions,60003488,,2560 x 1600,1.0,,87 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PA302W,MultiSync PA302W Widescreen LCD Monitor,PA,LCD Monitor,7 ms,WQXGA,"75.7 cm (29.8"")",60 Hz,1.40 W,,,178°,,,,,301.60 mm,Carbon Footprint Meter Picture in Picture Digital Uniformity Control Picture by Picture Ambient Light Sensor Carbon Savings Meter,,466.40 mm,,,,,,,17 kg,,688 mm,USB Hub,Yes,MultiSync,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.EV6EE.001, 8654M75, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:10,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,170°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.EV6EE.001,No,1680 x 1050,1.0,350 mW,17.20 W,V226WL Widescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),V226WL,V226WL Widescreen LCD Monitor,V,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",60 Hz,450 mW,No,-5°to25°,160°,Yes,Yes,,52 mm,207 mm,,333.1 mm,419.10 mm,,,,,100 x 100,3.09 kg,3.52 kg,505.8 mm,505.80 mm,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2460SH, 3058979, AOC, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,AOC,250 cd/m²,Black,,"20,000,000:1",Yes,RoHS TCO Certified Displays 6.0 ENERGY STAR 6.0 EPEAT Gold,Yes,Yes,170°,230 V AC 120 V AC,3 Year,AOC,E2460SH,,1920 x 1080,1.0,300 mW,22 W,"LED Monitor - E2460SH Value 61cm (24"") Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",Twisted Nematic Film (TN Film),E2460SH,"LED Monitor - E2460SH Value 61cm (24"")",,LCD Monitor,1 ms,Full HD,"61 cm (24"")",60 Hz,500 mW,,-5°to20°,160°,Yes,Yes,CE TÜV-GS CU ISO 9241-307,219.3 mm,,Security Lock i-Menu e-Saver Eco Mode Screen+,411.6 mm,,Wall Mountable,,,,100 x 100,4.27 kg,,565.4 mm,,Speaker,,Value,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"MX239H, ASUNOT705, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Asus,250 cd/m²,Silver Black,16.7 Million Colours,"80,000,000:1",,,,Yes,178°,,,ASUS Computer International,MX239H,,1920 x 1080,1.0,500 mW,33 W,,In-plane Switching (IPS) Technology,MX239H,MX239H Widescreen LCD Monitor,MX,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,500 mW,,,178°,,Yes,,,207.20 mm,Ultra Slim Splendid Video Intelligence Technology Security Lock,,392.20 mm,,PC,,,,3.70 kg,,,522.20 mm,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"G2460PQU, 2672011, AOC, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,AOC,350 cd/m²,Black,16.7 Million Colours,"80,000,000:1",Yes,,,Yes,170°,,,AOC,G2460PQU,,1920 x 1080,1.0,500 mW,33 W,,,G2460PQU,Professional G2460PQU Widescreen LCD Monitor,,LCD Monitor,1 ms,Full HD,"61 cm (24"")",,500 mW,,-4°Up to22°,160°,Yes,Yes,,243.5 mm,,Security Lock e-Saver i-Menu Eco Mode,393.6 mm,,Wall Mountable,PC,,,100 x 100,6.29 kg,,565.4 mm,,USB Hub Speaker,Yes,Professional,,Yes,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"905-5JGGR-UK, 2850547, Dell, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Wyse,250 cd/m²,,16.7 Million Colours,"2,000,000:1",Yes,TCO Certified Displays EPEAT Gold ENERGY STAR 5.0,Yes,Yes,170°,110 V AC 220 V AC,,"Dell, Inc",905-5JGGR-UK,,1920 x 1080,1.0,100 mW,50 W,,Twisted Nematic Film (TN Film),P2412H,P2412H Monitor,,LCD Monitor,5 ms,Full HD,"61 cm (24"")",60 Hz,100 mW,,,160°,Yes,Yes,,64.9 mm,180.30 mm,Security Lock PowerNap,335.5 mm,500 mm,Wall Mountable,,,,100 x 100,4.04 kg,,568 mm,568 mm,USB Hub,,,Anti-glare,Yes,USB 2.0,,,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"VG2433SMH, B921635, ViewSonic, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Viewsonic,250 cd/m²,,16.7 Million Colours,"50,000,000:1",Yes,REACH ErP TCO,Yes,,178°,110 V AC 220 V AC,3 Year,Viewsonic Corporation,VG2433SMH,100 mm,1920 x 1080,1.0,,22 W,VG2433Smh Full HD LED HDMI Multimedia Ergonomic SuperClear Display Power Cable VGA Cable DVI Cable Audio Cable Quick Start Guide ViewSonic Wizard CD-ROM,In-plane Switching (IPS) Technology,VG2433Smh,VG2433Smh Full HD LED HDMI Multimedia Ergonomic SuperClear Display,,LCD Monitor,4 ms,Full HD,"61 cm (24"")",60 Hz,,340°,-5°to25°,178°,Yes,Yes,CU UkrSEPRO DoC SVHC List & DoC,51 mm,204.30 mm,Super Clear Image Enhancement Technology Eco Mode,343.2 mm,382.40 mm,Wall Mountable,,,,100 x 100,3.95 kg,5.53 kg,566 mm,566 mm,Speaker,,,Anti-glare,,,Yes,,Yes,,,,Landscape/Portrait,,,,2.0,,Yes,,,,,,,,,,,,,,,
"60002937, 3967410, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,NEC Display,250 cd/m²,White Silver,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR MPR II MPR III TCO Displays 5.0 EPEAT Gold,,Yes,176°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60002937,,1920 x 1080,1.0,,32 W,MultiSync EX231W Widescreen LCD MonitorPower CableUSB CableAC AdapterCD-ROMSales Office ListUser ManualSignal Cable (DVI-A-VGA)Signal Cable (DVI-D - DVI-D),,EX231W,MultiSync EX231W Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",75 Hz,370 mW,,,170°,Yes,,CEERPTÜV ErgonomicsTÜV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-UL or CSACCCISO 9241-307 (pixel failure class I),47.7 mm,215 mm,,318.3 mm,401 mm,,,,,100 x 100,2.80 kg,4.10 kg,540.2 mm,540.20 mm,,Yes,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LC3LB.QBE, M352551, BenQ, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,BenQ,300 cd/m²,Glossy Black,1.07 Billion Colors,"20,000,000:1",Yes,ENERGY STAR 6.0 TCO Certified Displays 6.0,Yes,Yes,178°,120 V AC 230 V AC,3 Year,BenQ Corporation,9H.LC3LB.QBE,150 mm,2560 x 1440,1.0,,97 W,,Vertical Alignment (VA),BL3200PT,BL3200PT Widescreen LCD Monitor,,LCD Monitor,12 ms,WQHD,"81.3 cm (32"")",76 Hz,500 mW,45°,-5°to20°,178°,Yes,Yes,,,231 mm,Senseye 3 Animation Mode Security Lock CAD/CAM Mode Flicker-free Ambient Light Sensor Advanced Motion Accelerator (AMA) Dual Monitor Support Eye Protect Sensor Low Blue Light,,638 mm,Wall Mountable,PC,,,100 x 100,13 kg,,,739 mm,USB Hub Speaker Card Reader,Yes,,,Yes,USB 3.0,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"UM.FS1EE.001, 8653X34, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II ENERGY STAR,Yes,Yes,170°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.FS1EE.001,No,1920 x 1080,1.0,450 mW,19.80 W,S241HL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Twisted Nematic Film (TN Film),S241HL,S241HL Widescreen LCD Monitor,S,LCD Monitor,5 ms,Full HD,"61 cm (24"")",60 Hz,460 mW,No,-5°to15°,160°,Yes,Yes,,42 mm,166 mm,,343 mm,401 mm,,,,,100 x 100,3.50 kg,3.80 kg,565 mm,565 mm,,,,Anti-glare,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"855-BBBC, DELE1715S, Dell, LCD Monitor, IML Direct Italy",Yes,,,5:4,LED,Dell,250 cd/m²,,16.7 Million Colours,"1,000:1",,China Energy Label (CEL) TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,,178°,220 V AC 110 V AC,3 Year,"Dell, Inc",855-BBBC,,1280 x 1024,1.0,,15 W,17 Monitor - E175S Stand Power Cables VESA Screw Cover VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide,Twisted Nematic Film (TN Film),P1914S,17 Monitor - E175S,,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",60 Hz,500 mW,,,178°,Yes,Yes,,46.5 mm,165.50 mm,Security Lock PowerNap,306.9 mm,389.50 mm,Wall Mountable,,,,100 x 100,2.08 kg,,374.5 mm,374.50 mm,,Yes,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WV6EE.A01, 8654F10, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,TCO '06 ENERGY STAR,Yes,Yes,178°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.WV6EE.A01,No,1920 x 1080,1.0,250 mW,19.50 W,V226HQL Widescreen LCD Monitor1 x VGA Cable,Vertical Alignment (VA),V226HQL,V226HQL Widescreen LCD Monitor,V,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",60 Hz,350 mW,No,-5°to25°,178°,Yes,Yes,,206.8 mm,,,390.4 mm,,,,,,100 x 100,3.24 kg,3.66 kg,508 mm,,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP205DJB, V320104, Hannspree, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,LED,Hanns.G,250 cd/m²,Black,,"80,000,000:1",Yes,,,,,,,"Hannspree, Inc",HP205DJB,,1600 x 900,1.0,,,,,HP205DJB,HP205DJB Widescreen LCD Monitor,,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,,,,160°,Yes,Yes,,,,,,,,,,,100 x 100,,,,,Speaker,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"240P4QPYNS/00, Philips, LCD Monitor, IML Direct Italy",,,,16:10,,Philips,300 cd/m²,,,,Yes,,,,,,,Philips Electronics,240P4QPYNS/00,,1920 x 1200,1.0,,,,,240P4QPYNS,240P4QPYNS Widescreen LCD Monitor,,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.CV6EE.013, 2716783, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,5:4,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,EPEAT Gold TCO Certified Displays 6.0,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.CV6EE.013,No,1280 x 1024,1.0,350 mW,15.80 W,V196LWidescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),V196L,V196L LCD Monitor,V,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",75 Hz,450 mW,No,-5°to25°,160°,Yes,Yes,,52 mm,207 mm,,337 mm,408 mm,,,,,100 x 100,2.70 kg,3.10 kg,406.4 mm,406.40 mm,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#AB4, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",Yes,TCO Certified Edge ENERGY STAR,Yes,,,,3 Year,Hewlett-Packard,C9V75AA#AB4,,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,51 mm,242.40 mm,,329 mm,469.90 mm,,,,,,3.90 kg,,544 mm,544 mm,USB Hub,Yes,Elite,,Yes,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"190BL1CB/00, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,,16:10,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Silver ENERGY STAR 5.0 WEEE RoHS TCO Certified Displays 5.2,Yes,Yes,170°,110 V AC 220 V AC,2 Year,Philips Electronics,190BL1CB/00,,1440 x 900,1.0,300 mW,11.40 W,,,190BL1CB,Brilliance LCD Monitor With LED Backlight,B,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",60 Hz,300 mW,,,160°,Yes,Yes,BSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL,68 mm,201 mm,SmartImage TrueVision Eco Mode Security Lock,305 mm,422 mm,,Mac PC,Yes,Plastic,100 x 100,3.04 kg,4.12 kg,436 mm,436 mm,Speaker,,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,65%,,,,,,,,,,,,,,,,
"VG248QE, ASUNOT702, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",,,,,,Asus,,Black,,,Yes,,,,,,,ASUS Computer International,VG248QE,,1920 x 1080,1.0,,,,,VG248QE,VG248QE Widescreen LCD Monitor,,LCD Monitor,1 ms,Full HD,"61 cm (24"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"29UB65-P, 2975676, LG Electronics, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,21:9,LED,LG,300 cd/m²,,16.7 Million Colours,"5,000,000:1",Yes,,,,178°,,,LG Electronics,29UB65-P,110 mm,2560 x 1080,1.0,500 mW,47 W,,In-plane Switching (IPS) Technology,29UB65-P,29UB65-P Widescreen LCD Monitor,,LCD Monitor,5 ms,UW-UXGA,"73.7 cm (29"")",,,,,178°,Yes,,,124.5 mm,223.52 mm,Mobile High-Definition Link (MHL),419.1 mm,,,PC,,,75 x 75,5.08 kg,,703.6 mm,,Speaker,Yes,,Anti-glare,Yes,USB 3.0,Yes,,Yes,,,,,,,,2.0,,Yes,,,,90 kHz,,,,,,,,,,,
"B2780HSU-W2, 3057091, Iiyama, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,iiyama,300 cd/m²,White Black,16.7 Million Colours,"5,000,000:1",Yes,ENERGY STAR TCO Certified Displays 6.0 EPEAT Silver,Yes,Yes,170°,220 V AC 110 V AC,,"iiyama North America, Inc",B2780HSU-W2,110 mm,1920 x 1080,1.0,1 W,37 W,B2780HSU Widescreen LCD Monitor Power Cable VGA (D-Sub) Cable DVI Cable Audio Cable USB Cable Stand 2 x Screws Quick Start Guide Safety guide,Twisted Nematic Film (TN Film),B2780HSU,B2780HSU Widescreen LCD Monitor,,LCD Monitor,1 ms,Full HD,"68.6 cm (27"")",75 Hz,1 W,340°,4°to22°,160°,Yes,Yes,CE TUV-Bauart,250 mm,,CAD/CAM Mode Security Lock OverDrive i-Style-Color,,548 mm,Wall Mountable,PC Mac,,,100 x 100,8 kg,,,642 mm,USB Hub,,ProLite,,Yes,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"UM.XK3EE.001, 2774204, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Packard Bell,200 cd/m²,Black,16.7 Million Colours,"100,000,000:1",,EPEAT Gold MPR II,Yes,,90°,220 V AC 110 V AC,,"Acer, Inc",UM.XK3EE.001,No,1366 x 768,1.0,350 mW,11.50 W,Viseo193DX Widescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),Viseo193DX,Viseo193DX Widescreen LCD Monitor,,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",60 Hz,450 mW,No,-5°to25°,65°,Yes,Yes,,50 mm,,,267 mm,,,,,,100 x 100,2.32 kg,,441 mm,,,,Viseo,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.HG6EE.A01, 2515169, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II,Yes,,170°,110 V AC 220 V AC,2 Year,"Acer, Inc",UM.HG6EE.A01,No,1920 x 1080,1.0,350 mW,24.12 W,G276HL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),G276HL,G276HL Widescreen LCD Monitor,G,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",60 Hz,480 mW,No,-5°to15°,160°,Yes,Yes,,40 mm,179 mm,,284 mm,442 mm,,,,,100 x 100,3.96 kg,4.60 kg,639 mm,639 mm,,,,Anti-glare,,,No,,Yes,,,,,50 kWh,B,,,,,,,,,,,,,,,,,,,
"E5Z95AA#ABU, 3040570, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,250 cd/m²,Black,,"3,000,000:1",Yes,TÜV REACH EPEAT Silver MPR II ENERGY STAR TCO '99 WEEE,Yes,Yes,170°,120 V AC 230 V AC,1 Year,Hewlett-Packard,E5Z95AA#ABU,,1920 x 1080,1.0,,30 W,"V241a 59,94 cm (23.6'') LED Backlit Monitor (ENERGY STAR)(E5Z95AA) VGA Cable Audio Cable AC Power Cord Printed Documentation and CD HP Display Assistant Software",,V241a,"V241a 59,94 cm (23.6'') LED Backlit Monitor (ENERGY STAR)(E5Z95AA)",Value,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,500 mW,360°,-5°to20°,160°,,Yes,CB CE TUV-GS ETL S-mark,46.9 mm,204.10 mm,Security Lock,347.7 mm,412.40 mm,,,,,,,4 kg,563.3 mm,563.30 mm,Speaker,,Business,Anti-glare,,,Yes,,,,,,Landscape,,,,,,,,,,,,,,,,,,,,,
"22MB65PM-B, 2975559, LG Electronics, LCD Monitor, IML Direct Italy",,Yes,,16:10,LED,LG,250 cd/m²,Black,,"50,000,000:1",Yes,,,,,,,LG Electronics,22MB65PM-B,,1680 x 1050,1.0,,,,In-plane Switching (IPS) Technology,22MB65PM-B,22MB65PM-B Widescreen LCD Monitor,,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,,,,,Yes,Yes,,,,,,,,,,,,4.80 kg,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LC23A550US/EN, 100232, Samsung, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Samsung,250 cd/m²,Black,16.7 Million Colours,,,ENERGY STAR EPEAT Gold,Yes,Yes,170°,110 V AC 220 V AC,2 Year,Samsung,LC23A550US/EN,,1920 x 1080,1.0,,30 W,SyncMaster C23A550U Widescreen LCD MonitorSignal CablePower CablePower SupplyUSB 3.0 CableDriver CDMulti-Screen Software (CD)Manual (CD),,C23A550U,SyncMaster C23A550U Widescreen LCD Monitor,550,LCD Monitor,2 ms,Full HD,"58.4 cm (23"")",60 Hz,,,,160°,,Yes,CEISO 13406/2,,232.80 mm,,,433.90 mm,,PC,,,,4.10 kg,,,550.40 mm,,,SyncMaster,,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"E2470SWDA, 2866973, AOC, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,AOC,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold ENERGY STAR 6.0 EuP RoHS,Yes,Yes,170°,220 V AC 110 V AC,3 Year,AOC,E2470SWDA,,1920 x 1080,1.0,,,"e2470Swda 61cm (24"") LED Monitor Power Cable D-Sub Cable DVI-D Cable Audio Cable Driver CD Warranty Card on CD-ROM",Twisted Nematic Film (TN Film),e2470Swda,"e2470Swda 61cm (24"") LED Monitor",,LCD Monitor,5 ms,Full HD,"61 cm (24"")",60 Hz,,,,160°,Yes,Yes,TÜV-GS ISO 9241-307 NRTL GOST FCC CE,,,Security Lock Screen+ i-Menu Eco Mode e-Saver,,,Wall Mountable,,,,100 x 100,,,,,Speaker,No,Value,,,,Yes,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,
"I2476VWM, 3091676, AOC, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,,AOC,250 cd/m²,Black,16.7 Million Colours,"50,000,000:1",No,RoHS EuP EPEAT Silver ENERGY STAR 6.0 TCO Certified Displays 6.0,Yes,Yes,178°,230 V AC 120 V AC,3 Year,AOC,I2476VWM,,1920 x 1080,1.0,500 mW,26 W,Value i2476Vwm Widescreen LCD Monitor Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM,In-plane Switching (IPS) Technology,i2476Vwm,Value i2476Vwm Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",60 Hz,500 mW,,-4°to22°,178°,Yes,Yes,CE cTUVus GOST ISO 9241-307 TÜV-Bauart,183.4 mm,,Security Lock Screen+ e-Saver Eco Mode i-Menu Mobile High-Definition Link (MHL),427.8 mm,,,,,,100 x 100,3.84 kg,,558.1 mm,,,No,Value,,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"210-AAPI, DELU3014, Dell, LCD Monitor, IML Direct Italy",Yes,Yes,,16:10,LED,Dell,350 cd/m²,,1.07 Billion Colors,"1,000:1",Yes,CECP TCO Certified Displays EPEAT Gold ENERGY STAR,Yes,Yes,178°,110 V AC 220 V AC,3 Year,"Dell, Inc",210-AAPI,,2560 x 1600,1.0,,120 W,"UltraSharp U3014 30"" Monitor With PremierColor Monitor Stand Power Cable DVI-D Cable (Dual Link) DisplayPort Cable (Mini DP to DP) USB3.0 upstream Cable Cable Tie Drivers and Documentation media (Dell UltraSharp Colour Calibration Solution Software) Factory Colour Calibration Report Quick Setup Guide Safety Information",In-plane Switching (IPS) Technology,U3014,"UltraSharp U3014 30"" Monitor With PremierColor",,LCD Monitor,6 ms,WQSXGA,"76.2 cm (30"")",60 Hz,500 mW,,,178°,Yes,,EMC,61 mm,201.42 mm,Touch Controls Security Lock Cable Management,449.3 mm,571.50 mm,,,,,,10.84 kg,,689.6 mm,689.61 mm,USB Hub,Yes,UltraSharp,Anti-glare,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
