<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"B2888UHSU-B1, 3173124, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,300 cd/m²,USB Hub,Black,"5,000,000:1",,230 mm,Yes,Yes,,,,,542 mm,3 Year,"iiyama North America, Inc",B2888UHSU-B1,3840 x 2160,1,34.50 W,ProLite B2888UHSU Widescreen LCD Monitor Power cable DVI (dual-link) cable DisplayPort cable Audio cable Stand 3 x Screws Quick start guide Safety guide,ProLite,B2888UHSU,ProLite B2888UHSU Widescreen LCD Monitor,LCD Monitor,1 ms,QFHD,"71.1 cm (28"")",Yes,Yes,7.70 kg,,663 mm,Yes,Eco Mode OverDrive i-Style-Color Picture in Picture Mobile High-Definition Link (MHL) Flicker-free Picture by Picture Security Lock Display Power Management Signaling (DPMS),Yes,170°,,2.0,Mac PC,,Yes,160°,Yes,,Yes,,1.07 Billion Colors,Yes,Yes,230 V AC 120 V AC,130 mm,,Twisted Nematic Film (TN Film),60 Hz,500 mW,90°,0°to17°,100 x 100,,CE TÜV-Bauart VCCI-B CU PSE ISO-9241-307:2008,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"AS17LED-W, VIGAS17LEDWHITE, Vigilant Vision, Ltd, LCD Monitor, JR Linton",4:3,LED,Vigilant,300 cd/m²,Speaker,White,"10,000:1",162 mm,,,,,RoHS,Yes,378 mm,,,"Vigilant Vision, Ltd",AS17LED-W,1280 x 1024,1,15 W,"17"" LED Monitor Plastic White Case Power Supply Kettle Lead VGA Cable User Manual",,AS17LED-(W),"17"" LED Monitor Plastic White Case",LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,Yes,3.17 kg,379 mm,,,3D Comb Filter,Yes,170°,Wall Mountable Desk Mountable Rack-mountable,2.0,PC,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,75 x 75,,CE FCC,,,,,,,,,,,,,,,,,,,,,,,,,
"24MB35PM-B, 4065873, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,250 cd/m²,Speaker,Black,"5,000,000:1",,,,Yes,,,,,,,LG Electronics,24MB35PM-B,1920 x 1080,1,,,,24MB35PM-B,24MB35PM-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA248Q, ASUNOT615, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:10,LED,Asus,300 cd/m²,USB Hub,Black,"80,000,000:1",235 mm,,Yes,Yes,,,,416.3 mm,,,ASUS Computer International,PA248Q,1920 x 1200,1,75 W,,ProArt,PA248Q,ProArt PA248Q Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"61 cm (24"")",Yes,Yes,,557.3 mm,,Yes,Security Lock Picture in Picture Splendid Video Intelligence Technology,Yes,178°,Wall Mountable,,Mac PC,PA,,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,,,,In-plane Switching (IPS) Technology,,1 W,,,100 x 100,,,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"LU28D590DS/EN, 886M834, Samsung, LCD Monitor, JR Linton",,LED,Samsung,370 cd/m²,,Metal Silver Matte Black,"1,000:1",64.7 mm,169.40 mm,Yes,No,,ENERGY STAR,Yes,410 mm,486.30 mm,2 Year,Samsung,LU28D590DS/EN,3840 x 2160,1,32 W,,,U28D590D,U28D590D Widescreen LCD Monitor,LCD Monitor,1 ms,QFHD,"71.1 cm (28"")",No,No,5.05 kg,660.9 mm,660.90 mm,Yes,Picture by Picture Magic Upscale Picture in Picture Eco Saving Off Timer MagicBright3 MagicAngle,Yes,170°,,,Mac PC,590,No,160°,,5.65 kg,,,1 Billion Colors,,Yes,220 V AC 110 V AC,,,Twisted Nematic Film (TN Film),75 Hz,300 mW,,,,,,No,No,,,,No,,,,,,,,,,,,,,,,,,,
"XB2483HSU-B1, IIYXB2483HSUB, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,250 cd/m²,Speaker USB Hub,Black,"3,000:1",,230 mm,,Yes,,ENERGY STAR TCO Certified Displays 6.0,Yes,,516.50 mm,3 Year,"iiyama North America, Inc",XB2483HSU-B1,1920 x 1080,1,27 W,"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand Power cable D-Sub signal cable DVI-D cable USB cable Audio cable Stand Stand-base Quick start guide Safety guide",ProLite,XB2483HSU,"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand",LCD Monitor,4 ms,Full HD,"61 cm (24"")",Yes,Yes,5 kg,,565.50 mm,Yes,Security Lock,Yes,178°,Wall Mountable,2.0,PC,,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,,,,Advanced-Multi-domain Vertical Alignment Plus (A-MVA+),75 Hz,500 mW,,,100 x 100,,CE TÜV-GS VCCI-B PSE CU,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"LS24A350HS/EN, 2158916, Samsung, LCD Monitor, JR Linton",16:9,LED,Samsung,250 cd/m²,,Rose Black,"1,000:1",59.2 mm,239.20 mm,,,,,,359.1 mm,438.70 mm,,Samsung,LS24A350HS/EN,1920 x 1080,1,27 W,,,S24A350H,S24A350H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,Yes,3.90 kg,578.6 mm,578.60 mm,Yes,,Yes,170°,,,PC Mac,350,,160°,,,,,16.7 Million Colours,Yes,,,,,,,300 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"221B3LPCB/02, 2541424, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,USB Hub Speaker,Black,"1,000:1",59 mm,227 mm,,Yes,,ENERGY STAR 5.0 EPEAT Gold RoHS TCO Certified Displays 5.1,Yes,323 mm,480 mm,,Philips Electronics,221B3LPCB/02,1920 x 1080,1,17.80 W,,Brilliance,221B3LPCB,"LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,Yes,3.40 kg,507 mm,507 mm,Yes,SmartTouch SmartImage PowerSensor Security Lock,,176°,,2.0,PC Mac,B,Yes,170°,Yes,5.30 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,,60 Hz,100 mW,,,100 x 100,,CEBSMIFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"DSM5WGF, VIGDSM5WGF, Vigilant Vision, Ltd, LCD Monitor, JR Linton",,,Vigilant,300 cd/m²,Speaker,,300:1,28 mm,,,,,RoHS,Yes,120 mm,,,"Vigilant Vision, Ltd",DSM5WGF,800 x 600,1,10 W,,,DSM5WGF,DSM5WGF CCTV LCD Monitor,LCD Monitor,20 ms,SVGA,"12.7 cm (5"")",,,800 g,150 mm,,,,,120°,Wall Mountable,,,,Yes,100°,Yes,,,,,,,220 V AC 110 V AC,,,,,,,,100 x 100,,FCCCE,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"236G3DHSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Glossy Black,"1,000:1",54 mm,219 mm,,,,EPEAT Silver WEEE ENERGY STAR 5.0 RoHS,Yes,355 mm,426 mm,2 Year,Philips Electronics,236G3DHSB/00,1920 x 1080,1,23.85 W,,,236G3DHSB,"3D LCD Monitor, LED Backlight with Easy 3D",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,3.03 kg,566 mm,566 mm,Yes,SmartImage Security Lock,Yes,170°,,,PC Mac,G,,160°,,3.26 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,300 mW,,60 Hz,500 mW,,,,,BSMICE MarkFCC Class BGOSTPSBSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,,,,,,,,3D,,,,,Film-type Patterned Retarder (FPR),,
"9H.LA7LB.RBU, 3035116, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,Speaker,Glossy Black,"12,000,000:1",194 mm,,,Yes,,ENERGY STAR 5.1 TCO Certified Displays 6.0,Yes,434 mm,,,BenQ Corporation,9H.LA7LB.RBU,1920 x 1080,1,23 W,,,GL2460HM,GL2460HM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,Yes,4.30 kg,565 mm,,Yes,Senseye 3 Eco Mode Security Lock Advanced Motion Accelerator (AMA) Reading Mode Ultra Slim Flicker-free,Yes,170°,Wall Mountable,2.0,PC,GL,Yes,160°,Yes,,,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,Twisted Nematic Film (TN Film),,300 mW,,-5°to20°,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B7M13AA#ABB, HP, LCD Monitor, JR Linton",16:9,LED,HP,200 cd/m²,,Black,600:1,47.5 mm,170.20 mm,,Yes,,EPEAT Silver ENERGY STAR,Yes,281.5 mm,339.50 mm,1 Year,Hewlett-Packard,B7M13AA#ABB,1366 x 768,1,24 W,"W1972a 47 cm (18.5"") LED Backlit LCD MonitorVGA CableAudio CableAC Power Cord",,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,Yes,,446.1 mm,446.10 mm,Yes,Security Lock,,90°,,,PC,,,50°,,2.70 kg,,,,Yes,,110 V AC 220 V AC,,,,,,,,,Anti-reflective,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
"T28LNUK, S602KC4, Lenovo, LCD Monitor, JR Linton",,LED,Lenovo,250 cd/m²,Microphone USB Hub Speaker,Raven Black,"1,000:1",56.4 mm,,,,,TCO Certified Edge Displays 1.1 ULE Gold ENERGY STAR 6.0 EPEAT Gold,Yes,387.2 mm,,3 Year,Lenovo Group Limited,T28LNUK,1920 x 1080,1,,,,LT2323z,"LT2323z Wide 23"" E-IPS Flat Panel Monitor",LCD Monitor,,,"58.4 cm (23"")",Yes,Yes,6.16 kg,545.3 mm,,Yes,Security Lock,,,,2.0,PC,,Yes,,,,,Yes,,,,,,,Enhanced In-plane Switching (E-IPS) Technology,,,,,,,TUV,,,Yes,,,,,,,USB 3.0,,,,,,,,,,,,Product Description Stock Price,,,
"9H.LAWLA.TPE, BENQGW2320, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,,Black,"1,000:1",,,,Yes,,TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,,,,BenQ Corporation,9H.LAWLA.TPE,1920 x 1080,1,22 W,,,GW2320,GW2320 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,4.40 kg,,,Yes,Security Lock Eco Mode Senseye 3,,178°,,,PC,GW,,178°,,,,,16.7 Million Colours,,,,,,In-plane Switching (IPS) Technology,,300 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CDX4650-L, B921374, ViewSonic, LCD Monitor, JR Linton",16:9,LED,Viewsonic,700 cd/m²,Speaker,,"4,000:1",127 mm,330.20 mm,,Yes,,,,579.1 mm,622.30 mm,,Viewsonic Corporation,CDX4650-L,1920 x 1080,1,220 W,,,CDX4650-L,"46"" Full HD LED Commercial Display",LCD Monitor,6.50 ms,Full HD,"116.8 cm (46"")",,Yes,24.31 kg,1023.6 mm,1023.62 mm,,Picture in Picture Digital Signage Ready Video Wall,Yes,178°,,2.0,,,Yes,178°,Yes,25.99 kg,,,,,,,,,,,,,,200 x 400,Anti-glare,,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,
"60002820, 3967436, NEC Display Solutions, LCD Monitor, JR Linton",16:9,LED,NEC Display,250 cd/m²,,Black,"1,000:1",71 mm,213.90 mm,Yes,Yes,,MPR III MPR II,Yes,329 mm,380.10 mm,3 Year,NEC Display Solutions,60002820,1600 x 900,1,25 W,MultiSync E201W Widescreen LCD MonitorPower CableUser ManualVGA CableDVI-D Cable,MultiSync,E201W,MultiSync E201W Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,5.40 kg,550.1 mm,550.10 mm,Yes,,,178°,,,,,,178°,Yes,,,,16.7 Million Colours,,,,,,,60 Hz,340 mW,,,100 x 100,,CEErPTUV ErgonomicsTUV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-UL or CSACCCISO 9241-307 (pixel failure class I),,,,,,,,,,,,,,,,,,,,,,,,,
"247E4LHAB/00, 2689199, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker,Glossy Black,"10,000:1",39 mm,193 mm,,,,WEEE TCO Certified Displays 6.0 RoHS EPEAT Silver ENERGY STAR 6.0,Yes,348 mm,434 mm,,Philips Electronics,247E4LHAB/00,1920 x 1080,1,17.20 W,,E-line,247E4LHAB,LCD Monitor With SmartImage Lite,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,Yes,3.16 kg,557 mm,557 mm,Yes,Touch Controls SmartImage Security Lock,Yes,178°,,2.0,Mac PC,,Yes,170°,,3.44 kg,,,16.7 Million Colours,,Yes,110 V AC 220 V AC,,300 mW,,60 Hz,500 mW,,,,,BSMICCCCE MarkFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,,,,,,,,,,,,,,,,,,,,,,,,,
"P2460PXQU, 3091674, AOC, LCD Monitor, JR Linton",16:10,LED,AOC,250 cd/m²,USB Hub,Black,"50,000,000:1",,244.60 mm,Yes,Yes,,TCO Certified Displays 6.0 EuP REACH ENERGY STAR 6.0 RoHS EPEAT Gold,Yes,,553.40 mm,3 Year,AOC,P2460PXQU,1920 x 1200,1,24 W,"p2460Pxqu 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable DisplayPort Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",Professional,p2460Pxqu,"p2460Pxqu 61cm (24"") LCD Monitor",LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,Yes,,,558.40 mm,Yes,i-Menu Screen+ e-Saver Eco Mode Security Lock,No,178°,,2.0,,,Yes,178°,Yes,6.65 kg,Yes,Yes,16.7 Million Colours,Yes,,230 V AC 120 V AC,130 mm,500 mW,PLS (Plane to Line Switching) Technology,60 Hz,1 W,,-7°to23°,,,CE TUV-GS CU ISO9241-307,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"DS32SDI, VIGDS32SDI, Vigilant Vision, Ltd, LCD Monitor, JR Linton",16:9,LED,Vigilant,450 cd/m²,Speaker,Black,"6,000:1",,,,,,WEEE RoHS ENERGY STAR,Yes,,,,"Vigilant Vision, Ltd",DS32SDI,1920 x 1080,1,75 W,"32"" (16:9 ) LED Monitor Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,DS32SDI,"32"" (16:9 ) LED Monitor",LCD Monitor,6.50 ms,Full HD,"81.3 cm (32"")",,Yes,19.10 kg,,,,Picture on Picture Picture in Picture Sleep Timer,Yes,176°,Desk Mountable,2.0,,,Yes,176°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,200 x 200,,CE FCC,,,,,,,Yes,,,,,,,,Yes,HDSDI,,,,,,,,,
"231S4LCB/00, Philips, LCD Monitor, JR Linton",16:9,,Philips,250 cd/m²,,Black,"1,000:1",60 mm,227 mm,,Yes,,RoHS TCO Certified Displays 6.0 EPEAT Gold WEEE ENERGY STAR 5.0,Yes,343 mm,507 mm,,Philips Electronics,231S4LCB/00,1920 x 1080,1,21.30 W,,,231S4LCB,"S-Line, 23"" / 58.4 cm, Full HD Display",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,3.03 kg,547 mm,547 mm,Yes,Touch Controls TrueVision Security Lock SmartImage SmartErgoBase,,170°,,,Mac PC,S,,160°,Yes,4.92 kg,Yes,Yes,16.7 Million Colours,Yes,,220 V AC 110 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,SASOBSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,Yes,25% Plastic,,,,,,,,,,,,,
"9H.LC8LA.RBE, 3095515, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,300 cd/m²,,Glossy Black,"12,000,000:1",215 mm,,,Yes,,,,488 mm,,3 Year,BenQ Corporation,9H.LC8LA.RBE,1920 x 1080,1,29 W,GL2760H Widescreen LCD Monitor VGA Cable,,GL2760H,GL2760H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",No,Yes,5.40 kg,641 mm,,Yes,Flicker-free Senseye 3,Yes,170°,Wall Mountable,,PC,GL,No,160°,Yes,,No,,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,Twisted Nematic Film (TN Film),,,,-5°to20°,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSM8WGF, VIGDSM8WGF, Vigilant Vision, Ltd, LCD Monitor, JR Linton",,,Vigilant,250 cd/m²,Speaker,,500:1,28 mm,,,,,RoHS,Yes,173 mm,,,"Vigilant Vision, Ltd",DSM8WGF,800 x 600,1,9 W,,,DSM8WGF,DSM8WGF CCVT LCD Monitor,LCD Monitor,30 ms,SVGA,"20.3 cm (8"")",,Yes,1.35 kg,201 mm,,,,,130°,Wall Mountable,,,,Yes,130°,Yes,,,,,,,220 V AC 110 V AC,,,,,,,,100 x 100,,FCCCE,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"E2460PDA, 2593359, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,Speaker,,"1,000:1",244.6 mm,,No,Yes,,EPEAT Gold ENERGY STAR 5.0 RoHS EuP TCO Displays 5.0,Yes,523.6 mm,,3 Year,AOC,E2460PDA,1920 x 1080,1,19.20 W,"e2460Pda 61cm (24"") LED MonitorPower CableD-Sub CableDVI-D CableAudio CableDriver CDWarranty Card",Professional,e2460Pda,"e2460Pda 61cm (24"") LED Monitor",LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,Yes,,565.4 mm,,Yes,Security Lock Eco Mode,No,170°,Wall Mountable,,,,Yes,160°,Yes,,Yes,Yes,,Yes,,220 V AC 110 V AC,,300 mW,,60 Hz,500 mW,,,100 x 100,,CEFCCGOSTTÜV-BauartTÜV-GSISO 9241-307cTUVus,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"FWD-S55H2, 2498189, Sony, LCD Monitor, JR Linton",,Direct LED,Sony,1000 cd/m²,Speaker,,"4,000:1",120 mm,,,Yes,,,,723.8 mm,,,Sony Corporation,FWD-S55H2,1920 x 1080,1,290 W,,,FWD-S55H2,"FWDS55H2 55"" Pro Display W/Direct LED Backlight 1000 CD/M2",LCD Monitor,,Full HD,"139.7 cm (55"")",,Yes,35.70 kg,1253 mm,,,Screen Saver Eco Mode Picture in Picture,Yes,178°,,2.0,,,Yes,178°,Yes,,,,1.06 Billion Colors,,,,,,,,,,,400 x 400,,,Yes,Yes,,,Yes,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"60003492, NECEA274WMI, NEC Display Solutions, LCD Monitor, JR Linton",16:9,LED,NEC Display,350 cd/m²,USB Hub,White,"1,000:1",230 mm,,Yes,Yes,,ErP TCO Certified Displays 6.0 RoHS MPR II MPR III ENERGY STAR 6.0 EPEAT Gold,Yes,417.9 mm,,,NEC Display Solutions,60003492,2560 x 1440,1,57 W,,MultiSync,EA274WMi,EA274WMi Widescreen LCD Monitor,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",Yes,Yes,8.70 kg,639.2 mm,,Yes,Carbon Footprint Meter Ambient Light Sensor,Yes,178°,,,,EA,,178°,Yes,,Yes,Yes,16.77 Million Colors,,Yes,220 V AC 110 V AC,130 mm,,In-plane Switching (IPS) Technology,60 Hz,500 mW,170°,5°to30°,100 x 100,,CE ISO 9241-307 (pixel failure class I) PCT/Gost TÜV GS UL/C-UL or CSA TÜV Ergonomics FCC Class B,,,,,,,,,,USB 3.0,,,,,,,Landscape/Portrait,,,,,,,,
"S26361-K1208-V151, S26361K1208V151, Fujitsu Siemens Computers, JR Linton",,,Fujitsu,300 cd/m²,Speaker,,"1,500:1",59 mm,234 mm,,Yes,,IT Eco Declaration Blue Angel RoHS TCO '03 ENERGY STAR WEEE,Yes,343 mm,354 mm,,Fujitsu,S26361-K1208-V151,1280 x 1024,1,,,ScenicView,P19-3,ScenicView P19-3 LCD Monitor,LCD Monitor,8 ms,SXGA,"48.3 cm (19"")",,Yes,6 kg,412 mm,412 mm,,,,178°,,2.0,PC,,Yes,178°,,7.30 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plug & PlayKensington Lock Support,,,,,,
"9H.LAGLB.QBE, 2997289, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,Speaker,Glossy Black,"20,000,000:1",191.3 mm,,,,,,,421.6 mm,,,BenQ Corporation,9H.LAGLB.QBE,1920 x 1080,1,42 W,EW2440L Widescreen LCD Monitor HDMI cable,,EW2440L,EW2440L Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"61 cm (24"")",,Yes,3.74 kg,545.7 mm,,Yes,Brightness Sensor Security Lock Advanced Motion Accelerator (AMA) Senseye 3 Eye-Care Flicker-free Smart Focus Mobile High-Definition Link (MHL),Yes,178°,Wall Mountable,,PC,EW40,Yes,178°,,,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,,Vertical Alignment (VA),,500 mW,,-5°to20°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.EV6EE.001, 8654M75, Acer, LCD Monitor, JR Linton",16:10,LED,Acer,250 cd/m²,,Black,"100,000,000:1",52 mm,207 mm,,Yes,,EPEAT Gold TCO Certified Displays 6.0,Yes,333.1 mm,419.10 mm,3 Year,"Acer, Inc",UM.EV6EE.001,1680 x 1050,1,17.20 W,V226WL Widescreen LCD MonitorPower Cord1 x VGA Cable,,V226WL,V226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,Yes,3.09 kg,505.8 mm,505.80 mm,Yes,,,170°,,,,V,,160°,Yes,3.52 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,No,350 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"B7M13AA#ABU, HP, LCD Monitor, JR Linton",16:9,LED,HP,200 cd/m²,,Black,600:1,47.5 mm,170.20 mm,,Yes,,WEEE REACH EPEAT Silver ENERGY STAR,Yes,281.5 mm,339.50 mm,1 Year,Hewlett-Packard,B7M13AA#ABU,1366 x 768,1,24 W,"W1972a 47 cm (18.5) LED Backlit LCD Monitor VGA CableAudio CableAC Power Cord""",,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,Yes,,446.1 mm,446.10 mm,Yes,Security Lock,,90°,,,,,,50°,,2.70 kg,,,,Yes,,220 V AC 110 V AC,,,,,,,,,Anti-reflective,,,,,,,,,,,,,,,,,,,,,,,,,,
"220V4LSB/00, 2788641, Philips, LCD Monitor, JR Linton",16:10,LED,Philips,250 cd/m²,,Black,"1,000:1",48 mm,213 mm,,Yes,,WEEE TCO Certified Displays ENERGY STAR 5.0 RoHS EPEAT Silver,Yes,348 mm,416 mm,,Philips Electronics,220V4LSB/00,1680 x 1050,1,16.52 W,,,220V4LSB,LCD Monitor with LED backlight,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,Yes,3.32 kg,512 mm,512 mm,Yes,SmartContrast Sync on Green Eco Mode Security Lock,,170°,,,Mac PC,V,No,160°,Yes,3.66 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 UL/cUL,,,No,,No,,,,,,,,,,,,,,,,,,,,
"UM.PB6EE.009, 3193056, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,300 cd/m²,Speaker USB Hub,Dark Grey,"100,000,000:1",64.5 mm,247.20 mm,Yes,Yes,,ENERGY STAR EPEAT Gold TCO Certified Displays 6.0 ECO,Yes,381.9 mm,408.50 mm,3 Year,"Acer, Inc",UM.PB6EE.009,3840 x 2160,1,39 W,LED Monitor B286HK 1 x USB cable 1 x DVI cable 1 x Displayport cable Power cord,,B286HK,LED Monitor B286HK,LCD Monitor,1 ms,QFHD,"71.1 cm (28"")",Yes,,,658.7 mm,658.70 mm,Yes,ComfyView ErgoStand Mobile High-Definition Link (MHL) 6-axis Color Adjustment,Yes,170°,Wall Mountable,2.0,,,Yes,160°,Yes,,Yes,,16.7 Million Colours,Yes,,230 V AC 120 V AC,150 mm,400 mW,Twisted Nematic Film (TN Film),60 Hz,500 mW,60°,-5°to35°,100 x 100,Anti-glare,,,,,,,,,66 kWh,C,USB 3.0,,,,,,,,,,,,,,,
"5982-4100-9090, I110058, NCR Corporation, LCD Monitor, JR Linton",,,NCR,,,Charcoal Anthracite,600:1,,140 mm,,,,RoHS,Yes,,192 mm,,NCR Corporation,5982-4100-9090,640 x 480,1,,,RealPOS,5982-4100,RealPOS 5982-4100 LCD Monitor,LCD Monitor,25 ms,VGA,"16.5 cm (6.5"")",,Yes,612.3 g,,174 mm,,,,,,,,,,,,,,,,,,,,,,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"224E5QDAB/00, 2974034, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker,Glossy Black Cherry,"20,000,000:1",47 mm,213 mm,,Yes,,EPEAT Silver TCO Certified Displays 6.0 ENERGY STAR 6.0 WEEE RoHS TÜV,Yes,306 mm,394 mm,,Philips Electronics,224E5QDAB/00,1920 x 1080,1,17.46 W,,,224E5QDAB,LCD Monitor with SmartImage Lite,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.82 kg,500 mm,500 mm,Yes,Security Lock TrueVision Mobile High-Definition Link (MHL) SmartImage,Yes,178°,,2.0,PC Mac,,Yes,178°,Yes,3.14 kg,,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,300 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,500 mW,,-5°to20°,100 x 100,,BSMI CE Mark FCC Class B GOST SASO SEMKO ISO9241-307,,,,,,,,,,,,,,,,,,,,,,,,,
