<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Acer V206HQL 195 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; MPR II,,,,375238,"Acer, Inc",RT7693,1600 x 900,V206HQL,,,,,,,,,,,16:9,LED,200 Nit,,,"10.9""",110 V AC; 220 V AC,1.0,,,V206HQL Widescreen LCD Monitor,LCD Monitor,"19.5""",,,Yes,,"18.2""",,,,,,Black,16.7 Million Colors,"7.52""",Yes,"14.26""",,5 ms,HD+,,60 Hz,65°,90°,,"18.24""",,350 mW,16.20 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Viewsonic VX2252mh 22 LED LCD Monitor 2 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; RoHS,,,,988526,Viewsonic Corporation,TC2965,1920 x 1080,VX2252mh,,,,,,,,,,3-year limited,,LED,250 Nit,"2.1""",,"12.9""",110 V AC; 220 V AC,1.0,PC,,VX2252mh Widescreen LCD Monitor,LCD Monitor,"22""",Yes,,Yes,6.39 lb,"20.1""",,,,,Speaker,,,"8.80""",Yes,"15.80""",Wall Mountable,2 ms,Full HD,Yes,,160°,170°,7.25 lb,"20.10""",ClearMotiv; Security Lock,,,,,,Yes,,,,,,VX,,,,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
Compaq Business L2206tm 215 LED LCD Touchscreen Monitor 169 5 ms by Office Depot,Compaq,"1,000:1",,,EPEAT Gold; ENERGY STAR; TCO Displays 5.0; CECP,,,,205396,Hewlett-Packard,PG3158,1920 x 1080,L2206tm,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.1""",Landscape/Portrait,"12.7""",110 V AC; 220 V AC,,PC,Business,L2206tm 21.5-inch LED Backlit Touch Monitor,LCD Touchscreen Monitor,"21.5""",Yes,,Yes,15.40 lb,"20.4""",,,,Optical,Speaker; USB Hub,Black,,"8.98""",Yes,"17.52""",Arm-mountable; Wall Mountable,5 ms,Full HD,Yes,60 Hz,160°,170°,,"20.39""",Video Wall; Security Lock,,39 W,500 mW,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,CAS and IEC 60950-1 Second Edition; CEL Grade 1; CB; CE; TUV-GS; ISO 13406-2; CSA; FCC; Gost; NOM; TUV-S; VCCI; KC/KCC; PSB; ISC; BSMI; C-Tick; CCC; SEPA; CEL; E-Standy,Yes,,Yes,,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic Professional CDE4200 L 42 LED LCD Monitor 169 650 ms by Office Depot,Viewsonic,"3,000:1",42 inches,,RoHS; CEC,,,,318493,Viewsonic Corporation,11117729,1920 x 1080,CDE4200-L,,,,,,,,,,3-year limited,16:9,LED,350 Nit,"2.5""",,"24.6""",110 V AC; 220 V AC,1.0,,Professional,"42"" Full HD LED Professional Display",LCD Monitor,,Yes,200 x 200,Yes,26.20 lb,"38.4""",,,,,Speaker,,,"8.20""",,"26.70""",Wall Mountable,6.50 ms,Full HD,Yes,,170°,170°,27.80 lb,"38.40""",Security Lock,,59 W,,,Yes,Yes,,,,,,,,,FCC; CE; UL,,Yes,,2.0,Yes,Anti-glare,,,,,,,,,,,,,,,Yes,Yes,,
NEC Display MultiSync E201W 20 LED LCD Monitor 169 5 ms by Office Depot,NEC Display,"1,000:1",,,EPEAT Silver; ENERGY STAR; RoHS; TCO '05,,,,225589,NEC Display Solutions,S7944173,1600 x 900,E201W,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.2""",,"11.2""",,1.0,PC,MultiSync,MultiSync E201W Widescreen LCD Monitor,LCD Monitor,"20""",Yes,100 x 100,Yes,11.90 lb,"18.8""",,,,,,,,"8.40""",Yes,"14.10""",,5 ms,,,75 Hz,178°,178°,,"18.80""",,,25 W,420 mW,,,Yes,,,,,Yes,,,,Windows 7-certified; ISO 9241-307 Class I,Yes,,,,,,,,,,,,,,,,,,,,,,,
HP Promo U160 156 LED LCD Monitor 12 ms by Office Depot,HP,500:1,,,ENERGY STAR; EPEAT Silver,,,,779618,Hewlett-Packard,QQ3782,1366 x 768,U160,,,,,,,,,,3-year limited,,LED,180 Nit,"0.6""",,"10.7""",,1.0,PC,Promo,U160 15.6-inch LED Backlit Monitor,LCD Monitor,"15.6""",,,,3.39 lb,"14.8""",,,,,,Black,,,,,Desk Mountable,12 ms,WXGA,No,,65°,90°,,,,,5 W,500 mW,,Yes,Yes,No,No,,,,,,,,,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
HP Business P19A 19 LED LCD Monitor 54 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays; China Energy Label (CEL); CECP,,,,719993,Hewlett-Packard,RC1797,1280 x 1024,P19A,,,,,,,,,,3-year limited,5:4,LED,250 Nit,"2.3""",,"13.7""",110 V AC; 220 V AC,1.0,PC,Business,ProDisplay P19A 19-Inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,"19""",Yes,100 x 100,Yes,6.59 lb,"16.3""",,,,,,Black,16.7 Million Colors,"8.13""",,"16.46""",Wall Mountable; Arm-mountable,5 ms,SXGA,,60 Hz,160°,170°,7.72 lb,"16.30""",Security Lock,,25 W,500 mW,,No,Yes,No,No,,China,,Essential,,,CB; CE; CCC; BSMI; S-Mark; VCCI; FCC; CSA; GS Mark; ICES; C-Tick; e-Standby,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Planar PXL2430MW 24 LED LCD Touchscreen Monitor 169 5 ms by Office Depot,Planar,"1,000:1",,,RoHS; WEEE,,,,937861,"Planar Systems, Inc",KH2940,1920 x 1080,PXL2430MW,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"4.3""",,"15.5""",110 V AC; 220 V AC,,PC,,PXL2430MW Touchscreen LCD Monitor,LCD Touchscreen Monitor,"24""",Yes,100 x 100,Yes,19.84 lb,"21.9""",,,,Optical,Speaker,,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,Full HD,Yes,60 Hz,160°,170°,,,,400 mW,35 W,400 mW,Yes,Yes,Yes,,,,,,,,,cTUVus; FCC-B; CE,,Yes,Yes,,,,,USB 2.0,,,,,,,,,,,,,,,,
Acer V246HL 24 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; EPEAT Gold; ENERGY STAR,,,,630667,"Acer, Inc",QX6154,1920 x 1080,V246HL,,,,,,,,,,,16:9,LED,250 Nit,"8.1""",,"16.6""",110 V AC; 220 V AC,1.0,,,V246HL Widescreen LCD Monitor,LCD Monitor,"24""",,,Yes,7.72 lb,"22.3""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,,60 Hz,160°,170°,8.60 lb,,,350 mW,20.90 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Samsung S24D300HL 236 Widescreen HD LED Monitor Black by Office Depot,Samsung,700:1 (static),23.6 inches,16.42 x 22.4 x 7.75,,yes,90 degrees,Yes,614006,Samsung,S24D300HL,1920 x 1080,S24D300HL,200 cd/m2,Black,1920 x 1080,0.272 mm,VGA (analog); HDMI (digital),No,5 ms,23.6 inches,yes,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,LED,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Acer V246HL 24 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; EPEAT Gold; ENERGY STAR,,,,598429,"Acer, Inc",RA7833,1920 x 1080,V246HL,,,,,,,,,,,16:9,LED,250 Nit,"8.1""",,"16.6""",110 V AC; 220 V AC,1.0,,,V246HL Widescreen LCD Monitor,LCD Monitor,"24""",,,Yes,7.63 lb,"22.3""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,Yes,60 Hz,160°,170°,8.60 lb,,,350 mW,20.09 W,450 mW,,,Yes,No,No,,,Yes,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
HP Essential P221 215 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays,,,,675326,Hewlett-Packard,QW9400,1920 x 1080,P221,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.4""",110 V AC; 220 V AC,1.0,,Essential,ProDisplay P221 21.5-Inch LED Backlit Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,8.80 lb,"20.4""",,,,,,Black,,"6.30""",Yes,"14.92""",,5 ms,Full HD,No,,160°,170°,,"20.39""",Security Lock,,28 W,500 mW,,,Yes,,,,,,,,,,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
HP Pavilion 22xi 215 LED LCD Monitor 169 7 ms by Office Depot,HP,"1,000:1",,,REACH; ENERGY STAR 5.2; ErP; CECP,,,,445987,Hewlett-Packard,RQ7234,1920 x 1080,22xi,,,,,,,,,,,16:9,LED,250 Nit,"6.7""",,"15.1""",,1.0,,Pavilion,"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor",LCD Monitor,"21.5""",,,Yes,6.61 lb,"19.6""",,,,,,,,,Yes,,,7 ms,Full HD,,60 Hz,178°,178°,,,Security Lock,,28 W,500 mW,,,Yes,,,,,,,,,CB; CE; FCC Marking; CSA/C-UL/C-ETL Mark; UL/CSA-NTRL/ETL-NRTL Mark; ICES; CCC; Bauart; ISO9241-307; GOST 25861; HRN N N0.201; GOST R 50377-1992; EEI Certificate; IS 1121; SASO; SABS IEC 60950-1; NOM-019-SCFI-1998; KC Mark; KCC Mark; PSB mark; ISC mark; C-Tick,Yes,Yes,,,,Anti-glare,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
NEC Display MultiSync EA223WM 22 LED LCD Monitor 1610 5 ms by Office Depot,NEC Display,"1,000:1",,,ENERGY STAR 5.1; TCO Certified Displays 5.2; EPEAT Silver; RoHS,,,,708833,NEC Display Solutions,S8356496,1680 x 1050,EA223WM,,,,,,,,,,3-year limited,16:10,LED,250 Nit,"2.4""",,"13""",,1.0,,MultiSync,"22"" LED-Backlit Desktop Monitor W/Adjustable Stand",LCD Monitor,"22""",Yes,100 x 100,Yes,7.30 lb,"19.8""",,,,,Speaker; USB Hub,,16.7 Million Colors,"8.60""",Yes,"20.20""",,5 ms,WSXGA+,Yes,75 Hz,178°,178°,12.30 lb,"19.80""",Ambient Light Sensor; Carbon Footprint Meter; AccuColor; Security Lock,,25 W,400 mW,,Yes,Yes,Yes,Yes,,,Yes,EA,,,ISO 9241-307 Class I,Yes,,,,,,,USB 2.0,,,,,,,,,,,,,,,,
Viewsonic Professional VP2365 LED Widescreen LCD Monitor by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; EPEAT Silver; RoHS; WEEE; TCO '05,,,,580999,Viewsonic Corporation,KL3625,1920 x 1080,VP2365-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.6""",,"12.8""",110 V AC; 220 V AC,1.0,PC; Mac,Professional,Professional VP2365-LED Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,7.28 lb,"21.6""",,,,,USB Hub,Black,16.7 Million Colors,"9.80""",Yes,"17""",,6 ms,Full HD,,75 Hz,178°,178°,11.90 lb,"21.60""",Pivot Display,,45 W,,,Yes,Yes,,,,,,,,,UL; cUL; FCC-B; CB; CE; TUV/GS; TUV Ergo; TUV-S; NOM; GOST-R; HYGIENIC; CCC; BSMI; PSB; CEL; KC; C-Tick; SASO,Yes,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Viewsonic VX2452mh 24 LED LCD Monitor 169 2 ms by Office Depot,Viewsonic,"1,000:1",24 inches,,RoHS; ENERGY STAR,,,,988508,Viewsonic Corporation,TC2966,1920 x 1080,VX2452mh,300 Nit,,,,,,,,,3-year limited,16:9,LED,,"2.1""",,"14""",,1.0,PC,,VX2452mh LED Monitor,LCD Monitor,,Yes,,Yes,7.72 lb,"22""",,,,,Speaker,,,"8.80""",Yes,"17""",Wall Mountable,2 ms,Full HD,Yes,,160°,170°,8.38 lb,"22""",Security Lock; ClearMotiv,,21.50 W,,,,Yes,,,,,,VX,,,,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
Viewsonic VA705 LED 17 LED LCD Monitor 43 5 ms by Office Depot,Viewsonic,"1,000:1",,,RoHS; WEEE; ENERGY STAR; MPR II; TCO '03; REACH; TCO Certified Displays 6.0,,,,695873,Viewsonic Corporation,PU9480,1280 x 1024,VA705-LED,,,,,,,,,,3-year limited,4:3,LED,250 Nit,"2.7""",,"13.3""",110 V AC; 220 V AC,1.0,PC; Mac,,"17"" LED Display Eco-Friendly and Performance Enhancing",LCD Monitor,"17""",Yes,100 x 100,Yes,5.64 lb,"14.9""",,,,,,Black,,"8.26""",,"15.74""",Wall Mountable,5 ms,SXGA,,,160°,170°,6.42 lb,"14.92""",Eco Mode; Security Lock; Auto-off,,24 W,500 mW,,,Yes,,,,,,Value,,,UL; cUL; FCC-B; CB; CE; ICES-003B; TUV/GS; TUV Ergo; TUV-S; NOM; GOST-R; HYGIENIC; CCC; BSMI; PSB; C-Tick; KTL/MIC; TAA; SASO,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic VG2437mc LED 24 LED LCD Monitor 5 ms by Office Depot,Viewsonic,"1,000:1",,,EPEAT Silver; ENERGY STAR; RoHS; WEEE,,,,695963,Viewsonic Corporation,QN7237,1920 x 1080,VG2437mc-LED,,,,,,,,,,3-year limited,,LED,300 Nit,"2.4""",,"13.4""",110 V AC; 220 V AC,1.0,PC; Mac,,VG2437mc-LED Full HD Resolution with DisplayPort Connectivity,LCD Monitor,"24""",Yes,100 x 100,Yes,8.30 lb,"21.9""",,,,,Webcam; Microphone; Speaker; USB Hub,,,"9.40""",Yes,"17.80""",,5 ms,Full HD,Yes,60 Hz,160°,170°,11.50 lb,"21.90""",,,24.50 W,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,UL/cUL; FCC-B,Yes,,,,Yes,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Planar PT1911MX Touchscreen LCD Monitor by Office Depot,Planar,800:1,,,RoHS,,,,370827,"Planar Systems, Inc",U34415,1280 x 1024,PT1911MX,,,,,,,,,,3-year limited,4:3,,250 Nit,"2.7""",,"14.6""",110 V AC; 220 V AC,,,,PT1911MX Touchscreen LCD Monitor,LCD Touchscreen Monitor,"19""",,,Yes,14.10 lb,"17.2""",,,,Capacitive,,Black,,,Yes,,,5 ms,SXGA,Yes,,160°,160°,,,,,,,Yes,Yes,,,,,China,,PT,,,,,,,,,,,,,,,Operating System:; Windows Vista; Windows XP; XP Embedded; Windows CE; Windows 2000; Windows ME; Windows 98; Linux; Apple; Mac,,,,,,,,,,,,
Lenovo ThinkVision LT2013p 195 LED LCD Monitor 169 5 ms by Office Depot,Lenovo,"1,000:1",,,ENERGY STAR 6.0; EPEAT Gold; TCO Certified Displays 6.0; TCO Certified Edge Displays 1.1; ULE Gold; RoHS; China RoHS; Turkey RoHS; MPR II; China Energy Label (CEL),,,,479198,Lenovo Group Limited,RG0301,1600 x 900,LT2013p,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,110 V AC; 220 V AC,1.0,PC,ThinkVision,ThinkVision LT2013p 19.5-inch LED Backlit LCD Monitor,LCD Monitor,"19.5""",Yes,100 x 100,Yes,9.70 lb,"18.4""",,,,,USB Hub,Black,16.7 Million Colors,,,"13.25""",,5 ms,HD+,,75 Hz,160°,170°,,"18.39""",Security Lock,500 mW,36 W,1 W,,Yes,Yes,Yes,Yes,,,Yes,,1.0,,Safety:; cTUVus; IEC950 CB Report; NEMKO; KVALITET; UKraine; NOM; SASO; Gost; PSB; BSMI; JEITA; TUV-S; SABS; INSM; Greenmark by TUV/Carbon footprint; e-Standby; GSEMI:; FCC B; CE; VCCI; KC; IC; CCC; SABSERGONOMIC:; EPA 6.0; TUV-GS; ISO 9241-307; CSC; China National Monitor Energy Efficiency standard Tier 1; TUV-Green Mark; GHG(B2B); ECO declaration,,Yes,,,,,,USB 2.0,,,,,,,,,,,,,,,,
HP LD4730 47 LCD Monitor 169 12 ms by Office Depot,HP,"1,400:1",,,EuP,,,,722116,Hewlett-Packard,3181219,1366 x 768,LD4730,,,,,,,,,,3-year limited,16:9,,800 Nit,"3.5""",Landscape/Portrait,"23.3""",110 V AC; 220 V AC,1.0,PC; Mac,,LD4730 Widescreen LCD Monitor,LCD Monitor,"47""",Yes,400 x 400,Yes,52.47 lb,"41.2""",,,,,,Black,,,,,Wall Mountable,12 ms,WXGA,,60 Hz,178°,178°,,,Security Lock; Video Wall,,250 W,500 mW,,Yes,,,,,,Yes,,,,"UL UL60950-1 First Edition; cUL CAN/CSA-C22.2 NO. 60950-1-03; NOM NYCE; TUV EN60950-1; PSE J60065 (H14), J55013 (H14); CCC GB4943, GB9254, GB17625.1; PSB IEC60950-1; TUV-S IEC60950-1; BSMI CNS13438, CNS14336; FCC Class B; FCC 47 CFR Part 15 Class B; ICES-003 Class B; CE EN55022B, EN55024, EN61000-3-2, 3; VCCI-V-2 V-3 V-4, CISPR-22B; C-Tick AS/NZS3548:1995; KCC Requirements; Korea Energy Boy; SmartWay - Energy logistics",,,,,,Anti-glare; Anti-static,,USB 2.0,,,Yes,,,,,,,,,,,,,
Viewsonic VP2772 27 LCD Monitor by Office Depot,Viewsonic,"1,000:1",,,,,,,319114,Viewsonic Corporation,TC2967,2560 x 1440,VP2772,,,,,,,,,,3-year limited,,,,"2.2""",,"15""",,1.0,,,"27"" (27"" Viewable) QHD Display with 99% Adobe RGB Color Space and Daisy Chain",LCD Monitor,"27""",,,,12.20 lb,"25.3""",,,,,USB Hub,,,"13.70""",Yes,"18.50""",,,QHD,,,178°,178°,18.80 lb,"25.30""",,,,,,Yes,Yes,,,,,,,,,,,Yes,,,,,In-plane Switching (IPS) Technology,USB 3.0,,,,,,,,,,,,,,,,
Asus VE278Q 27 LED LCD Monitor 169 2 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,860316,ASUS Computer International,DL7133,1920 x 1080,VE278Q,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"8.7""",,"17.5""",,1.0,PC,,VE278Q Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,14.33 lb,"25.3""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,2 ms,Full HD,Yes,85 Hz,160°,170°,,,,,44 W,2 W,,,Yes,,,,,,VE,,,CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS; Taiwan Green Mark,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
DoubleSight Displays DS 279W 27 LED LCD Monitor 169 6 ms by Office Depot,DoubleSight Displays,"1,000:1",,,,,,,988382,"DoubleSight Displays, LLC",QQ1301,2560 x 1440,DS-279W,,,,,,,,,,3-year limited,16:9,LED,380 Nit,"7.5""",,"16""",110 V AC; 220 V AC,1.0,,,DS-279W Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,15 lb,"26""",,,,,Speaker,Black,1.07 Billion Colors,,Yes,,,6 ms,WQHD,Yes,,178°,178°,17 lb,,Picture in Picture; Split Screen,,120 W,1.20 W,,,,,,,,Yes,,,,FCC,Yes,Yes,,2.0,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Acer S200HQL 195 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II; ENERGY STAR,,,,417691,"Acer, Inc",RW9948,1600 x 900,S200HQL,,,,,,,,,,,16:9,LED,250 Nit,"6.6""",,"13.1""",110 V AC; 220 V AC,1.0,,,S200HQL Widescreen LCD Monitor,LCD Monitor,"19.5""",,,Yes,4.40 lb,"18.3""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,HD+,,60 Hz,160°,170°,5.10 lb,,,320 mW,14 W,490 mW,,,Yes,No,No,,,,S,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Samsung SyncMaster S22B420BW 22 LED LCD Monitor 1610 5 ms by Office Depot,Samsung,"1,000:1",,,EPEAT Gold; TCO Displays 5.0; ENERGY STAR,,,,771127,Samsung,PD5978,1680 x 1050,S22B420BW,,,,,,,,,,3-year limited,16:10,LED,250 Nit,"2.4""",,"13.1""",110 V AC; 220 V AC,1.0,,SyncMaster,"22"" 420 Series Business LED Monitor",LCD Monitor,"22""",Yes,100 x 100,Yes,,"19.9""",,,,,,Matte Black,,"8.70""",Yes,"18.10""",Wall Mountable,5 ms,WSXGA+,,,160°,170°,9.02 lb,"19.90""",MultiScreen; Eco Saving; MagicAngle; MagicBright; MagicColor; Off Timer; MagicTune,,25 W,300 mW,,,,Yes,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Elite S230tm 23 LED LCD Touchscreen Monitor 169 7 ms by Office Depot,HP,"10,000,000:1",,,CECP; ENERGY STAR; EPEAT Gold; China Energy Label (CEL); TCO Certified Displays,,,,166519,Hewlett-Packard,TY2173,1920 x 1080,S230tm,,,,,,,,,,3-year limited,16:9,LED,220 Nit,"1.6""",,"16.1""",,,PC,Elite,EliteDisplay S230tm 23-inch Touch Monitor,LCD Touchscreen Monitor,"23""",Yes,100 x 100,,12.13 lb,"23.6""",,,,Optical,Webcam; Microphone; Speaker,,,"2.70""",Yes,"16.10""",Arm-mountable; Wall Mountable; Desk Mountable,7 ms,Full HD,Yes,60 Hz,178°,178°,14.33 lb,"23.60""",,,33 W,500 mW,Yes,Yes,Yes,,,,,Yes,,,,CB; CE; TUV-S; EAC; cUL; FCC; CSA; NOM; S-Mark; VCCI; PSB; ISC; CCC; BSMI; C-tick; e-Standby; EK; SmartWay Transport Partnership (NA); Microsoft WHQL,Yes,,Yes,,,Anti-glare,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,15°to70°
Asus VG248QE 24 LCD Monitor 1 ms by Office Depot,Asus,,,,,,,,274250,ASUS Computer International,QV8889,1920 x 1080,VG248QE,,,,,,,,,,,,,,,,,,1.0,,,VG248QE Widescreen LCD Monitor,LCD Monitor,"24""",,,,,,,,,,,Black,,,Yes,,,1 ms,Full HD,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
Viewsonic VX2270Smh LED 22 LED LCD Monitor 169 7 ms by Office Depot,Viewsonic,"1,000:1",,,EPEAT Silver; RoHS,,,,695702,Viewsonic Corporation,QC3956,1920 x 1080,VX2270Smh-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,,,VX2270Smh-LED Widescreen LCD Monitor,LCD Monitor,"22""",,,Yes,,,,,,,Speaker,Glossy Black,,,Yes,,,7 ms,Full HD,Yes,,178°,178°,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Anti-glare,,,,,,,,,,,,,,,,,,
HP Essential P221 215 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,TCO Certified Displays; ENERGY STAR; EPEAT Gold,,,,695251,Hewlett-Packard,RC0208,1920 x 1080,P221,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.4""",110 V AC; 220 V AC,1.0,,Essential,ProDisplay P221 21.5-Inch LED Backlit Monitor,LCD Monitor,"21.5""",,,Yes,8.82 lb,"20.4""",,,,,Speaker,Black,,"6.30""",Yes,"14.92""",,5 ms,Full HD,Yes,,160°,170°,,"20.39""",Security Lock,,28 W,500 mW,,,Yes,,,,,,,,,,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
HP Essential P201 20 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,TCO Certified Displays; ENERGY STAR; EPEAT Gold,,,,779789,Hewlett-Packard,QW9402,1600 x 900,P201,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"11.6""",110 V AC; 220 V AC,1.0,,Essential,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,"20""",Yes,100 x 100,Yes,7.72 lb,"19""",,,,,,Black,,"5.95""",Yes,"14.14""",,5 ms,HD+,,,160°,170°,,"18.98""",Security Lock,,22 W,500 mW,,,Yes,,,,,,,,,,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Asus VE208T 20 LED LCD Monitor 169 5 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,142132,ASUS Computer International,DL8388,1600 x 900,VE208T,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.9""",,"14.5""",,1.0,PC,,VE208T Widescreen LCD Monitor,LCD Monitor,"20""",Yes,100 x 100,Yes,7.05 lb,"18.9""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,,Yes,76 Hz,160°,170°,,,,,30 W,1 W,,,Yes,,,,,,,,,UL/cUL; CB; CE; EuP; CEL; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
HP Business E271i 27 LED LCD Monitor 169 7 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; TCO Certified Edge; EPEAT Gold; China Energy Label (CEL); EPA,,,,720506,Hewlett-Packard,RY4376,1920 x 1080,E271i,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.1""",,"15.3""",110 V AC; 220 V AC,1.0,,Business,EliteDisplay E271i LED Monitor,LCD Monitor,"27""",,,Yes,10.80 lb,"25.3""",,,,,USB Hub,Black,,"10.96""",Yes,"20.95""",,7 ms,Full HD,,60 Hz,178°,178°,16.98 lb,"25.28""",Security Lock,,40 W,500 mW,,Yes,Yes,Yes,Yes,,,Yes,,,,CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; CECP; SEPA; ISC; VCCI; FCC; BSMI,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,USB 2.0,,,,,,,,,,,,,,,,
