<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
AOC 28 AOC m2870Vq MONITOR LED,Si,,"45,18 cm",,Si,178°,178°,Kensington,"AC, Audio (3.5mm), HDMI, VGA","CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,27W,"0,5W","0,5W",,"59,789 cm","33,631 cm","71,1 cm 71,12 cm (28"")","0,311 x 0,311 mm",,16:9,,50 Hz,30 - 83 kHz,50 - 76 Hz,No,Si,-5 - 25°,Si,Si,"66,51 cm","66,51 cm",,300 cd/m²,,1080p,Si,,,"7,3 kg",No,Si,,,"24,19 cm",1.0,,,1.0,1000:1,50000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,,,WVA,5 ms,No,W-LED,LED,Full HD,,100 - 240V,No,No,No,,,,,,,Argento,Si,1.0,"49,2 cm",,,,,Si,,,"73,8 cm",Si,,"5,3 kg",,"13,7 cm",,,,,,1.0,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 24 E2473HS-GB1 VGA.DVI.HDMI MONITOR LED,,418 mm,,,Si,170 °,160 °,Kensington,,,Si,,Nero,16.77 M,100 x 100 mm,,,22 W,,,,521.3 mm,293.2 mm,"599.4 mm (23.6 "")",0.2715 x 0.2715 mm,,16:9,N,50/60 Hz,,,,Si,0 - 20 °,,,556 mm,,,300 cd/m²,,,Si,2.0,4.3 kg,,,Si,2 W,218.5 mm,,2.0,,,1.0,1000:1,5000000:1,N,1920 x 1080 Pixels,,,N,.,,,2 ms,N,,LCD,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,55 - 76 Hz,,24 - 82 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 21.5 VS229HV IPS MONITOR LED,,385.5 mm,,1,N,178 °,178 °,Kensington,"AC, DVI, VGA","BSMI, CB, CCC, CEL, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,21.5 W,0.5 W,,,,,"546.1 mm (21.5 "") 54.61 cm",0.248 x 0.248 mm,,16:9,N,,30 - 83 kHz,50 - 75 Hz,,Si,-5 - 20 °,Si,,514.1 mm,,,250 cd/m²,,1080p,Si,,3.5 kg,5.6 kg,,Si,,200 mm,,1.0,,,1.0,,80000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,IPS,5 ms,N,,LED,Full HD,,,,,,,,,,,,,,1.0,443 mm,,,,Si,,,,566 mm,,,,,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
HannsG 19.5 HP205DJB MONITOR LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3, 4 kg",,,,,,,,,,,1000:1 / 80000000:1 (dinamico),,,,,,,,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrato,,,,,,Nero,"DVI-D, VGA",,"HANNS.
G HP205DJB - monitor a LED - 19,5""",,"46,55 cm x 21,72 cm x 36,18 cm",,,250 cd/m2,,"0,27 mm",,,Widescreen - 16:9,"Piano girevole, inclinazione",1600 x 900 A 60 Hz,Certificato ENERGY STAR,"GS, CB, TCO Displays 6,0","16,7 milioni di colori",,,"Monitor LCD con retroilluminazione a LED - 19,5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anti riverbero,,,,,,,,,,,,,,,,,
LG 22 22M45D-B MONITOR LED,,"31,6 cm","41,8 cm",,,170°,160°,,,,,Non specificato,Nero,"16,77M",75 x 75 mm,No,,25W,,"0,3W",,,,"54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,,50/60 Hz,,,,Si,,,Si,"50,9 cm","50,9 cm",,250 cd/m²,,,Si,,,,Si,Si,,6 cm,"18,8 cm",,,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,,TN,5 ms,No,,LED,Full HD,,100 - 240V,No,No,No,,,,,,,,Si,,"11,6 cm",,,,,Si,,,"57,7 cm",Si,,,,"38,1 cm",,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung LED 22 S22B420BW16:10 5ms VGA DVI Pivot MONITOR LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000:1,,,,,,,,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero opaco,"DVI-D, VGA",,"Samsung S22B420BW - monitor a LED - 22""",,"50,55 cm x 22 cm x 35,92 cm - con supporto",,,250 cd/m2,,"0,282 mm",,,Widescreen - 16:10,"Snodo (rotazione), piano girevole, inclinazione",1680 x 1050 A 60 Hz,Certificato ENERGY STAR,,"16,7 milioni di colori",,,"Monitor LCD con retroilluminazione a LED - 22""",TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 21.5 VS229HA IPS MONITOR LED,Si,"31,518 cm","38,722 cm",1,No,178°,178°,Kensington,"AC, DVI, VGA",,Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,3.5 mm,30W,"0,5W",,,,,"54,6 cm 54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,No,50/60 Hz,50 - 75 kHz,30 - 83 Hz,,Si,-5 - 20°,Si,,"51,41 cm","51,41 cm",,250 cd/m²,,,Si,,,"5,4 kg",,Si,,"4,84 cm","20,063 cm",1.0,,,1.0,,80000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,1.0,"44,3 cm",,,,Si,,,,"56,6 cm",,,"3,5 kg",,13 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5W",,,,,,,,,,,,,,,,,,,,,,,
ASUS LED 24 ML249HR MONITOR LED,,,431 mm,,N,178 °,178 °,Kensington,,,Si,Non specificato,Nero,16.77 M,N,N,3.5 mm,39 W,0.5 W,0.5 W,,,,"609.6 mm (24 "")",0.2768 x 0.2768 mm,,16:9,N,,30 - 83 kHz,50 - 76 Hz,,Si,-5 - 20 °,Si,,,572 mm,,250 cd/m²,,,N,,,6.5 g,,N,,,221 mm,1.0,,,1.0,5000:1,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,N,,LED,Full HD,,,N,N,N,,,,,,,,,,483 mm,,,,,,,,650 mm,,,4.2 g,,171 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 29 AOC q2963Pm IPS,Si,387.91 mm,,,Si,178 °,178 °,Kensington,,TCO 6.0,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,30 W,0.5 W,0.5 W,,694.6 mm,308.9 mm,"736.6 mm (29 "") 73.7 cm",0.876 x 0.876 mm,146 MHz,21:9,N,50/60 Hz,30 - 83 kHz,55 - 75 Hz,N,Si,-5 - 20 °,Si,Si,713.57 mm,,N,250 cd/m²,,,Si,1.0,6.9 kg,,Si,,,211.99 mm,,1.0,,,1.0,1000:1,50000000:1,N,2560 x 1080 Pixels,2560 x 1080,N,N,.,,,5 ms,N,,LED,,,90 - 240 V,N,N,N,,,N,N,,N,,Si,1.0,,,,,,,,,,,,9.79 kg,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 27 AOC e2752V,Si,452 mm,,1,N,170 °,160 °,Kensington,"AC, DVI, VGA","FCC, CE, EPA, CCC, GOST, TÜV, ISO, TCO 5.0, EuP",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,38 W,,1 W,,,,"68.6 cm 685.8 mm (27 "")",0.311 x 0.311 mm,,16:9,N,50/60 Hz,30 - 83 kHz,55 - 75 Hz,,Si,-3 - 19 °,Si,,645.7 mm,,,300 cd/m²,,1080p,Si,,5.29 kg,,,Si,,210 mm,,,,,1.0,1200:1,2000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,N,W-LED,LED,Full HD,,90 - 240 V,,,,,,,,,,Argento,Si,1.0,,,597.89 x 336.31 mm,,,Si,,,,Si,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 24 24M35D-B MONITOR LED,,"31,4 cm","43,8 cm",,No,,,,,,,,Nero,"16,77M",100 x 100 mm,No,,"0,3W",,19W,,,,"59,94 cm (23.6"")",,,16:9,No,50/60 Hz,,,,Si,,,,"55,6 cm","55,6 cm",,200 cd/m²,,,Si,,"2,7 kg","4,24 kg",Si,Si,,"9,5 cm","21,5 cm",,,,1.0,1000:1,,,1920 x 1080 Pixels,,,No,,,TN,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,1.0,"14,3 cm",,,,,,,,"62,5 cm",,,3 kg,,"41,4 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 24 PL XB2483HSU-B1 MONITOR LED,,,516.5 mm,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), USB, VGA",,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,27 W,,0.5 W,,531.4 mm,298.9 mm,"609.6 mm (24 "")",0.277 x 0.277 mm,,16:9,,,30 - 80 kHz,55 - 75 Hz,Si,Si,-5 - 22 °,Si,,,565.5 mm,N,250 cd/m²,,1080p,Si,2.0,,,,Si,4 W,,230 mm,1.0,2.0,,1.0,3000:1,5000000:1,130 mm,1920 x 1080 Pixels,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",Si,,.,N,A-MVA,4 ms,,,LED,Full HD,,,N,N,N,,,,,,,,Si,1.0,,-45 - 45 °,,,Si,,,,,,Si,5 kg,0 - 90 °,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 22 PL T2253MTS-GB1 Touch MONITOR LED,,399 mm,,1,Si,170 °,160 °,,"AC, Audio (3.5mm), DVI, USB, VGA","CE, TÜV/Bauart, GOST-R, VCCI-B, PSE",Si,,Nero,,100 x 100 mm,N,,19 W,,0.5 W,546 mm,,,"54.6 cm 546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,,50/60 Hz,24 - 80 kHz,55 - 75 Hz,,Si,-9 - 22 °,,,556 mm,,,220 cd/m²,,1080p,Si,2.0,5.9 kg,,,,2 W,240 mm,,1.0,1.0,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,,,TN+Film,,,100 - 240 V,,,,,Si,,,Si,,,Si,1.0,,,,,,,,,,,,,,,,55 - 75 Hz,,24 - 80 kHz,,,,,,16.7 M,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",,,Si,,1 pezzi,,,,,,,,,Si,,556 x 240 x 399 mm,5.0,AC,,,,,,,Immagini ottiche,,,,,,,Kensington-lock,9.0,,,,,,,,,,,
IIyama LED 24 PL GE2488HS-B11ms VGA DVI HDMI Speaker MONITOR LED,Si,,"40,9 cm",,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI","CE, TÜV-Bauart, VCCI-B, PSE, CU",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,23W,,"0,5W",,"53,136 cm","29,889 cm","60,96 cm (24"")","0,277 x 0,277 mm",,16:9,No,50/60 Hz,30 - 80 kHz,55 - 75 Hz,,Si,,Si,,,"56,8 cm",,250 cd/m²,,1080p,Si,2.0,,,Si,Si,2W,,"21,75 cm",1.0,,,1.0,1000:1,5000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,No,TN,1 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,Si,1.0,,,,,Si,,,,,,,"3,5 kg",,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 2000, Windows 7 Home Basic, Windows 8, Windows 95, Windows 98, Windows ME, Windows Vista Home Basic, Windows XP Home","CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG LED 29 29UB65-P 21:9 DVI HDMI DP Sp Lift Pivot MONITOR LED,,"32,82 cm","41,82 cm",1,Si,178°,178°,,,,,Non specificato,Nero,"16,77M",Si,No,,38W,,"0,5W",,,,"73,66 cm (29"")",,,21:9,No,,,,,Si,-5 - 20°,,,"70,25 cm","70,25 cm",,300 cd/m²,,1080p,Si,2.0,,,Si,Si,7W,"6,38 cm","18,1 cm",2.0,1.0,,,,1000:1,11 cm,2560 x 1080 Pixels,"2560 x 1080, 1920 x 1080 (HD 1080)",Si,No,,No,IPS,14 ms,,,LED,Full HD,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0 - 90°,,,,,,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 24 24MB35PM-B IPS,,"34,2 cm","43,2 cm",1,Si,178°,178°,,"AC, Audio (3.5mm), DVI, VGA",,Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,24W,"0,3W","0,3W",,"52,688 cm","29,637 cm","60,45 cm (23.8"") 60,4 cm","0,274 x 0,274 mm",,16:9,No,47-63 Hz,,,,Si,-5 - 20°,Si,,"56,9 cm","56,9 cm",No,250 cd/m²,,1080p,Si,2.0,,,Si,Si,2W,"6,3 cm","27,1 cm",,,,1.0,1000:1,5000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,IPS,5 ms,No,,LED,Full HD,,90 - 240V,,,,,,,,,,,Si,1.0,,,,,,Si,,10 - 35 °C,,Si,Si,"5,1 kg",-90 - 90°,,10 - 80%,56 - 75 Hz,14.0,30 - 83 kHz,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE",,,,,,,-20 - 60 °C,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,,5 - 90%,,,,,,,,,
IIyama LED 23 PL X2380HS-B1 IPS MONITOR LED,,388.5 mm,,,Si,178 °,178 °,Kensington,"AC, DVI, VGA","CE, TUV-GS, TÜV-Bauart, VCCI-B, CU, TCO 6",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,26 W,,0.5 W,,509.18 mm,286.41 mm,"584.2 mm (23 "")",0.2652 x 0.2652 mm,,16:9,N,50/60 Hz,24 - 80 kHz,56 - 75 Hz,,Si,,Si,,548.5 mm,,,300 cd/m²,,,Si,2.0,5.8 kg,,Si,Si,4 W,213.5 mm,,1.0,,,1.0,1000:1,10000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,N,,LCD,Full HD,,100 - 240 V,,,,,,,,,,,Si,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 24 S24D590PL MONITOR LED,,"34,49 cm","42,12 cm",,No,178°,178°,No,"AC, HDMI",,Si,A,Nero,"16,77M",,No,,22W,,"0,3W",,,,"59,94 cm 60,96 cm (24"")","0,272 x 0,272 mm",,16:9,No,,,,,Si,,Si,,"54,18 cm","54,18 cm",,250 cd/m²,,,,,"4,16 kg","5,54 kg",Si,No,,"5,85 cm","16,92 cm",2.0,,,1.0,,Contrasto Mega,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,TFT/PLS,5 ms,No,,LED,Full HD,,,No,No,No,,,,,,,,Si,,"13,2 cm",,,,,,,,"60,7 cm",,,,,"39,7 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 kWh,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,
ASUS MONITOR LED 19.5 ASUS VS207DE,,355.5 mm,,,N,90 °,65 °,Kensington,,,Si,Non specificato,Nero,16.77 M,75 x 75 mm,N,,16.4 W,0.5 W,,,,,"49.5 cm 495.3 mm (19.5 "")",0.270 x 0.270 mm,,16:9,N,,,,,,-5 - 20 °,Si,,468 mm,,,200 cd/m²,,,Si,,2.59 kg,,,N,,185 mm,,,,,1.0,,80000000:1,N,1600 x 900 Pixels,,,N,.,,,5 ms,N,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 22 e2260Pdas MONITOR LED,,244.6 mm,,1,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm)",FCC GOST RoHS TÜV-Bauart TÜV-GS ISO 9241-307 TCO 5.0 cTUVus EuP,,Non specificato,Argento,16.77 M,100 x 100 mm,N,,15.5 W,,0.4 W,,,,"558.8 mm (22 "") 55.8 cm",0.248 x 0.248 mm,,16:10,N,50/60 Hz,,,Si,Si,-5 - 15 °,,,507.8 mm,,,250 cd/m²,,,Si,,5.65 kg,,,Si,,521.3 mm,,,,,1.0,1000:1,20000000:1,130 mm,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,N,.,,,5 ms,N,W-LED,LED,,Si,90 - 240 V,,,,,,,,,,Oro,Si,1.0,,,,,,,,,,,,,,,,55 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 24 e2460Phu2ms VGA DVI HDMI Sp Pivot MONITOR LED,,"52,42 cm",,,Si,170°,160°,Kensington,,"CE, Energy Star 5.0, EPEAT Gold, FCC, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS, Win7",Si,,Nero,"16,77M",100 x 100 mm,,,,,,"60,97 cm","53,136 cm","29,889 cm","60,96 cm (24"")","0,276 x 0,276 mm","148,5 MHz",16:9,No,50/60 Hz,,,,Si,-5 - 15°,,,"56,54 cm",,No,250 cd/m²,,,Si,,"6,54 kg",,Si,,,"24,458 cm",,1.0,,,1.0,1000:1,20000000:1,13 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,,,,,2 ms,No,W-LED,LED,Full HD,,90 - 240V,No,No,,,,,,,No,,Si,1.0,,0 - 178°,,,,,,,,,,,-2 - 92°,,,55 - 75 Hz,,30 - 83 kHz,,,,,UkraineSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,1920 x 1080 Pixels,,,,,,,,,,,,,,,No,,,,,No,5.0
LG LED 24 24MB35PY-W IPS 16:9 VGA DVI DP Sp USB MONITOR LED,Si,"34,3 cm","43,2 cm",,Si,178°,178°,Si,"AC, DVI, VGA",,,Non specificato,Bianco,"16,77M",100 x 100 mm,No,,24W,"0,3W","0,3W",,,,"60,45 cm (23.8"")","0,275 x 0,275 mm",,16:9,No,50/60 Hz,,,,Si,-5 - 20°,Si,Si,"56,9 cm","56,9 cm",,250 cd/m²,,1080p,Si,2.0,"4,72 kg",,Si,No,2W,"6,35 cm","27,17 cm",1.0,2.0,,1.0,1000:1,5000000:1,12 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,Si,1.0,,,,,,Si,,,,Si,,"5,08 kg",0 - 90°,,,56 - 75 Hz,,30 - 83 kHz,Matt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,19W,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 21.5 e2260Pwhu MONITOR LED,,511 mm,,,Si,170 °,160 °,Kensington,,"CE, Energy Star 5.0, EPEAT Gold, FCC, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS, Win7",Si,,Nero,16.77 M,100 x 100 mm,,,,,,547 mm,477.5 mm,268.5 mm,"546.1 mm (21.5 "")",0.248 x 0.248 mm,148.5 MHz,16:9,N,50/60 Hz,,,,Si,-5 - 15 °,,,523.7 mm,,N,250 cd/m²,,,Si,,6.49 kg,,Si,,,244.5 mm,,1.0,,,1.0,1000:1,20000000:1,130 mm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,,.,,,2 ms,N,W-LED,LED,Full HD,,90 - 240 V,N,N,,,,,,,,,Si,1.0,,0 - 178 °,,,,,,,,,,,-2 - 92 °,,,55 - 75 Hz,,30 - 80 kHz,,,,,UkraineSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,1920 x 1080 Pixels,,,,,,,,,,,,,,,N,,,,,N,5.0
Samsung LED 24 S24C200BL16:9 5ms VGA DVI MONITOR LED,Si,"33,05 cm","41,235 cm",,No,170°,160°,No,"AC, VGA",,No,Non specificato,Nero,"16,77M",100 x 100 mm,No,,30W,,20W,,"52,128 cm","29,322 cm","59,94 cm (23.6"")","0,2715 x 0,2715 mm",,16:9,No,50/60 Hz,,,No,,-1 - 20°,Si,Si,"55,46 cm","55,46 cm",,250 cd/m²,,,Si,,"3,75 kg","5,45 kg",Si,,,"7,7 cm","18,5 cm",,,,1.0,1000:1,Contrasto Mega,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,No,,,TN+Film,5 ms,No,,LED,Full HD,No,100 - 240V,No,No,No,,,,,,,Oro,,1.0,14 cm,,"521,28 x 293,22 mm",,Si,Si,No,,"63,2 cm",Si,Si,"4,1 kg",,"42,1 cm",,,,,,,,,,,"554,6 x 185 x 412,35 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,Si,,,Si,,,Si,,1 pezzi,No,Orizzontale,,,No,,,,,,"554,6 x 77 x 330,5 mm",,,,,,,,,,,,,,,,,,,,Si,,,,,632 x 421 x 140 mm,,,
