<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
Fujitsu L line L24T-1 - MediaShopUK,,16:9,,No No,No No,,"CE, RoHS, WEEE",Black Black,20000000:1,39 mm,189.9 mm,LED,250 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,341.4 mm,,399.8 mm,50/60 Hz,110 - 240 V,,,0.277 x 0.277 mm,,,17.6 W,,,5 ms,,"720 x 400, 1440 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,No,-5 - 20 °,,,1.0,170 °,160 °,Yes,,4.18 kg,569.4 mm,569.4 mm,,Kensington Kensington,1000:1,,,5.55 kg,,. .,,1.0,,Yes,,,,,Yes Yes,,,,,,,0.15 W,0.19 W,30 - 83 kHz,56 - 75 Hz,,,,,,,,,,,,,,,,,5 - 35 °C,,,,,,,,"DEU, ENG, ESP, FIN, FRE, ITA, POR, RUS DEU, ENG, ESP, FIN, FRE, ITA, POR, RUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL S Series S2440L - MediaShopUK,Yes,16:9,,No No,,"AC, VGA AC, VGA",,Black Black,8000000:1,190.8 mm,,LED,250 cd/m²,"609.6 mm (24 "")",60.97 cm,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,,417.9 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,0.277 x 0.277 mm,Yes Yes,0.5 W,18 W,,Yes Yes,6 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,,No,,1.0,178 °,178 °,,3.6 kg,4.95 kg,567.4 mm,,No,Yes Yes,5000:1,,,5.91 kg,,. .,,,1.0,,,,,Yes Yes,,,,,Yes Yes,Yes Yes,,,,,,No,Silver,,,Yes Yes,,,,,No,Yes Yes,Yes Yes,Yes Yes,,1 pcs 1 pcs,20 - 80 %,10 - 40 °C,,5 - 90 %,-20 - 60 °C,531.36 mm,298.89 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic Graphic Series VA705-LED - MediaShopUK,Yes,,,No No No,No No No,AC AC,"UL, cUL, FCC-B, CB, CE, NOM, TUV/GS, TUV/ERGO (covers ISO13406-2), TCO'03, BSMI, CCC, PSB, C-TICK",Black Black,1000:1,68 mm,210 mm,LCD,250 cd/m²,"431.8 mm (17 "")",,,1280 x 1024 pixels,,,Unspecified,Yes,No,,337.4 mm,,400 mm,50/60 Hz,100 - 240 V,Yes Yes,,,,,21 W,,,5 ms,,1280 x 1024 (SXGA),,,,No No,,1.0,160 °,160 °,,3.8 kg,4 kg,379 mm,379 mm,,Kensington Kensington,,,,,,. .,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,32 - 104 °F,,,0 - 40 °C,337 mm,269 mm,,,,,,,,,,,,,,,,"RoHS, WEEE",,,,,,,,,,,,379 x 210 x 400 mm,,440 x 147 x 480 mm,,,,,,,,,,379 x 68 x 337.4 mm,,,,,,10 - 90 %,,,,
Benq GW2760HM - MediaShopUK,Yes,16:9,Yes,No No,Yes Yes,,TCO 6.0,Black Black,20000000:1,215 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.58 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,488 mm,No,,,90 - 264 V,,No,0.311 x 0.311 mm,Yes Yes,0.3 W,45 W,,,12 ms,,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,4.7 kg,,641 mm,,No,Yes Yes,3000:1,,,6.6 kg,,,,,1.0,Yes,,,,,Yes Yes,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,,31 W,,,No,,No,,Yes Yes,1 1,,No,,No,,,,,,,,,,,,,,,,,No No,,2 2,17 17,,2 W 2 W,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 239C4QHSW - MediaShopUK,,16:9,,No No No,No No No,,RoHS,White White,20000000:1,34 mm,180 mm,LCD,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,IPS,,,Yes,Full HD,No,337 mm,,550 mm,,100 - 240 V,,,0.265 x 0.265 mm,Yes Yes,0.3 W,28.5 W,,,7 ms,,1920 x 1080 (HD 1080),,No,-3 - 15 °,No No,,1.0,178 °,178 °,,2.07 kg,3.05 kg,550 mm,550 mm,No,Kensington Kensington,1000:1,,,4.89 kg 4.89 kg,,. .,,,2.0,,,,,,Yes Yes,139 mm 139 mm,557 mm 557 mm,594 mm 594 mm,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",,0.3 W,,,,,Silver,,30 - 83 kHz,Yes Yes,,,,56 - 75 Hz,,,Yes Yes,,30000 h 30000 h,,,0 - 40 °C,,,-20 - 60 °C,,,,,"DUT, ENG, ESP, FRE, ITA, POR, RUS DUT, ENG, ESP, FRE, ITA, POR, RUS",,,,,9 9,,,Yes,,,,,,W-LED,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,20 - 80 %,,,,
Lenovo ThinkVision LT1952p - MediaShopUK,Yes,16:10,,,,,,Black Black,10000000:1,171.29 mm,,LED,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,TN+Film,,,Yes,No,,397.7 mm,,,,,,No,0.2835 x 0.2835 mm,,0.5 W,13 W,,Yes Yes,5 ms,Yes Yes,"640 x 350, 720 x 400, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1366 ? 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,No,,,100 x 100 mm,1.0,170 °,160 °,Yes,4.3 kg,,440.9 mm,,No,Kensington Kensington,1000:1,,,,,. .,1.0,1.0,,,,,,,Yes Yes,149 mm,450 mm,515 mm,,"Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional",,0.5 W,,,,,,,,,,,,,,,,,,,10 - 80 %,0 - 40 °C,,5 - 95 %,-20 - 60 °C,,,,,,,,,,8 8,,,,,,,,,W-LED,,,,,0 - 2438 m,,,,,No,,,,,,,,,,,15.55 mm,,440.9 x 171.29 x 397.7 mm,,,,,,,,,,
Philips 247E4LHSB - MediaShopUK,,16:9,,No No No,No No No,AC AC,"RoHS, BSMI, CE Mark, FCC B,GOST, PSB, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, UL/cUL, WEEE",Black Black,20000000:1,39 mm,193 mm,LED,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,,No,,Yes,Full HD,,348 mm,,434 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.272 x 0.272 mm,Yes Yes,0.5 W,17.2 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 20 °,No No,,1.0,178 °,170 °,,3.16 kg,3.44 kg,557 mm,557 mm,No,Kensington Kensington,1000:1,,,5.6 kg 5.6 kg,,. .,,,2.0,Yes,,Yes,,,Yes Yes,104 mm 104 mm,505 mm 505 mm,605 mm 605 mm,Yes Yes,Yes Yes,,0.3 W,,,,,Silver,No,30 - 83 kHz,,,,,56 - 75 Hz,No,,Yes Yes,Yes Yes,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,521.28 mm,293.22 mm,,,,,,,,,,,Yes,,,,,,W-LED,,,,,0 - 12192 m,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic LED LCD VA1948M-LED - MediaShopUK,,16:9,,No No,Yes Yes,,"UL, CUL, FCC-B (ICES), CB, CE, ICES-003B, REACH SVHC List, Nemko ERGO, GOST-R + HYGIENIC, UkrSEPRO, ErP, CCC, CEL Level 1, BSMI, PSB, C-TICK, WEEE, RoHS, SASO, Ukraine, TCO 5.1, ENERGY STAR 5.0, EPEAT-Silver, Windows XP/Vista Premium, Windows 7",Black Black,10000000:1,38.5 mm,220 mm,,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,,,Yes,No,No,326.6 mm,,378 mm,50/60 Hz,100 - 240 V,,,,,,18 W,,,5 ms,,,,No,5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.9 kg,3.2 kg,456.4 mm,256.4 mm,No,,1000:1,,,4.68 kg,,. .,,1.0,,,,,,,Yes Yes,453 mm,127 mm,519 mm,,,,,,,,,,,24 - 82 kHz,,,,,56 - 75 Hz,,,,,,,,0 - 40 °C,,,,,,,,,,,,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 - 90 %,,,,
NEC P242W - MediaShopUK,,16:10,,No No No,No No No,,,Black Black,1000:1,85 mm,,LCD,350 cd/m²,"612.1 mm (24.1 "")",61.1 cm,16.77 M,1920 x 1200 pixels,IPS,Yes,B,Yes,Full HD,No,362.4 mm,Yes,378 mm,,,,Yes,0.270 x 0.270 mm,,22 W,30 W,,,8 ms,,"720 x 400, 720 x 480, 720 x 576, 1152 x 870, 1200 x 1920, 1280 x 960, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1600 x 1200 (UXGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,No,,No No,"100 x 100, 200 x 100 mm",1.0,178 °,178 °,Yes,7.4 kg,10.2 kg,556.8 mm,556.8 mm,No,Kensington Kensington,,,,,,. .,1.0,1.0,1.0,,,,,,,,,,,,,,1 W,31.5 - 93.8 kHz,31.5 - 91.1 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 240P4QPYNS - MediaShopUK,Yes,16:10,,No No No,No No No,AC AC,"PowerSensorBSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL","Black, Silver Black, Silver",20000000:1,65 mm,244 mm,LED,300 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1200 pixels,IPS,,,Yes,No,Yes,388 mm,Yes,550 mm,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.270 x 0.270 mm,Yes Yes,0.2 W,17 W,,Yes Yes,14 ms,Yes Yes,,,No,-5 - 20 °,No No,100 x 100 mm,1.0,178 °,178 °,Yes,464 g,6.97 kg,555 mm,555 mm,No,Kensington Kensington,1000:1,,,9.8 kg 9.8 kg,,. .,1.0,1.0,,Yes,,,,,Yes Yes,286 mm 286 mm,457 mm 457 mm,632 mm 632 mm,Yes Yes,Yes Yes,,,14 W,,,No,Gold,No,24 - 94 kHz,Yes Yes,,,Yes,48 - 85 Hz,No,,Yes Yes,Yes Yes,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,518.4 mm,324 mm,,,,,,,,8 8,0 - 90 °,,Yes,-65 - 65 °,4.0,,,"RoHS, WEEE",W-LED,,Yes,,0 - 12192 m,0 - 3658 m,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
NEC EA224WMi - MediaShopUK,Yes,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",TCO 5.2; TÜV; TÜV GS; GEEA; FCC B; PCT/Gost; UL/C-UL; CSA; ISO 9241-307; MPR III,White White,25000:1,,218 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.61 cm,16.77 M,1920 x 1080 pixels,IPS,,,Yes,Full HD,Yes,,Yes,370 mm,,,Yes Yes,,0.247 x 0.247 mm,Yes Yes,,15 W,,Yes Yes,14 ms,Yes Yes,"1280 x 960, 1440 x 1050, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1366 ? 768, 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,-5 - 30 °,,100 x 100 mm,1.0,178 °,178 °,Yes,,5.6 kg,,507 mm,No,Kensington Kensington,1000:1,1,,,,. .,1.0,1.0,1.0,,,,,Yes Yes,Yes Yes,,,,,Yes Yes,26 W,,0.43 W,31.5 - 83 kHz,56 - 75 Hz,,Gold,,,Yes Yes,,,,,,Yes Yes,,,,1 pcs 1 pcs,20 - 80 %,5 - 35 °C,Horizontal/Vertical Horizontal/Vertical,,,,,,,,,,3.5 mm,2 2,,,2 W 2 W,,-170 - 170 °,5.0,,,,W-LED,,Yes,,,,,,,,,,,,,Digital Digital,1920 x 1080 pixels 1920 x 1080 pixels,Yes Yes,,,,,,,,,,,,,,,,
NEC MultiSync EX231W - MediaShopUK,,16:9,,No No,No No,,EPEAT Gold; CE; ErP; TCO 5.0; TÜV Ergonomics; TÜV GS; GEEA/Energy Label; Energy Star 5.0; FCC Class B; PCT/Gost; UL/C-UL or CSA; CCC; ISO 9241-307 (pixel failure class I); MPR II/ MPR III,White White,25000:1,47.7 mm,215 mm,,250 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,,,,,Full HD,,318.3 mm,110 mm,401.3 mm,,,Yes Yes,,0.265 mm,Yes Yes,0.38 W,32 W,,,5 ms,,,,,-5 - 30 °,,100 x 100 mm,,176 °,170 °,,2.8 kg,4.1 kg,540.2 mm,540.2 mm,,Kensington Kensington,1000:1,,,,,. .,1.0,,,,,,,,,,,,,,,,,31.5 - 82.3 kHz,56 - 75 Hz,,,,,,,,,,,,,,,,20 - 80 %,5 - 35 °C,,10 - 84 %,-10 - 60 °C,,,,,,100-120 V/220-240 V; 0.6 A/0.35 A,,,,,,,,-170 - 170 °,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,14 mm,,,,,,,,,,,,
Benq GL955A - MediaShopUK,,16:9,,No No,No No,,,Black Black,12000000:1,164 mm,,,200 cd/m²,"469.9 mm (18.5 "")",46.9 cm,16.77 M,1366 x 768 pixels,TN+Film,,,Yes,No,No,362 mm,No,,,,,,0.3 x 0.3 mm,,11 W,,,,5 ms,,1366 ? 768,,No,-5 - 15 °,No,100 x 100 mm,1.0,90 °,50 °,Yes,2.8 kg,,459 mm,,No,Yes Yes,600:1,,,,,,,,,Yes,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq GL2460 - MediaShopUK,,16:9,,No No,No No,,,Black Black,12000000:1,54 mm,194 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,,Full HD,,333 mm,No,434 mm,50/60 Hz,90 - 264 V,,No,0.276 x 0.276 mm,,,23 W,Yes Yes,,2 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 720p",No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,4.3 kg,,565 mm,565 mm,,,1000:1,,,5.8 kg,,,,,,Yes,,,,,Yes Yes,,,,,Yes Yes,,,0.3 W,,,No,,No,,,,,No,,No,,Yes Yes,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,TCO 6.0,,Black Black,,,,,,,,,,,,,,,,,,16 mm,,,No No,No No,,,No,,,,,
Viewsonic LED LCD VX2452mh - MediaShopUK,Yes,16:9,Yes,,Yes Yes,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA","CE,CB, BSMI, PSB, SASO, C-tick, UL/cUL, FCC-B (incl. ICES003), TUV-S, NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, WEEE, RoHS, SVHC",Black Black,50000000:1,53 mm,222.5 mm,LED,300 cd/m²,"599.4 mm (23.6 "")",59.94 cm,,1920 x 1080 pixels,TFT,Yes,Unspecified,Yes,Full HD,Yes,356.7 mm,No,431.7 mm,50/60 Hz,100 - 240 V,,No,,Yes Yes,,21.5 W,Yes Yes,,2 ms,,1920 x 1080 (HD 1080),1080p,No,0 - 20 °,,100 x 100 mm,1.0,170 °,160 °,Yes,3.5 kg,3.8 kg,559.2 mm,559.2 mm,No,No No,1000:1,,,5.4 kg,,. .,,1.0,1.0,Yes,,,,Yes Yes,Yes Yes,123 mm,454 mm,609 mm,Yes Yes,Yes Yes,,,15.8 W,24 - 82 kHz,50 - 75 Hz,No,Silver,No,24 - 82 kHz,Yes Yes,1 1,,No,50 - 75 Hz,No,,,,30000 h 30000 h,,10 - 90 %,0 - 40 °C,,,,521 mm,292 mm,,,,,No No,,2 2,,,4 W 4 W,Yes,,,,599 mm,,W-LED,,Yes,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 29EB73-P LED display - MediaShopUK,,21:9,,No No No,Yes Yes Yes,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI","ROHS, REACH",Black Black,5000000:1,68.6 mm,226.1 mm,LED,300 cd/m²,"736.6 mm (29 "")",,16.77 M,2560 x 1080 pixels,IPS,Yes,Unspecified,Yes,,Yes,317.5 mm,Yes,396.2 mm,,110 - 240 V,,,,Yes Yes,,48 W,,,14 ms,,2560 x 1080,,No,-5 - 20 °,No No,100 x 100 mm,,178 °,178 °,Yes,5.216 kg,6.85 kg,698.5 mm,698.5 mm,,,1000:1,1,,9.344 kg 9.344 kg,,. .,1.0,1.0,2.0,Yes,,,,,Yes Yes,195.6 mm 195.6 mm,414.5 mm 414.5 mm,777.2 mm 777.2 mm,,,,0.5 W,1.5 W,30 - 90 kHz,56 - 75 Hz,No,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,7 W 7 W 7 W,,,1.0,,,,,,,,,,Yes Yes,2.0,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,
NEC EA193Mi-BK - MediaShopUK,,5:4,,No No No,No No No,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","RoHS, TCO 6.0",Black Black,Ultra Contrast,65 mm,213.9 mm,LCD,250 cd/m²,"482.6 mm (19 "")",48.2 cm,16.77 M,1280 x 1024 pixels,,Yes,,Yes,HD-ready,Yes,338 mm,Yes,386.4 mm,,,Yes Yes,Yes,0.29 x 0.29 mm,Yes Yes,,,,Yes Yes,6 ms,Yes Yes,1280 x 1024 (SXGA),,No,,No No,100 x 100 mm,1.0,178 °,178 °,Yes,4 kg,6 kg,408 mm,408 mm,No,No No,1000:1,1,,,,. .,1.0,1.0,,Yes,,,,,Yes Yes,,,,,,18 W,,0.35 W,31.5 - 81.1 kHz,56 - 75 Hz,,Silver,,,Yes Yes,,,Yes,,,,,,,,20 - 80 %,5 - 35 °C,,10 - 85 %,-10 - 60 °C,,,,,,,,3.5 mm,,,,,Yes,,,,,,,,,,0 - 12.1 m,0 - 2000 m,,,,,,,,,,,,,,1.0,,,,,,,,Yes,,,,,,
Benq GW2460HM - MediaShopUK,,16:9,,No No,Yes Yes,,,Black Black,2000000:1,194 mm,,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,Yes,Unspecified,Yes,Full HD,Yes,565 mm,No,,,,,,0.276 x 0.276 mm,,0.3 W,22 W,,,4 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,3.6 kg,,434 mm,,No,Yes Yes,3000:1,,,,,,,,1.0,Yes,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,17 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung S22C200BW - MediaShopUK,,16:10,,No No,No No,"AC, VGA AC, VGA",TCO,Black Black,Mega Contrast,77.4 mm,185 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.88 cm,16.77 M,1680 x 1050 pixels,TN+Film,,Unspecified,Yes,HD-ready,No,329.8 mm,No,413.5 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.282 x 0.282 mm,,0.1 W,24 W,,,5 ms,,1680 x 1050 (WSXGA+),,No,-1 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.55 kg,3.85 kg,502.4 mm,502.4 mm,No,,1000:1,,,5.1 kg,,. .,,,,Yes,,,,,,140 mm,403 mm,598 mm,,,,,,,,,Gold,,,,,,,,,,,,,,10 - 80 %,10 - 40 °C,,,,473.76 mm,296.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL S Series S2340L - MediaShopUK,Yes,16:9,,No No,,"AC, HDMI, VGA AC, HDMI, VGA",,Black Black,8000000:1,175.8 mm,,LED,250 cd/m²,"584.2 mm (23 "")",58.42 cm,16.77 M,1920 x 1080 pixels,IPS,,,Yes,Full HD,,398.9 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,0.265 x 0.265 mm,Yes Yes,0.5 W,19 W,,Yes Yes,7 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,,No,,1.0,178 °,178 °,,2.95 kg,3.91 kg,532.2 mm,,No,Yes Yes,1000:1,,,4.95 kg,,. .,,,1.0,,,,,Yes Yes,,,,,Yes Yes,Yes Yes,,,,,,No,Silver,No,,Yes Yes,,,,,No,Yes Yes,Yes Yes,Yes Yes,,1 pcs 1 pcs,20 - 80 %,10 - 40 °C,,5 - 90 %,-20 - 60 °C,509.18 mm,286.41 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZR2740w - MediaShopUK,,16:9,,No No No,,,,Black Black,,68 mm,235 mm,LED,380 cd/m²,"685.8 mm (27 "")",,1070 M,2560 x 1440 pixels,,,,,No,Yes,392 mm,,540 mm,,,,,0.233 x 0.233 mm,Yes Yes,2 W,120 W,,,12 ms,,,,,-5 - 35 °,,,,178 °,178 °,,,10.5 kg,646 mm,646 mm,No,Yes Yes,1000:1,,,,,. .,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 - 80 %,5 - 35 °C,,,,,,,,,,,,,,,,,-45 - 45 °,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 273V5LHSB - MediaShopUK,Yes,16:9,,,,,"RoHS, Lead-free, Mercury Free",Black Black,10000000:1,57 mm,240 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,LCD/TFT,,Unspecified,Yes,Full HD,,398 mm,,471 mm,50/60 Hz,100 - 240 V,,,0.311 x 0.311 mm,Yes Yes,0.5 W,23.14 W,,,5 ms,,,,,,,100 x 100 mm,1.0,170 °,160 °,Yes,4 kg,4.53 kg,646 mm,646 mm,,Kensington Kensington,1000:1,,,6.17 kg,,. .,,,1.0,Yes,,,,,Yes Yes,139 mm,482 mm,698 mm,,,,0.3 W,,,,,Silver,,30 - 83 kHz,Yes Yes,1 1,,,56 - 75 Hz,,,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,597.88 mm,336.31 mm,,,"CHI (SIMPL), CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,,,,,,,Yes,,,,,,W-LED,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE",Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
