authors,title,venue,year
m garofalakis y ioannidis,multidimensional resource scheduling for parallel queries,sigmod conference,1996.0
b liskov a adya m castro m day s ghemawat r gruber u maheshwari a myers l shrira,safe and efficient sharing of persistent objects in thor,sigmod conference,1996.0
j rao k ross,cache conscious indexing for decisionsupport in main memory,vldb,1999.0
s chawathe,comparing hierarchical data in external memory,vldb,1999.0
s blott l relly h schek,an open storage system for abstract objects,sigmod conference,1996.0
v poosala y ioannidis p haas e shekita,improved histograms for selectivity estimation of range predicates,sigmod conference,1996.0
s sarawagi,explaining differences in multidimensional aggregates,vldb,1999.0
k hess,very large databases in a commercial application environment,vldb,1996.0
p boncz s manegold m kersten,database architecture optimized for the new bottleneck memory access,vldb,1999.0
m doherty r hull m rupawalla,structures for manipulating proposed updates in objectoriented databases,sigmod conference,1996.0
m lo c ravishankar,spatial hashjoins,sigmod conference,1996.0
s abiteboul b amann s cluet a eyal l mignet t milo,active views for electronic commerce,vldb,1999.0
j patel d dewitt,partition based spatialmerge join,sigmod conference,1996.0
k voruganti m zsu r unrau,an adaptive hybrid server architecture for client caching odbmss,vldb,1999.0
v harinarayan a rajaraman j ullman,implementing data cubes efficiently,sigmod conference,1996.0
e pitoura p chrysanthis,exploiting versions for handling updates in broadcast disks,vldb,1999.0
e pacitti p minet e simon,fast algorithms for maintaining replica consistency in lazy master replicated databases,vldb,1999.0
s rao a badia d gucht,providing better support for a class of decision support queries,sigmod conference,1996.0
j baulier p bohannon s gogate s joshi c gupta a khivesera h korth p mcilroy j miller p narayan m nemeth r rastogi a silberschatz s sudarshan,datablitz a high performance mainmemory storage manager,vldb,1998.0
a gupta i mumick k ross,adapting materialized views after redefinitions,sigmod conference,1995.0
f rezende g sauter,bridging heterogeneity research and practice of database middleware technology,vldb,1998.0
s acharya r alonso m franklin s zdonik,broadcast disks data management for asymmetric communications environments,sigmod conference,1995.0
s venkataraman t zhang,heterogeneous database query optimization in db2 universal datajoiner,vldb,1998.0
j park m chen p yu,an effective hash based algorithm for mining association rules,sigmod conference,1995.0
j baulier s blott h korth a silberschatz,a database system for realtime event aggregation in telecommunication,vldb,1998.0
c faloutsos k lin,fastmap a fast algorithm for indexing datamining and visualization of traditional and multimedia datasets,sigmod conference,1995.0
d davison g graefe,dynamic resource brokering for multiuser query execution,sigmod conference,1995.0
r bamford d butler b klots n macnaughton,architecture of oracle parallel server,vldb,1998.0
a joshi w bridge j loaiza t lahiri,checkpointing in oracle,vldb,1998.0
b adelberg h garciamolina b kao,applying update streams in a soft realtime database system,sigmod conference,1995.0
y ioannidis v poosala,balancing histogram optimality and practicality for query result size estimation,sigmod conference,1995.0
l vieille,from data independence to knowledge independence an ongoing story,vldb,1998.0
s dar g entin s geva e palmon,dtls dataspot database exploration using plain language,vldb,1998.0
w hou z zhang,enhancing database correctness a statistical approach,sigmod conference,1995.0
m garofalakis y ioannidis b zden,resource scheduling for composite multimedia objects,vldb,1998.0
s brin j davis h garciamolina,copy detection mechanisms for digital documents,sigmod conference,1995.0
t johnson e miller,performance measurements of tertiary storage devices,vldb,1998.0
s abiteboul s cluet t milo,a database interface for file updates,sigmod conference,1995.0
s abiteboul j mchugh m rys v vassalos j wiener,incremental maintenance for materialized views over semistructured data,vldb,1998.0
s berson l golubchik r muntz,fault tolerant design of multimedia servers,sigmod conference,1995.0
r goldman n shivakumar s venkatasubramanian h garciamolina,proximity search in databases,vldb,1998.0
j lu g moerkotte j sch v subrahmanian,efficient maintenance of materialized mediated views,sigmod conference,1995.0
d woelk w bohrer n jacobs k ong c tomlinson c unnikrishnan,carnot and infosleuth database technology and the world wide web,sigmod conference,1995.0
d shaw,technology and the future of commerce and finance abstract,vldb,1998.0
e riedel g gibson c faloutsos,active storage for largescale data mining and multimedia,vldb,1998.0
k ivinskis,high availability of commercial applications,sigmod conference,1995.0
g hope,enterprise transaction processing on windows nt,sigmod conference,1995.0
t mihalisin,a single pass computing engine for interactive analysis of vldbs,vldb,1998.0
f george,dms a parallel data mining server,vldb,1998.0
w gettys,directv and oracle rdb the challenges of vldb transaction processing,sigmod conference,1995.0
c kleissner,enterprise objects framework a second generation objectrelational enabler,sigmod conference,1995.0
grvlen s hvasshovd torbjrnsen,lowcost compensationbased query processing,vldb,1998.0
c baru g fecteau a goyal h hsiao a jhingran s padmanabhan w wilson,an overview of db2 parallel edition,sigmod conference,1995.0
r weber h schek s blott,a quantitative analysis and performance study for similaritysearch methods in highdimensional spaces,vldb,1998.0
c squire,data extraction and transformation for the data warehouse,sigmod conference,1995.0
m carey d kossmann,reducing the braking distance of an sql query engine,vldb,1998.0
m olson,cover your assets,sigmod conference,1995.0
l lin t risch,querying continuous time sequences,vldb,1998.0
l molesky k ramamritham,recovery protocols for shared memory database systems,sigmod conference,1995.0
c date,edgar f codd a tribute and personal memoir,sigmod record,2003.0
f gingras l lakshmanan,ndsql a multidimensional language for interoperability and olap,vldb,1998.0
a brodsky y kornatzky,the lyric language querying constraint objects,sigmod conference,1995.0
f rezende k hergula,the heterogeneity problem and middleware technology experiences with and performance of database gateways,vldb,1998.0
r braumandl j clauen a kemper,evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,vldb,1998.0
t imielinski a virmani,datamine interactive rule discovery system,sigmod conference,1995.0
t milo s zohar,using schema matching to simplify heterogeneous data translation,vldb,1998.0
e radeke r bttger b burkert y engel g kachel s kolmschlag d nolte,efendi federated database system of cadlab,sigmod conference,1995.0
n roussopoulos s kelley f vincent,nearest neighbor queries,sigmod conference,1995.0
y garca m lopez s leutenegger,on optimal node splitting for rtrees,vldb,1998.0
r bliujute c jensen s saltenis g slivinskas,rtree based indexing of nowrelative bitemporal data,vldb,1998.0
d papadias y theodoridis t sellis m egenhofer,topological relations in the world of minimum bounding rectangles a study with rtrees,sigmod conference,1995.0
l fegaras d maier,towards an effective calculus for object query languages,sigmod conference,1995.0
h jagadish n koudas s muthukrishnan v poosala k sevcik t suel,optimal histograms with quality guarantees,vldb,1998.0
g gardarin f machuca p pucheral,ofl a functional execution model for object query languages,sigmod conference,1995.0
m ester h kriegel j sander m wimmer x xu,incremental clustering for mining in a data warehousing environment,vldb,1998.0
m cherniack s zdonik,inferring function semantics to optimize queries,vldb,1998.0
s ramaswamy p kanellakis,oodb indexing by classdivision,sigmod conference,1995.0
w aref d barbar p vallabhaneni,the handwritten trie indexing electronic ink,sigmod conference,1995.0
c nippl b mitschang,topaz a costbased ruledriven multiphase parallelizer,vldb,1998.0
m ankerst b braunmller h kriegel t seidl,improving adaptable similarity query processing by using approximations,vldb,1998.0
a wilschut j flokstra p apers,parallel evaluation of multijoin queries,sigmod conference,1995.0
y ishikawa r subramanya c faloutsos,mindreader querying databases through multiple examples,vldb,1998.0
m hernndez s stolfo,the mergepurge problem for large databases,sigmod conference,1995.0
c bettini x wang e bertino s jajodia,semantic assumptions and query evaluation in temporal databases,sigmod conference,1995.0
s derose,what do those weird xml types want anyway,vldb,1999.0
v raman b raman j hellerstein,online dynamic reordering for interactive data processing,vldb,1999.0
s white d dewitt,implementing crash recovery in quickstore a performance study,sigmod conference,1995.0
e zirintsis g kirby r morrison,hyperprogramming in java,vldb,1999.0
w du m shan u dayal,reducing multidatabase query response time by tree balancing,sigmod conference,1995.0
u dayal,industrial panel on data warehousing technologies experiences challenges and directions,vldb,1999.0
a sistla o wolfson,temporal conditions and integrity constraints in active database systems,sigmod conference,1995.0
a hosking j chen,pm3 an orthogonal persistent systems programming language design implementation performance,vldb,1999.0
y zhuge h garciamolina j hammer j widom,view maintenance in a warehousing environment,sigmod conference,1995.0
y fuh s deloch w chen n mattos b tran b lindsay l demichel s rielau d mannhaupt,implementation of sql3 structured types with inheritance and value substitutability,vldb,1999.0
g bhargava p goel b iyer,hypergraph based reorderings of outer join queries with complex predicates,sigmod conference,1995.0
