author_1,author_2,author_3,author_4,title,venue,year
ning an,siva ravada,kothuri venkata ravi kanth,,improving performance with bulkinserts in oracle rtrees,vldb,2003.0
joel l wolf,charu c aggarwal,philip s yu,,a new method for similarity indexing of market basket data,sigmod conference,1999.0
h v jagadish,kianlee tan,hui jin,beng chin ooi,global optimization of histograms,sigmod conference,2001.0
paolo merialdo,giansalvatore mecca,paolo atzeni,,semistructured und structured data in the web going back and forth,sigmod record,1997.0
tak w yan,hector garciamolina,,,duplicate removal in information system dissemination,vldb,1995.0
rachel pottinger,alon y halevy,,,minicon a scalable algorithm for answering queries using views,vldb j,2001.0
sk kim,eman anwar,sharma chakravarthy,v krishnaprasad,composite events for active databases semantic contexts and detection,vldb,1994.0
james chong,,,,real business processing meets the web,sigmod conference,1998.0
nenad jukic,susan v vrbsky,,,asserting beliefs in mls relational models,sigmod record,1997.0
david shutt,philip a bernstein,shankar pal,,contextbased prefetch an optimization for implementing objects on relations,vldb j,2000.0
peter m chen,wee teck ng,,,integrating reliable memory in databases,vldb j,1998.0
ralf hartmut gting,,,,an introduction to spatial database systems,vldb j,1994.0
nathan folkert,abhinav gupta,andrew witkowski,lei sheng,spreadsheets in rdbms for olap,sigmod conference,2003.0
barbara staudt lerner,,,,a model for compound type changes encountered in schema evolution,acm trans database syst,2000.0
jordan parker,jesse anton,zheng zeng,lawrence jacobs,web caching for database applications with oracle web cache,sigmod conference,2002.0
paul ammann,indrakshi ray,sushil jajodia,,using formal methods to reason about semanticsbased decompositions of transactions,vldb,1995.0
jian pei,guozhu dong,ke wang,jiawei han,cubeexplorer online exploration of data cubes,sigmod conference,2002.0
gottfried vossen,jens lechtenbrger,dominique laurent,nicolas spyratos,monotonic complements for independent data warehouses,vldb j,2001.0
farnoush banaei kashani,jabed faruque,adil faisal,cyrus shahabi,insite a tool for interpreting users interaction with a web space,vldb,2000.0
z meral zsoyoglu,,,,vice chairs message,sigmod record,2000.0
sherri kennamer,,,,microsoftcom a highscale data management and transaction processing solution,sigmod conference,1998.0
fox development team,,,,objectoriente rapid application development in a pc database environment,sigmod conference,1995.0
stefano spaccapietra,,,,user interfaces who cares,vldb,1994.0
johannes gehrke,rakesh agrawal,dimitrios gunopulos,prabhakar raghavan,automatic subspace clustering of high dimensional data for data mining applications,sigmod conference,1998.0
sumit ganguly,,,,design and analysis of parametric query optimization algorithms,vldb,1998.0
yunyue zhu,xiaojian zhao,dennis shasha,,query by humming in action with its technology revealed,sigmod conference,2003.0
martin wechsler,ulrike glavitsch,peter schuble,,metadata for integrating speech documents in a text retrieval system,sigmod record,1994.0
peter j haas,jeffrey f naughton,gang luo,curt ellmann,a scalable hash ripple join algorithm,sigmod conference,2002.0
timos k sellis,yannis vassiliou,,,the database group at national technical university of athens ntua,sigmod record,1995.0
rakesh agrawal,jerry kiernan,,,watermarking relational databases,vldb,2002.0
stanley y w su,javier arroyo,herman lam,yuhming shyy,the design and implementation of k a highlevel knowledgebase programming language of osamkbms,vldb j,1996.0
beng chin ooi,dimitris papadias,kianlee tan,wee siong ng,an adaptive peertopeer network for distributed caching of olap results,sigmod conference,2002.0
jonathan goldstein,raghu ramakrishnan,,,contrast plots and psphere trees space vs time in nearest neighbour searches,vldb,2000.0
haixun wang,carlo zaniolo,,,using sql to build new aggregates and extenders for object relational systems,vldb,2000.0
hua zhu,kan hu,jian pei,runying mao,towards data mining benchmarking a testbed for performance study of frequent pattern mining,sigmod conference,2000.0
s muthukrishnan,flip korn,,,influence sets based on reverse nearest neighbor queries,sigmod conference,2000.0
heikki mannila,thomas eiter,georg gottlob,,disjunctive datalog,acm trans database syst,1997.0
leana golubchik,kelvin kwokwai law,john c s lui,,efficient support for interactive service in multiresolution vod systems,vldb j,1999.0
csar a galindolegaria,mingchuan wu,milind joshi,florian waas,statistics on views,vldb,2003.0
arnaud sahuguet,fabien azavant,,,building lightweight wrappers for legacy web datasources using w4f,vldb,1999.0
divesh srivastava,kenneth a ross,,,fast computation of sparse datacubes,vldb,1997.0
omar benjelloun,tova milo,serge abiteboul,frederic dang ngoc,exchanging intensional xml data,sigmod conference,2003.0
divesh srivastava,s sudarshan,kenneth a ross,,materialized view maintenance and integrity constraint checking trading space for time,sigmod conference,1996.0
kamyiu lam,krithi ramamritham,alan kwan,,rtmonitor realtime data monitoring using mobile agent technologies,vldb,2002.0
jim melton,andrew eisenberg,,,sql 199 formerly known as sql 3,sigmod record,1999.0
sophie cluet,michel scholl,serge abiteboul,vassilis christophides,from structured documents to novel query facilities,sigmod conference,1994.0
walid g aref,ahmed k elmagarmid,ihab f ilyas,,supporting topk join queries in relational databases,vldb,2003.0
michael mlivoncic,roger weber,klemens bhm,hansjrg schek,fast evaluation techniques for complex similarity queries,vldb,2001.0
gautam das,sanjay agrawal,surajit chaudhuri,,dbxplorer enabling keyword search over relational databases,sigmod conference,2002.0
aiqun du,james p callan,margaret e connell,,automatic discovery of language models for text databases,sigmod conference,1999.0
vincent aguilera,dan vodislav,pierangelo veltri,sophie cluet,views in a largescale xml repository,vldb j,2002.0
felipe cabrera,,,,the future of web services ii,sigmod conference,2003.0
chu yee liau,aoying zhou,wee siong ng,ming zhang,peerdb peering into personal databases,sigmod conference,2003.0
frdric cuppens,,,,querying a multilevel database a logical analysis,vldb,1996.0
arnd christian knig,gerhard weikum,,,combining histograms and parametric curve fitting for feedbackdriven query resultsize estimation,vldb,1999.0
hakan hacigms,chen li,sharad mehrotra,balakrishna r iyer,executing sql over encrypted data in the databaseserviceprovider model,sigmod conference,2002.0
jun yang,jennifer widom,,,incremental computation and maintenance of temporal aggregates,vldb j,2003.0
richard hull,mohammed rupawalla,michael doherty,,structures for manipulating proposed updates in objectoriented databases,sigmod conference,1996.0
narayanan shivakumar,,,,google in a box building the google search appliance,sigmod conference,2003.0
carrie ballinger,,,,evolving teradata decision support for massively parallel processing with unix,sigmod conference,1994.0
werner strau,gerhard dnzinger,werner kieling,helmut schmidt,declare and sds early efforts to commercialize deductive database technology,vldb j,1994.0
jessica m phan,raymond t ng,,,gea a toolkit for gene expression analysis,sigmod conference,2002.0
hannes spintzik,,,,informixonline xps a dynamically scalable rdbms for open parallel platforms,vldb,1995.0
richard t snodgrass,vassilis j tsotras,christian s jensen,,an extensible notation for spatiotemporal index queries,sigmod record,1998.0
jennifer widom,stefano ceri,roberta cochrane,,practical applications of triggers and constraints success and lingering issues 10year award,vldb,2000.0
mohamed zat,giuseppe psaila,edward l wimmers,rakesh agrawal,querying shapes of histories,vldb,1995.0
eugene j shekita,viswanath poosala,yannis e ioannidis,peter j haas,improved histograms for selectivity estimation of range predicates,sigmod conference,1996.0
goetz graefe,patrick e oneil,,,multitable joins through bitmapped join indices,sigmod record,1995.0
graham n c kirby,ronald morrison,evangelos zirintsis,,hyperprogramming in java,vldb,1999.0
angela bonifati,stefano ceri,,,comparative analysis of five xml query languages,sigmod record,2000.0
anand rajaraman,alon y levy,joann j ordille,,querying heterogeneous information sources using source descriptions,vldb,1996.0
mahesh jagannath,eugene inseok chong,aravind yalamanchi,chuck freiwald,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary btrees,sigmod record,2003.0
the access team,,,,upsizing from file server to clent server architectures,sigmod conference,1995.0
tore risch,vanja josifovski,,,integrating heterogenous overlapping databases through objectoriented transformations,vldb,1999.0
beng chin ooi,kianlee tan,hongjun lu,,on spatially partitioned temporal join,vldb,1994.0
nancy wiegand,,,,investigating xquery for querying across database object types,sigmod record,2002.0
peter j haas,joseph m hellerstein,,,ripple joins for online aggregation,sigmod conference,1999.0
curt ellmann,roger lueder,jignesh m patel,jiebing yu,building a scaleable geospatial dbms technolog implementatio and evaluation,sigmod conference,1997.0
c mohan,,,,a survey and critique of advanced transaction models,sigmod conference,1994.0
c mohan,,,,caching technologies for web applications,vldb,2001.0
arnon rosenthal,,,,where will object techonology drive data administration,sigmod record,1998.0
michael stonebraker,mitch cherniack,donald carney,stanley b zdonik,operator scheduling in a data stream manager,vldb,2003.0
anil nori,vishu krishnamurthy,sandeepan banerjee,,bringing objectrelational technology to mainstream,sigmod conference,1999.0
won kim,,,,observations on the odmg93 proposal,sigmod record,1994.0
hasan m jamil,,,,implementing abstract objects with inheritance in datalogneg,vldb,1997.0
jun gao,jian pei,tengjiao wang,shiwei tang,commix towards effective web information extractio integration and query answering,sigmod conference,2002.0
manfred hauswirth,karl aberer,philippe cudrmauroux,,a framework for semantic gossiping,sigmod record,2002.0
gio wiederhold,byung suk lee,,,efficiently instantiating viewobjects from remote relational databases,vldb j,1994.0
randall g bello,william d norcott,mohamed ziauddin,harry sun,materialized views in oracle,vldb,1998.0
eric dujardin,eric simon,mariejo bellosta,eric amiel,supporting exceptions to schema consistency to ease schema evolution in oodbms,vldb,1994.0
albertas caplinskas,johann eder,olegas vasilecas,,advances in databases and information systems adbis,sigmod record,2002.0
guido moerkotte,,,,small materialized aggregates a light weight index structure for data warehousing,vldb,1998.0
kyuyoung whang,gio wiederhold,sangwook kim,,dynamic maintenance of data distribution for selectivity estimation,vldb j,1994.0
jeffrey scott vitter,yossi matias,min wang,,waveletbased histograms for selectivity estimation,sigmod conference,1998.0
sunita sarawagi,,,,automation in information extraction and data integration,vldb,2002.0
donald r slutz,jim gray,tom barclay,,terraserver a spatial data warehouse,sigmod conference,2000.0
angelo pruscino,,,,oracle rac architecture and performance,sigmod conference,2003.0
ravishankar subramanya,christos faloutsos,yoshiharu ishikawa,,mindreader querying databases through multiple examples,vldb,1998.0
rajeev rastogi,pascal felber,chee yong chan,wenfei fan,tree pattern aggregation for scalable xml data dissemination,vldb,2002.0
anant jhingran,,,,anatomy of a real ecommerce system,sigmod conference,2000.0
