<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Nikon Coolpix S9100  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4000x3000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.5-5.9,450mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-FT20  New Zealand Prices - PriceMe,Optical,"100 - 6,400 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.9,100mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Fujifilm X-E1 + 16-50mm  New Zealand Prices - PriceMe,Lens based only,"200 - 6,400 ISO",4896x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony A5000 + 16-50mm + 55-210mm  New Zealand Prices - PriceMe,Lens based only,"100 - 16,000 ISO",5456x3632,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony CyberShot DSC-W620  New Zealand Prices - PriceMe,ISO anti-shake,"100 - 3,200 ISO",4320x3240,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.2-6.5,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCSecure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
Nikon D7000 + 17-55/2.8 G ED  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Nikon Coolpix S70  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 3200, ISO 400, ISO 80, ISO 800, ISO 6400, Auto ISO",4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.9-5.8,25mm,5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony A7R + 24-70/4 ZA OSS  New Zealand Prices - PriceMe,Lens based only,"100 - 25,600 ISO",7360x4144,CMOS,,30-1/8000s,"JPEG, RAW",,,,,,,,,,
Nikon D3200 + 18-200/3.5-5.6 VR II  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6016x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW)",,,,,,,,,,
Fujifilm FinePix Real 3D W3  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 400, ISO 800, Auto",3888x2592,2 CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",1/2-1/500s,"JPEG, MPO",Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.5-4.2,18.9mm,6.3mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon 1 J1 + 10/2.8  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",3872x2592,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Canon PowerShot A490  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 400, ISO 80, ISO 800, Auto ISO",3648x2736,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.0-5.8,122mm,37mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D5300 + 18-140/3.5-5.6 G ED VR   New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Nikon 1 S1 + 10-30/3.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",3872x2592,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, NEF (RAW)",,,,,,,,,,
Panasonic Lumix DMC-SZ8  New Zealand Prices - PriceMe,Optical,"100 - 6,400 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.1-6.3,288mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix AW120  New Zealand Prices - PriceMe,Optical,125 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-4.9,120mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D610 + 28-300/3.5-5.6 G VR   New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6016x4016,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Panasonic Lumix GM1 + 15/1.7  New Zealand Prices - PriceMe,Lens based only,"200 - 25,600 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, RAW",,,,,,,,,,
Fujifilm FinePix Z90  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 3200, ISO manual 3200",4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",4-1/2000s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.9-6.2,25mm,5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.","Black, Blue, Pink, Purple, Red, Silver, White",,
