3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
,"Canon EOS 60D body digital camera prices, Shopping comparison for Canon EOS 60 D body, Buy online in India - ShopMania",Yes,F/1.4 / F/2.8 / F/4.0 / F/2.8-4.0 / F/2.8-4.5 / F/3.5-5.6 / F/3.5-6.3 / F/3.8-5.6 / F/4.0-5.6,Li-Ion,DSLR,Canon,Digital Cameras,Composite / HDMI / Microphone / USB / mini HDMI / mini USB,3.0,79 mm,MOV / MPEG / WAV / H.264,5x,Rotating,"8714574558790, 8714574558936, 8714574559001, 8714574558868, 8714574574998, 8714574561271, 0890552714278, 0872620084568, 0662425801527, 0618327001817, 0487677614448, 0845251030426, 0845251021493, 0845251022582, 0662425801534, 0072700008006, 0698590629277, 0689466361773, 0689466361780, 0689466361742, 0084684036623, 0876544596305, 0021331571076, 0846431030434, 0610074552475, 0610074552376, 0837654976807, 0846431030908, 0689466357653, 0374676249934, 0609728171094, 0013803129175, 0837654977149, 0876544596275, 0846431030922, 0689466357721, 0529205006322, 0689466357738, 8714574574981, 0610074552437, 0689466357691, 8714574558998, 0837654977132, 0689466357608, 8714574558929, 0837654977156, 0837654976791, 0845251029062, 0876544596282, 0876544596299, 0689466361759, 0610074552468, 0876544596312, 0283856457802, 8714574574905, 8714574561264, 0845251021486, 0610074527657, 0876544596268, 8714574558806, 4960999680118, 3610170485667, 4960999680231, 0013803129052, 0704660932052, 0704660932281, 0610074552482","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Auto / Bulb / Close-up / Custom / Landscape / Manual / Movie / Night / Portrait / Program / Scene / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,13 m,Built-in / External,15 - 85 mm / 17 - 40 mm / 17 - 50 mm / 17 - 55 mm / 17 - 70 mm / 17 - 85 mm / 18 - 50 mm / 18 - 55 mm / 24 - 70 mm / 18 - 125 mm / 18 - 135 mm / 18 - 200 mm / 18 - 250 mm / 18 - 270 mm / 24 - 105 mm / 28 - 135 mm / 55 - 250 mm / 70 - 300 mm,Yes,106 mm,DCF / DPOF / JPEG / RAW,Digic 4,480x480 / 640x480 / 720x400 / 720x480 / 1280x1280 / 1696x1280 / 1728x1728 / 1920x1080 / 1920x1280 / 2048x1360 / 2304x1728 / 2304x2304 / 2592x1456 / 2592x1728 / 3072x2304 / 3456x1944 / 3456x2304 / 3456x3456 / 3888x2592 / 4608x3456 / 5184x2912 / 5184x3456,Optical,AV cable / Body cap / Carrying strap / Charger / Lens cap / Neck strap / USB cable,,Auto / 20 / 25 / 50 / 60 / 100 / 200 / 250 / 400 / 640 / 800 / 1600 / 3200 / 6400 / 8000 / 12800,1/8000,CompactFlash / SD / SDHC / SDXC,Center-weighted / Multi / Partial / Spot,Yes,30s (more than 65%),7.5x (more than 81%),Canon EOS 60D body,4 out of 5,Face Detection,Yes,18 MP (more than 90%),1040000 (more than 94%),"3"" (more than 62%)",Clear View LCD,2s / 10s,22.3x14.9mm,CMOS,Contrast / Custom Effect / Fisheye / Monochrome / Neutral / Poster / Retro / Soft Focus / Vivid,,Write a review,640x480 / 1280x720 / 1920x1080,755 g,Automatic / Custom / Manual / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Halogen / Incandescent / Shade / Tungsten,145 mm,"-/+ 3 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Body,1/250,1.6x,1:1 / 3:2 / 4:3 / 16:9,Canon EF / Canon EF-S,"Rs.43,339 - Indiatimes.com Show all prices »",Yes,9.0,Yes,Yes,APS-C,"890552714278, 872620084568, 662425801527, 618327001817, 487677614448, 845251030426, 845251021493, 845251022582, 662425801534, 072700008006, 698590629277, 689466361773, 689466361780, 689466361742, 084684036623, 876544596305, 021331571076, 846431030434, 610074552475, 610074552376, 837654976807, 846431030908, 689466357653, 374676249934, 609728171094, 013803129175, 837654977149, 876544596275, 846431030922, 689466357721, 529205006322, 689466357738, 610074552437, 689466357691, 837654977132, 689466357608, 837654977156, 837654976791, 845251029062, 876544596282, 876544596299, 689466361759, 610074552468, 876544596312, 283856457802, 845251021486, 610074527657, 876544596268, 013803129052, 704660932052, 704660932281, 610074552482",96%,0.95x,Optical,,Yes,,,,,
,"Sony Cyber-shot DSC-H200 digital camera prices, Shopping comparison for Sony Cybershot DSC H 200, Buy online in India - ShopMania",Yes,F/3.1-5.9,NiMH,Compact,Sony,Digital Cameras,Composite / USB,8.0,83 mm,AVC / AVCHD / MPEG-4 / H.264,52x,Fixed,"0027242862241, 4905524925364, 0689466733501, 0845251049404, 0845251049398, 0639767662062, 0689466733518, 0689466669367, 0616932799563, 0845251049411, 0639767660716","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Beach / High Sensitivity / Scene / Shutter Priority / Snow / Soft Skin,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,6.80 m,,4 - 104 mm,Yes,87 mm,DCF / DPOF / JPEG,,640x480 / 1920x1080 / 2592x1944 / 3648x2736 / 5184x3888,Optical,Carrying strap / Lens cap / USB cable,,20 / 100 / 200 / 400 / 800 / 1600 / 3200,1/1500,Memory Stick / Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC / micro SD,Center-weighted / Multi / Spot,Yes,30s (more than 65%),26.4x (more than 98%),Sony Cyber-shot DSC-H200,0 out of 5,"Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",,20.1 MP (more than 96%),460000 (more than 68%),"3"" (more than 62%)",Clear Photo LCD,2s / 10s,1/2.3,CCD,,Yes,Write a review,1280x720,530 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Tungsten",123 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Touch
/ Tracking",,,,4:3 / 16:9,,"Rs.11,429 - Shopclues.com Show all prices »",,,Yes,,,"027242862241, 689466733501, 845251049404, 845251049398, 639767662062, 689466733518, 689466669367, 616932799563, 845251049411, 639767660716",,,,24 - 633 mm,Yes,,,,,
Yes,"Nikon COOLPIX S6500 digital camera prices, Shopping comparison for Nikon S 6500, Buy online in India - ShopMania",,F/2.8-5.9 / F/3.1-6.5,Li-Ion,Compact,Nikon,Digital Cameras,Composite / USB / mini HDMI,10.0,26 mm,AVC / MOV / MPEG-4 / H.264,4x,Fixed,"0018208932566, 0018208932610, 0018208932726, 0846431091886, 0846431091909, 0845251049862, 0846431091893, 0639767669825, 0639767669832, 0845251049909, 0689466583786, 0689466583816, 0689466583793, 0846431091916, 0639767669856, 0845251049879, 0018208932658, 0018208932689, 0018208932535, 0018208132256, 0018208132263, 0018208932733, 0689466583809, 0018208263721, 0845251049886, 0845251049916, 0845251049893, 0018208263714, 0689466583717, 0018208263738, 0689466583731, 0689466583663, 8033737552063, 0845251049848, 0018208263707, 0689466583670, 0689466583724, 0689466583694, 0845251049855, 0689466583700, 0018208132287, 0689466583762, 0689466583748, 0689466583755, 0689466583779, 8033737552049","-/+ 2 EV range, in 1/3 EV steps",Backlight Compensation / Beach / Dawn / Fireworks / Food / Landscape / Museum / Night Portrait / Scene / Snow / Sport / Sunset / e-Portrait / 3D,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.50 m,,4.5 - 54 mm,Yes,58 mm,DCF / DPOF / JPEG / MPF,Expeed C2,640x480 / 1024x768 / 1600x1200 / 1920x1080 / 1984x1488 / 2048x1536 / 2272x1704 / 2592x1944 / 2832x2832 / 3264x2448 / 3648x2736 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Carrying strap / Power adapter / USB cable,25 MB,25 / 100 / 125 / 200 / 300 / 400 / 800 / 1600 / 2000 / 3200,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,8s,21x (more than 95%),Nikon COOLPIX S6500,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",,16.2 MP (more than 88%),614000 (more than 79%),"3"" (more than 62%)",AMOLED,2s / 10s,1/2.3,BSI CMOS,,,Write a review,176x128 / 384x288 / 1280x720,250 g,,"Cloudy / Flash / Fluorescent / Incandescent / Shade / Sunny
/ Tungsten",95 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,"Rs.9,899 - Shopclues.com Show all prices »",Yes,,Yes,,,"018208932566, 018208932610, 018208932726, 846431091886, 846431091909, 845251049862, 846431091893, 639767669825, 639767669832, 845251049909, 689466583786, 689466583816, 689466583793, 846431091916, 639767669856, 845251049879, 018208932658, 018208932689, 018208932535, 018208132256, 018208132263, 018208932733, 689466583809, 018208263721, 845251049886, 845251049916, 845251049893, 018208263714, 689466583717, 018208263738, 689466583731, 689466583663, 845251049848, 018208263707, 689466583670, 689466583724, 689466583694, 845251049855, 689466583700, 018208132287, 689466583762, 689466583748, 689466583755, 689466583779",,,,23 - 483 mm,Yes,,Yes,,,
Yes,"Sony DSC-TX9 digital camera prices, Shopping comparison for Sony DSC TX 9, Buy online in India - ShopMania",Yes,F/3.5-4.6,Li-Ion,Ultracompact,Sony,Digital Cameras,Composite / HDMI / USB,10.0,18 mm,AVCHD / MPEG / H.264,4x,Fixed,"0876544570817, 0876544570770, 0876544570787, 4905524720570, 0027242793071","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.80 m,Built-in,4.4 - 17.7 mm,,60 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2248 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000,Optical,AV cable / Body cap / Carrying strap / Charger / Stylus / USB cable,32 MB,Auto / 125 / 200 / 400 / 800 / 1600 / 3200,1/1600,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,2s,4x (more than 51%),Sony DSC-TX9,4 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,12.2 MP (more than 61%),921600 (more than 90%),"3.5"" (more than 98%)",,2s / 10s,1/2.3,BSI CMOS,,Yes,Write a review,320x240 / 640x480 / 1280x720 / 1440x1080 / 1920x1080,149 g,Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Outdoor / Underwater",98 mm,,"Center
/ Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Touch
/ Tracking",,,,4:3 / 16:9,,,Yes,9.0,Yes,,,"876544570817, 876544570770, 876544570787, 027242793071",,,,25 - 100 mm,Yes,,,"Rs.9,912 Show all prices »",,
,"Canon PowerShot S110 digital camera prices, Shopping comparison for Canon S 110, Buy online in India - ShopMania",,F/2.0-5.9 / F/2.8-4.0,Li-Ion,Ultracompact,Canon,Digital Cameras,Composite / HDMI / USB / mini HDMI / USB 1.1,2.5,27 mm,AVI / MOV / iFrame / H.264,4x,Fixed,"0876544678520, 0876544678537, 0876544678544, 4960999918242, 0660685052550, 0013803157161, 0013803157147, 5026173304535, 0845251047219, 0013803157154, 8714574586588, 5053460852080, 4960999914152, 4960999914107, 8714574586540, 0845251047202, 0639767686662, 0846431074582, 0845251047226, 0845251047196, 0845251047233, 0846431074599, 0845251047240, 0639767686693","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Backlight Compensation / Custom / Macro / Movie / Program / Scene / Shutter Priority / Snow,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,7 m,Built-in,5.2 - 26 mm,Yes,57 mm,DCF / DPOF / JPEG / RAW,Digic 5,480x384 / 480x480 / 640x360 / 640x424 / 640x480 / 1024x768 / 1200x960 / 1200x1200 / 1600x1064 / 1600x1200 / 1696x2112 / 1920x1080 / 2112x2112 / 2816x1584 / 2816x1880 / 2816x2112 / 2992x2992 / 3000x2400 / 4000x2248 / 4000x2664 / 4000x3000,Optical,Charger / Hand strap,,Auto / 25 / 80 / 100 / 120 / 125 / 160 / 200 / 250 / 320 / 400 / 500 / 640 / 800 / 1000 / 1250 / 1600 / 2000 / 2500 / 3200 / 4000 / 5000 / 8000 / 10000 / 12800,1/2000,CompactFlash / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,15s (more than 51%),5x (more than 61%),Canon PowerShot S110,5 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,12.1 MP (more than 57%),461000 (more than 77%),"3"" (more than 62%)",LCD,Custom / 2s / 10s,1/1.7,CMOS,Poster / Sepia,Yes,"Read reviews
Write a review",320x240 / 1280x720,198 g,Automatic / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Shade / Tungsten / Underwater,87 mm,,"Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Selective Single-point
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 5:4 / 16:9,,"Rs.27,769 - Grabmore India Show all prices »",Yes,9.0,Yes,,,"876544678520, 876544678537, 876544678544, 660685052550, 013803157161, 013803157147, 845251047219, 013803157154, 845251047202, 639767686662, 846431074582, 845251047226, 845251047196, 845251047233, 846431074599, 845251047240, 639767686693",,,Optical,24 - 120 mm,Yes,,Yes,,,
,"Sony Cyber-shot DSC-T99 digital camera prices, Shopping comparison for Sony Cybershot DSC T 99, Buy online in India - ShopMania",Yes,F/3.5-4.6,Li-Ion,Ultracompact,Sony,Digital Cameras,Composite / HDMI / USB,,17 mm,AVCHD / AVI / MJPEG / MPEG / MPEG-4,4.7x,Fixed,"0876544570657, 0876544570633, 0876544570640, 0876544570619","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,4.60 m,Built-in,4.4 - 17.7 mm,,56 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240,Optical,Carrying strap / Charger / Stylus / USB cable,45 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/1250,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,2s,4x (more than 51%),Sony Cyber-shot DSC-T99,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,14.1 MP (more than 73%),230400 (more than 63%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,Contrast / Vivid,Yes,Write a review,320x240 / 640x480 / 1280x720 / 1440x1080,121 g,Automatic / Custom / Presets,Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Underwater,93 mm,,"Center
/ Contrast Detect
/ Live View
/ Multi-area
/ Single",,,,4:3 / 16:9,,,,9.0,Yes,,,"876544570657, 876544570633, 876544570640, 876544570619",,,Optical,25 - 100 mm,,,,"Rs.6,894 Show all prices »",,
,"Canon EOS 1200D kit 18-55mm digital camera prices, Shopping comparison for Canon EOS 1200D kit 18 55mm, Buy online in India - ShopMania",,F/1.4 / F/3.5-5.6,Li-Ion,DSLR,Canon,Digital Cameras,HDMI / USB,3.0,78 mm,MOV / H.264,,Fixed,"0013803237160, 0845251073010, 8714574618203, 8714574618265, 0845251072952, 4016138888416, 8714574618210, 8714574618234, 8714574620268, 8714574620114, 8714574618289, 7898576032418","-/+ 5 EV range, in 1/3 EV steps",Close-up / Intelligent Auto / Landscape / Movie / Portrait / Scene,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,9.20 m,,18 - 55 mm,Yes,100 mm,DPOF / JPEG / RAW,Digic 4,480x480 / 640x480 / 720x400 / 720x480 / 1280x1280 / 1696x1280 / 1728x1728 / 1920x1080 / 1920x1280 / 2304x1728 / 2304x2304 / 2592x1456 / 2592x1728 / 3072x2304 / 3456x1944 / 3456x2304 / 3456x3456 / 4608x3456 / 5184x2912 / 5184x3456,Optical,,,Auto / 20 / 25 / 50 / 60 / 100 / 200 / 400 / 500 / 640 / 800 / 1200 / 1600 / 3200 / 4000 / 6400 / 12800,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Partial,Yes,30s (more than 65%),3x,Canon EOS 1200D kit 18-55mm,0 out of 5,Face Detection,Yes,18 MP (more than 90%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,22.3x14.9mm,CMOS,,,Write a review,,480 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Tungsten,130 mm,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Kit,1/200,1.6x,3:2,Canon EF / Canon EF-S,"Rs.21,059 - Shopclues.com Show all prices »",Yes,9.0,Yes,,,"013803237160, 845251073010, 845251072952",95%,0.8x,Optical,,,,,,,
,"Canon IXUS 125 HS digital camera prices, Shopping comparison for Canon IXUS 125 HS, Buy online in India - ShopMania",Yes,F/2.7-5.9,Li-Ion,Compact,Canon,Digital Cameras,Composite / HDMI / USB / mini HDMI / mini USB,2.0,20 mm,MOV / H.264,10x,,"8714574579139, 8714574579290, 8714574579252, 8714574579214, 8714574579177, 8714574579146, 8714574579221, 8714574579269, 8714574579184","-/+ 2 EV range, in 1/3 EV steps",Auto / Custom / Scene,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.50 m,Built-in,4.3 - 21.5 mm,Yes,57 mm,DCF / DPOF / JPEG,Digic 5,480x480 / 640x360 / 640x424 / 640x480 / 1200x1200 / 1600x1064 / 1600x1200 / 1920x1080 / 2448x2448 / 3264x1832 / 3264x2176 / 3264x2448 / 3456x3456 / 4608x2592 / 4608x3072 / 4608x3456,Optical,Charger,,Auto / 100 / 125 / 200 / 400 / 800 / 1600 / 3200,1/2000,MultiMediaCard / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,15s (more than 51%),5x (more than 61%),Canon IXUS 125 HS,4 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",Yes,16.1 MP (more than 84%),461000 (more than 77%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CMOS,Black & White / Color Accent / Color Swap / Contrast / Darker Skin Tone / Fisheye / Lighter Skin Tone / Monochrome / Neutral / Positive Film / Sepia / Soft Focus / Vivid,,Write a review,320x240 / 640x424 / 1280x720 / 1920x1080,135 g,Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Outdoor / Tungsten / Underwater",93 mm,,,,,,,,,,,Yes,,,,100%,,,24 - 120 mm,,,,"Rs.11,395 Show all prices »",,
,"Olympus FE-4020 digital camera prices, Shopping comparison for Olympus FE 4020, Buy online in India - ShopMania",,F/2.6-5.9,Li-Ion,Compact,Olympus,Digital Cameras Digital Cameras,Composite / USB,,23 mm,AVI / MJPEG,4x,Fixed,"0876544658751, 0876544658775, 0050332173040, 0050332172739, 0050332173033, 0876544658799, 0876544658782, 0876544658768, 0876544658805","-/+ 2 EV range, in 1/3 EV steps",Auto / Intelligent Auto / Manual / Program / Scene,,,Built-in,,,56 mm,JPEG,,640x480 / 1280x960 / 1600x1200 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 4288x3216,Digital,,,Auto / 64 / 100 / 200 / 400 / 800 / 1600,1/2000,SD / SDHC,,,4s,4x (more than 51%),Olympus FE-4020 Olympus FE-4020,5 out of 5 5 out of 5,,Yes,14 MP (more than 67%),230000,"2.7""",,2s,1/2.3,CCD,Contrast / Fisheye,,Write a review Write a review,320x240 / 640x480,,Automatic / Presets,Daylight / Sunny / Flash / Fluorescent / Indoor / Overcast / Sunlight / Tungsten,94 mm,,,,,,,,,,,,,,"876544658751, 876544658775, 050332173040, 050332172739, 050332173033, 876544658799, 876544658782, 876544658768, 876544658805",,,,,,,,,,
,"Canon PowerShot A2200 IS digital camera prices, Shopping comparison for Canon A 2200 IS, Buy online in India - ShopMania",Yes,F/2.8-5.9,Li-Ion,Compact,Canon,Digital Cameras,Composite / USB,0.9,24 mm,MOV / QuickTime / MPEG-4 / H.264,4x,Fixed,"8714574563732, 8714574563558, 8714574563466, 8714574563640, 8714574563565, 8714574563473, 0837654974803, 0876544736633, 0876544736596, 0876544736572, 0610563300501, 0876544736619, 0837654974797, 0610563300426, 0846431032117, 0837654976487, 0876544736602, 0610563300440, 0837654974810, 0610563300464, 0883711043661, 0610563300495, 0837654976500, 0610563300471, 0876544736589, 0610563300457, 0837654976517, 0837654976494, 0876544736626","-/+ 2 EV range, in 1/3 EV steps",Auto / Custom / Intelligent Auto / Manual / Program / Scene,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,4 m,Built-in,5 - 20 mm,,57 mm,DCF / DPOF / JPEG,Digic 4,640x480 / 1600x1200 / 1920x1080 / 3072x2304 / 4320x2432 / 4320x3240,Optical,AV cable / Carrying strap / Charger / Hand strap / USB cable,,Auto / 80 / 100 / 160 / 200 / 400 / 800 / 1600,1/1600,MultiMediaCard / MultiMediaCard Plus / SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,15s (more than 51%),4x (more than 51%),Canon PowerShot A2200 IS,4 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",Yes,14.1 MP (more than 73%),230000,"2.7""",LCD,2s / 10s,1/2.3,CCD,"Black & White / Contrast / Custom Effect / Fisheye / Foliage
/ Monochrome / Neutral / Retro / Saturation / Sepia / Soft / Vivid",,Write a review,320x240 / 1280x720,135 g,Automatic / Custom / Manual / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Outdoor / Tungsten",93 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,4:3 / 16:9,,"Rs.5,495 - Shopclues.com Show all prices »",,9.0,Yes,,,"837654974803, 876544736633, 876544736596, 876544736572, 610563300501, 876544736619, 837654974797, 610563300426, 846431032117, 837654976487, 876544736602, 610563300440, 837654974810, 610563300464, 883711043661, 610563300495, 837654976500, 610563300471, 876544736589, 610563300457, 837654976517, 837654976494, 876544736626",100%,,,28 - 112 mm,Yes,,,,,
Yes,"Samsung DV300F digital camera prices, Shopping comparison for Samsung DV 300F, Buy online in India - ShopMania",,F/2.5-6.3,Li-Ion,Compact,Samsung,Digital Cameras Digital Cameras,Composite / HDMI / USB / mini HDMI,15.0,18 mm,AVC / MPEG-4 / H.264,5x,Fixed,"8806071846590, 0610696368386, 0890552715183, 0890552715169, 0890552714728, 0610696368324, 0044701016830, 0044701016823, 0044701016434, 8806085043114, 8806071878294","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Custom / Program / Scene / Shutter Priority / e-Portrait,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,4.10 m,Built-in,5 - 25 mm / 4.5 - 22.5 mm,,57 mm,DPOF / JPEG / MPO,,640x480 / 1024x768 / 1280x1024 / 1920x1080 / 1984x1488 / 2592x1944 / 3648x2736 / 4608x2592 / 4608x3072 / 4608x3456,Optical,Carrying strap / Power adapter / USB cable,16 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,SDHC / SDXC / micro SD / micro SDHC,Center-weighted / Multi / Spot,Yes,16s (more than 61%),5x (more than 61%),Samsung DV300F Samsung DV300F,4 out of 5 4 out of 5,"Face Detection
/ Panorama",Yes,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,Fisheye / Retro,,Write a review Write a review,320x240 / 1280x720,133 g,Custom,Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Tungsten,95 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Tracking",,,,3:2 / 4:3 / 16:9,,,,,Yes,,,"610696368386, 890552715183, 890552715169, 890552714728, 610696368324, 044701016830, 044701016823, 044701016434",,,,25 - 125 mm,Yes,,Yes,,,
,"Pentax WG-10 digital camera prices, Shopping comparison for Pentax WG 10, Buy online in India - ShopMania",Yes,F/3.5-5.5,Li-Ion,Compact,Pentax,Digital Cameras,Composite / USB / micro HDMI,19.0,,AVI / MJPEG / WAV / MPEG-4 / H.264,6.7x,Fixed,"0027075228467, 4549212228483","-/+ 2 EV range, in 1/3 EV steps",Program / Scene,Auto / Fill-in / Manual / Off / On / Red Eye Reduction,1.20 m,,,,,DPOF / JPEG / DCF 2.0,,640x480 / 1024x768 / 1920x1080 / 2048x1536 / 2592x1464 / 2592x1944 / 3072x1728 / 3072x2304 / 3216x3216 / 4224x2376 / 4228x3216,,Carrying strap / Charger / Tripod / USB cable,97 MB,125 / 200 / 400 / 800 / 1600 / 3200,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,4s,5x (more than 61%),Pentax WG-10,0 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",,14 MP (more than 67%),230000,"2.7""",LCD,2s / 10s,1/2.3,CCD,,,Write a review,1280x720,163 g,,"Artificial
/ Daylight / Sunny / Fluorescent / Shade",,,"Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 4:3 / 16:9,,"Rs.12,735 - Shopclues.com Show all prices »",Yes,9.0,Yes,,,027075228467,,,,28 - 140 mm,Yes,Crushproof / Dustproof / Shockproof / Waterproof,,,,
,"Vivitar VF128 digital camera prices, Shopping comparison for Vivitar VF 128, Buy online in India - ShopMania",,,,,Vivitar,Digital Cameras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivitar VF128,,,,,,,,,,,,,Write a review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
