<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Olympus Stylus TG850 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.7 (T),PCM,"Yes, Contrast Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Face Detection",16.8 MP,4x,3.74 - 18.7 mm (35 mm Equivalent to 21 - 105 mm),JPEG (Exif Ver 2.3),"Yes, Mechanical Image Stabiliser (Lens shift)",125 - 6400,,,1/2000 sec,2 sec,5x,"Focal Length Multiplier (5.6x), AF Lock, AF Illuminator,","Yes, 2 sec, 12 sec, Custom Self-Timer (1-30 sec start timer, 1-10 pictures, 1-3 sec interval)","H.264, Motion JPEG, QuickTime Motion JPEG","Auto White Balancing System, Overcast, Sunlight, Tungsten, Underwater, Fluorescent, Custom","Yes, Primary (RGB) Color filter",,,,"Yes, Advanced Face Detection Technology",,,,4608 x 3456 Pixels,,,,TruePic VII,1/2.3 inch (6.17 x 4.55 mm),BSI CMOS,,,,,"Yes, Auto, Red",No,"Auto, Red Eye Reduction, Fill in, Off","Yes, Multi-Pattern, Center-Weighted, Spot",,,,,,,,"0.12 - 4.0 m (W), 0.1 - 2.5 m (T)",,,,,,,
"Nikon Coolpix L830 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3 - F5.9,,Yes,16 MP,4x,4 - 136 mm (35 mm (135) Equivalent 22.5 - 765 mm),,,80 - 3200,NIKKOR Lens,Yes,1/1500,4,34x,,"Yes, 10 Sec","H.264, MPEG-4, AVC",,,Yes,Yes,,Yes,,,"Yes, 1 cm - Infinity",,,,,,,,"Easy auto, Scene (Portrait, Landscape, Sports, Night portrait, Party/indoor, Beach, Snow, Sunset, Dusk/dawn, Night landscape, Close-up, Food, Museum, Fireworks show, Black and white copy, Backlighting, Easy panorama, Pet portrait), Special effects, Smart portrait, Auto",,,1920 x 1080 pixels,,,,"Yes, Multi, Center Weighted, Spot",,,,35,,,,,,,,,,75 mm Ultra Wide-angle,
"Nikon D7100 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View, Nikon Advanced Multi-CAM 3500DX autofocus sensor module with TTL phase detection, fine-tuning, 51 focus points (including 15 cross-type sensors; the center 1 focus point is available at apertures slower than f/5.6 and faster than f/8 or at f/8), and AF-assist illuminator (range approx. 0.5 - 3m/1 ft 8 in. - 9 ft 10 in.), Focus Lock",25 MP,,,"JPEG, DCF 2.0, EXIF 2.3, DPOF",No,100 - 25600,Nikon F mount (with AF coupling and AF contacts),Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. of Focus Points (51)","Yes, 2 s, 5 s, 10 s, 20 s","MPEG-4, AVC / H.264","Custom White Balance, White Balance Presets (12), Auto (2 Types), Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual (upto 6 Values can be Stored, Spot Measurement Available During Live View), Choose Color Temperature (2500 K 10000 K), Fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 6 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, Type C, Mini HDMI",,No,,"Yes, Stereo",,"Yes, PictBridge 1.0",,,,"Auto, Programmed Auto with Flexible Program (P), Shutter-priority (S), Aperture-priority (A), Manual (M)","Yes, Audio Output",Yes,1920 x 1080 pixels at 30 fps,"Yes, Auto, portrait, child, close up, night portrait, party/indoor, pet portrait, color sketch: Auto flash with auto pop-up P, S, A, M, food: Manual pop-up with button release","Yes, Hot-shoe, Wireless","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off; Auto FP High-Speed Sync supported","Yes, Multi-Pattern, Center-Weighted, Average, Spot","Yes, 1/250 sec","Yes, Diopter Adjustment, Magnification ( 0.94x ), Coverage ( 100% ), Optical Viewfinder ( Pentaprism ), Live View, Fixed Articulated LCD, Focussing Screen ( Type B BriteView Clear Matte Mark II screen with AF area brackets ), Reflex Mirror ( Quick Return ), Lens Aperture ( Instant return, electronically controlled )",Yes,30,Yes,,,12.00 m (at ISO 100),,,,,,"80 mm, 170 Degrees Wide Viewing Angle",
"Pentax WG 10 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 (W) - F5.5 (T),"WAV, PCM, Monaural","Yes, Contrast Detect, Multi-Area, Tracking, Single, Face Detection",14 MP,6.7x,28 - 140 mm,"JPG (EXIF 2.3), DCF 2.0, DPOF ( Good, Better & Best Quality )","Yes, Sensor Shift",125 - 6400,Pentax Zoom Lens,Yes,1/4000 sec,4 sec,5x,"Normal Focus Range (50cm), Macro Focus Range (1cm), No. Of Focus Points (9), Focus Modes ( 9 Point AF, Spot AF, Auto Tracking AF, Macro, 1 cm Macro, Infinity Landscape, Pan Focus, Manual Focus ), Lens Construction ( 11 Elements, 9 Groups (5 Aspheric Elements) ), 5 Macro LED Perfect Focus and Smooth, Focus Lock: By Pressing the Shutter Release Button Half Way, AF Assist Lamp, Macro Illuminating LED","Yes, 2 or 10 sec","MPEG-4, H.264, AVI","White Balance Presets (4), Custom White Balance","Yes, Primary (RGB) Color filter",,,,Yes,,,,,,,,,,,"Face Detection: Upto 32 Faces, Smile Capture, Blink Detection, Self Portrait Assist, Pet Recognition (1 Face Detect, 3 Faces Pre-registered)",,,,,,,"Yes, Multi-Pattern, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Nikon D3300 (18-55 mm & 55-200 mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",25.0 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG ( Fine, Normal & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 Sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points (11), Focussing Screen ( Type B BriteView Clear Matte Mark VII screen )","Yes, 2, 5, 10, 20 sec",MOV,"White Balance Presets (12), Custom White Balance, Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning.",,"Yes, 5 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required )",Yes,"Yes, Mini HDMI",,,6000 x 4000 Pixels,"Yes, Mono",,"Yes, DCF 2.0, DPOF, Exif 2.3, PictBridge",Expeed 4,APS-C (23.5 x 15.6 mm),CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Auto, portrait, child, close up, night portrait, super vivid, pop, photo illustration, color sketch, toy camera effect: Auto flash with auto pop-up P, S, A, M: Manual pop-up with button release","Yes, Hot-shoe, Wireless","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,34,Yes,,,12.0 m,,,,,,,
"Panasonic Lumix DMC LZ30 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.0 (W) - F/5.9 (T),,"Yes, Contrast Detect AF",16.1 MP,4x,4.5 - 157.5 mm (35 mm Equivalent to 25 - 875 mm) (Image) and (35 mm Equivalent to 30 - 1050 mm) (Video),"JPEG, DCF, EXIF 2.3",,100 - 6400,,,1/2000 sec,15 sec,35x,,"Yes, 2 and 10 sec",,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set","Yes, Primary (RGB) Color Filter","Yes, 3 fps",Yes,,Yes,,,"Yes, 1 cm",,,,,,,,"Intelligent Auto, Program, Manual, Creative Control, Scene, Portrait, Scenery, Sports",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,16,,,123.8 (W) x 83.7 (H) x 91.4 (D) mm,,,,Point & Shoot,,"465 g (without Battery and Memory Card Media), 558 g (with Battery and SD Meomry Card)",25 mm Wide angle,
"Nikon CoolPix S9400 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.4 - F/6.3,"WAV, AAC Stereo","Yes, Contrast Detect AF",18 MP,4x,4.5 - 81 mm (35 mm Equivalent to 25 - 450 mm),"JPEG, MPO, DCF, EXIF 2.3, DPOF, MPF",,125 - 3200,NIKKOR Lens,Yes,1/1500 sec,1 sec,18x,,"Yes, 2 and 10 sec","MOV, H.264 / MPEG-4 AVC","Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,"Yes, 5 Shots at 7.5 fps",,,,,16:9,"Yes, 1 cm",4896 x 3672 Pixels,,,,,1/2.3 inch,CMOS,"Auto, Scene Auto Selector, Scene",,,1920 x 1080 pixels at 30 fps,,,,,,,,32,,,110.1 (W) x 60.3 (H) x 30.7 (D) mm,,,,Advance Point and shoot,,200 g (with Battery and SD Memory Card),25 mm Wide angle,
"Panasonic Lumix DMC FH25 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 F5.9,,Yes,16.1 MP,4x,5 - 40 mm (35 mm equivalent of 28 - 224 mm),JPEG,,100 - 6400,Leica DC Vario Elmar,,1/1600 sec,8 sec,8x,,"Yes, 2 and 10 sec",QuickTime Motion JPEG,Auto/ Daylight/ Cloudy/ Shade/ Incandescent/ White Set,"Yes, Primary (RGB) Color Filter","Yes, Hi-speed Burst Mode: 4.4 frames / sec",,,Yes,,"4:3, 3:2, 16:9","Yes, Focus: Wide 5 cm infinity, Tele 100 cm infinity",4608 x 3456 Pixels,,,,,1/2.33 inch,CCD,Frame movie mode,,,,,,,,,,Yes,,,,99.2 (W) x 56.5 (H) x 27.8 (D) mm,,,,Point & Shoot,,152 g (with Battery and SD Memory Card),,
"Nikon D3200 (AF-S 18-55 mm VR & Tamron A17 AF 70-300 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,Yes,24.2 MP,,,"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, Basic Quality )",No,100 - 12800,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,No. Of Focus Points(11),"Yes, 2, 5, 10, 20 sec","MPEG-4, H.264, MOV","Auto, Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual, White Balance Presets (12), Custom White Balance",,"Yes, 4 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, Type C mini-pin HDMI connector",,Yes,6016 x 4000 Pixels,"Yes, Monaural",,"Yes, PictBridge 1.0",Expeed 3,APS-C (23.2 x 15.4 mm),CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Auto, portrait, child, close up, night portrait: Auto flash with auto pop-upP, S, A, M: Manual pop-up with button release","Yes, Hot-shoe, Wireless plus sync connector","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off",Yes,"Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Nikon Coolpix P340 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F1.8 (W) - F5.6 (T),,"Yes, Contrast Detect (sensor), Multi-Area, Center, Tracking, Face Detection",12 MP,4x,24-120 mm,RAW Uncompressed,"Yes, Optical",80 - 25600,,Yes,1/4000 sec,60 sec,5x,"Normal Focus Range (30 cm), Macro Focus Range (2 cm)","Yes, 10 or 2 seconds","MPEG-4, H.264","Custom White Balance, White Balance Presets (8)",,,,,Yes,,,,4000 x 3000 Pixels,,,,,1/1.7 inch (7.44 x 5.58 mm),BSI CMOS,,,,,,,,"Yes, Multi, Center-Weighted, Spot, Spot AF-Area",,,,,,,,,,,,,,,
"Nikon D3X (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Live View",26 MP,,,"JPEG ( Fine, Normal & Basic Quality )",No,100 - 6400,Nikon F,Yes,1/8000 sec,30 Sec,,"Focal Length Multiplier (1x), No. of Focus Points (51)","Yes, 2 or 20 sec, Custom",,"White Balance Presets (12), Custom White Balance (5)",,"Yes, 5 fps",Yes,,,,,,6048 x 4032 Pixels,,,,Expeed,Full frame (35.9 x 24 mm),CMOS,"Single frame shooting [S] mode, Continuous low shooting [CL] mode: 1-5 fps, Continuous high shooting [CH] mode: 5 fps (5-7 fps with DX format), Live view [LV] mode, Self-timer mode, Mirror-up mode",,,,No,"Yes, Hot-shoe, Wireless plus sync connector","Auto, On, Off, Red-eye, Slow sync, Rear curtain","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/250 sec",,Yes,15,,,,,,,,,,,
"Nikon D5100 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, TTL phase detection,11 focus points",16.2 MP,,,"JPEG ( Fine, Normal, Basic Quality )",No,100 - 25600,Nikon F mount,Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points(11), Focus Modes ( Auto Focus, Single Serve AF, Continuous Servo AF, Auto AF-S/AF-C selection, Manual Focus","Yes, 2, 5, 10 and 20 sec",MPEG-4,"White Balance Presets (12), Custom White Balance (5), Auto (TTL white-balance with main image sensor and 420-pixel RGB sensor), Incandescent, Fluorescent ( 7 types ), Direct Sunlight, Flash, Cloudy, Shade, preset manual",,"Yes, 4 fps",Yes,,Yes,"Yes, HDMI Mini Type C",,No,4928 x 3264 Pixels,"Yes, Mono",,,Expeed 2,APS-C (23.6 x 15.7 mm),CMOS,"Single frame, Continuous: 4fps, Self-timer, Delayed remote, Quick-response remote, Silent shuttle release, D-Movie.","Yes, Audio / Video Output",Yes,1920 x 1080 pixels,"Yes, Pop Up","Yes, Hot-shoe","Fill-flash, slow sync, auto slow sync, red-eye reduction, auto with red-eye reduction, slow sync with red-eye reduction, auto slow sync with red-eye reduction, rear-curtain sync, rear-curtain with slow sync`","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,22,,,,,,,,,,,
"Canon PowerShot A2400 IS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.8 - F/6.9,Linear PCM (2 Channel Monaural),"Yes, TTL Auto Focus",16 MP,4x,5 (W) - 25 (T) mm (35 mm Equivalent to 28 (W) mm - 140 (T) mm),"JPEG, EXIF 2.3, DCF, DPOF 1.1","Yes, Lens-shift",100 - 1600,,,1/2000 sec,15 sec,5x,,"Yes, 2 and 10 sec","MOV, H.264","Auto, Day Light, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom","Yes, Primary (RGB) Color Filter","Yes, 0.8 fps (P Mode), 2.8 fps (Low Light Mode)",Yes,,Yes,,,"Yes, 3 60 cm (W)",,,"Windows 7 SP1, Windows Vista SP2, Windows XP SP3, MAC OS X 10.6, MAC OS X 10.7",,,,,"Smart Auto (32 Scenes Detected), Program",,,1280 x 720 pixels at 24 fps,,,,,,,Yes,29,,,94.4 (W) x 54.2 (H) x 20.1 (D) mm,,,,Point & Shoot,,"110 g (Camera Body Only), 126 g (with Battery and Memory Card)",28 mm Wide-angle,
"Nikon D7100 DSLR (AF-S 16-85mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F1.5 (W) - F2.8 (T),Linear PCM,Yes,25 MP,,16 - 85 mm (35 mm Equivalent to 24 - 127.5 mm),"JPEG, DCF 2.0, EXIF 2.3, DPOF",No,100 - 25600,Nikon F mount (with AF coupling and AF contacts),Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. of Focus Points (51)","Yes, 2 s, 5 s, 10 s, 20 s","MPEG-4, AVC / H.264",,"Yes, Primary (RGB) Color Filter","Yes, 6 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, Type C, Mini HDMI",,No,,"Yes, Stereo",,"Yes, PictBridge 1.0",,,,"Auto, Programmed Auto with Flexible Program (P), Shutter-priority (S), Aperture-priority (A), Manual (M)","Yes, Audio Output",Yes,1920 x 1080 pixels at 30 fps,"Yes, Auto, portrait, child, close up, night portrait, party/indoor, pet portrait, color sketch: Auto flash with auto pop-up P, S, A, M, food: Manual pop-up with button release","Yes, Hot-shoe, Wireless","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off; Auto FP High-Speed Sync supported","Yes, Multi-Pattern, Center-Weighted, Average, Spot","Yes, 1/250 sec",,Yes,30,Yes,,,12.00 m (at ISO 100),,,,,,"80 mm, 170 Degrees Wide Viewing Angle",
"Panasonic Lumix DMC SZ1 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.1 - F/5.9,,,16.1 MP,4x,4.5 - 45 mm (35 mm Equivalent to 25 - 250 mm),"JPEG, DCF, EXIF 2.3",,100 - 6400,Leica DC Vario Elmar,,1/1600 sec,8 sec,10x,,"Yes, 2 and 10 sec",MP4,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set","Yes, Primary (RGB) Color Filter","Yes, 1.3 fps",,,,,"4:3, 3:2, 16:9, 1:1",,4608 x 3456 Pixels,,"Windows 7, Windows Vista, Windows XP, Windows 2000, MAC OS 9.x, MAC OS",,,1/2.33 inch,CCD,,,,1280 x 720 pixels at 30 fps,,,,,,,Yes,24,,,99.0 (W) x 59.4 (H) x 19.0 (D) mm,,,,Point & Shoot,,"131 g (with Battery and SD Memory Card), 114 g (without Battery and SD Memory Card)",24 mm Ultra Wide-angle,
"Samsung ES95 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,WAV,"Yes, TTL Auto Focus",16.1 MP,"1x 5x Still Image Mode (Optical Digital: 25x), 1x 14.4x Intelli-zoom",4.5 - 22.5 mm (35 mm Equivalent to 25 - 125 mm),"JPEG, DCF, EXIF 2.21, DPOF 1.1",,80 - 3200,Samsung Lens,,1/2000 sec,1/8 sec,5x,,"Yes, 2 and 10 sec",AVI (MJPEG),"Auto, Daylight, Cloudy, Fluorescent H, Fluorescent L, Tungsten, Custom","Yes, Primary (RGB) Color Filter",,Yes,,Yes,,,"Yes, 5 cm 80 cm (W), 100 cm 250 cm (T)",,,"Windows XP SP2, Windows Vista, Windows 7, Windows 8",,,,,"Smart Auto, Program, Scene, Picture-in-picture, Live Panorama, Wig Shot",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,,,,,,,,,,,25 mm Wide angle,
"Sony Cybershot DSC HX400V  Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F6.3 (T),,Yes,21.1 MP,50x,4.3 - 215 mm (35 mm Equivalent to 26 - 1300 mm),,"Yes, Optical SteadyShot",80 - 3200,ZEISS Vario Sonnar T Lens,Yes,1/4000 sec,4 sec,50x,"Focal Length (35 mm Conversion): 26 - 1300 mm Still Image (16:9), 24 - 1200 mm Still Image (4:3), 26.5 - 1325 mm (SteadyShot Standard), 28 - 1850 mm (SteadyShot Active), 31 - 1900 mm (SteadyShot Intelligent Active) Movie (16:9), 32.5 - 1625 mm (SteadyShot Standard), 34.5 - 2300 mm (SteadyShot Active), 38 - 2350 mm (SteadyShot Intelligent Active) Movie (4:3), Precision Digital Zoom (Still Image): 20 M (200x), 10 M (284x), 5 M (400x), VGA (810x), 15 M (16:9) 200x, 2 M (16:9) 540x","Yes, 2 or 10 sec",,"Auto, Daylight, Cloudy, Incandescent, Fluor: Cool White, Fluor: Day White, Fluor: Daylight Flash, C.Temp / Filter, Custom",,,,,"Yes, Maximum 8 Faces",,,,5184 x 2920 Pixels,,,,BIONZ X Image Processor,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode, Panorama, Scene Selection, Manual Exposure",,,,,,,"Yes, Light Metering (Multi Pattern, Center-weighted, Spot)",,,,,,,,,Memory Stick Duo (Still Image / Movies) / Memory Stick PRO Duo (Still Image / Movies) / Memory Stick PRO Duo - High Speed / Memory Stick PRO HG Duo / SD / SDHC / SDXC / Memory Stick Micro / Memory Stick Micro (Mark 2) / microSD / microSDHC / microSDXC,,,Yes,,,
"Panasonic HC V250 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,AAC Stereo,Yes,10.0 MP,150x 3000x,2.0 - 103 mm (35 mm Equivalent to 28 - 1740 mm),JPEG (DCF/Exif2.2),"Yes, Optical Image Stabilization",,Panasonic Lens,Yes,,,50x,,,"AVCHD, MP4","Auto, Indoor1, Indoor2, Sunny / Cloudy, White set",,,,,,,,,,,HD Writer LE 2.1 Software,,,,,,,,,,,,,,,,6,,,,,,,,,,28 mm Wide-viewing Angle,
"Canon EOS 1200D (EF-S 18-55 mm III) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View, TTL secondary image-registration, phase detection",18 MP,,,JPEG ( Fine & Normal Quality ),No,100 - 6400,Canon EF/EF-S,Yes,1/4000 sec,30 sec,1.5x - 10x,,"Yes, 10 sec (2 sec with mirror lock-up)","H.264, MOV, MPEG-4 AVC / H.264","White Balance Presets (6), Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom White Balance correction and White balance bracketing possible",,"Yes, 3 fps",,"Yes, Dust Delete Data appending, Clean manually",Yes,,,,5184 x 3456 Pixels,,,,DIGIC 4,APS-C (22.3 x 14.9 mm),CMOS,"Auto, Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Defined, Ambience-based shots, Light/scene-based shots",,,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, E-TTL II, EX-series Speedlite","Auto, On, Off, Red-eye","Yes, Multi-Pattern, Center-Weighted, Spot",Yes,,,25,,,,,,,,,,,
"Canon EOS 6D (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,,20.2 MP,,,"JPEG, RAW",No,,,,1/4000 sec,30 sec,,,"Yes, 2 or 10 sec","MOV, MPEG-4 AVC/H.264","Auto, Cloudy, Custom, Daylight, Flash, Fluorescent (White), Manual, Shade, Tungsten",,,,,Yes,,,,,,,,,,,,,,1920 x 1080 pixels,,,,"Yes, Multi, Center-weighted, Spot, Partia",,,,,,,,,,,,,,,
"Panasonic Lumix DMC LX7 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F1.4 (W) - F2.3 (T),,"Yes, Multi-Area, Contrast Detect, Tracking, Single, Continuous, Live View",10.1 MP,4.5x,4.7 - 17.7 mm (35 mm Equivalent to 24 - 90 mm),JPEG(DCF/Exif2.3),"Yes, Power Optical Image Stabilization",80 - 12800,LEICA DC VARIO-SUMMILUX,Yes,1/4000 sec,60 sec,3.8x,"Focal Length Multiplier (5.1x), AF Assist Lamp, Lens Constitution (11 elements in 10 groups), No. Of Focus Points (23), Normal Focus Range (50 cm), Macro Focus Range (1 cm)","Yes, 2 or 10 sec, 10 sec (3 images)","MPEG-4, AVCHD, MP4","White Balance Presets (Auto, Daylight, Cloudy, Shade, Flash, Incandescent, White Set1, White Set2, Color Temparature (2-axis adjustable)), Custom White Balance (2)","Yes, Primary (RGB) Color filter","Yes, Full- Resolution Image: 11 frames/sec Max.12 images / with AF Tracking: 5 frames/sec, 2 frames/sec / High- speed Burst: approx. 60 frames/sec (recorded in 2.5M) / approx. 40 frames/sec (recorded in 5M)",,,,"Yes, Mini HDMI, Type-C",,,3648 x 2736 Pixels,"Yes, Built-in Stereo","Included Software ( PHOTOfunSTUDIO 8.3 PE, SilkyPix Developer Studio, Adobe Reader )","Yes, Single / Multi / All / Favorites / DPOF",Venus Engine,7.44 x 5.58 mm,High Sensitivity MOS,"Mode Dial (Intelligent Auto, P, A, S, M, C1, C2, Creative Video, Creative Control, SCN), Creative Control Mode (Expressive, Retro, High Key, Low Key, Sepia, Dynamic Monochrome, Impressive Art, High Dynamic, Cross Process, Toy Effect, Miniature Effect, Soft Focus, Star Filter, One Point Color, Radial Defocus, Smooth Defocus), Still Image Scene Mode (Portrait, Soft Skin, Scenery, Panorama shot, Sports, Night Portrait, Night Scenery, Handheld Night Shot, HDR, Food, Baby1, Baby2, Pet, Sunset, Glass Through, 3D Photo,)","Yes, Analog Video Output (NTSC)",Yes,,"Yes, Pop-up","Yes, Hot-shoe","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off, Flash Synchro;1st/2nd Slow Sync","Yes, Multi-segment, center-weighted, spot, Intelligent Multiple",,,,2,No,,,"0.8 - 8.5 m (W), 0.3 - 5.2 m (T)",,,,,,,
