<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
"FUJI FINEPIX XP200 YELLOW 16MP 5X 3"" WATERPROOF 600012725",N/A,2x,16MP,"1:1, 3:2, 4:3, 16:9",NP-50,Yes,39MB,"Up to 10 fps for up to 9 frames
Up to 5 fps for up to 9 frames
Up to 3 fps for up to 9 frames
Up to 60 fps at 2.1 MP for up to 60 frames",Waterproof,.,Yellow,"HDMI C, USB 2.0",.,N/A,LCD Rear Screen,16.4MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in .3 EV steps)",None,"JPEG, MPO","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Wide: 1.97' (60 cm) - Infinity
Telephoto: 3.28' (1 m) - Infinity
Wide Macro: 3.54"" (9 cm) - 2.62' (80 cm)
Tele Macro: 1.31' (40 cm) - 2.62' (80 cm)",Yes,100-6400,"13 elements in 11 groups
EFL: 5-25 mm (35 mm equivalent: 28-140 mm)
Aperture: f/3.9 (W) - 4.9 (T) to f/8",SD/SDHC/SDXC,TTL 256-zones,"-10 to 40C (14 to 104F)
Humidity: 10-80%",5x,N/A,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",4-1/2000 sec,LCD Display,2 year warranty,"Auto, Fine, Fluorescent, Fluorescent (Day White), Fluorescent (White), Incandescent, Shade",,,,,,Yes,6.6 ft.,15.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SONY DSC-RX100 20.2MP CMOS 3.6X 3"" DSCRX100",ACUD10/11,None,20MP,"1:1, 3:2, 4:3, 16:9",NP-BX1,Yes,N/A,Up to 10 fps at 20.2 MP,Advanced,.,Black,"HDMI D, USB 2.0",.,7.2x,LCD Rear Screen,20.2MP,"Modes: Aperture Priority, Auto, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",N/A,"JPEG, RAW","Auto
Fill-in
Off
Slow Sync","Wide: 1.97"" (5 cm) - Infinity
Telephoto: 21.65"" (55 cm) - Infinity",Yes,125-25600,"7 elements in 6 groups
EFL: 10.4-37.1 mm (35 mm equivalent: 28-100 mm)
Aperture: f/1.8 (W) - 4.9 (T)","Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Center-weighted, Multi, Spot",N/A,3.6x,N/A,"3.0""","2 Sec, 10 Sec",13.2x8.8mm CMOS,"Type: Mechanical
Speed: 30 - 1/2000 sec",LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Fluorescent, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent, Shade",(0),(0),(0),(1),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANASONIC DMCZS40K BLACK 18MP 30X WIDE ANGLE 3"" DMCZS40K",NA,NA,18MP,"1:1, 3:2, 4:3, 16:9",NA,Yes,12MB,"Up to 60 fps, varies with Image Size and Features chosen",Super Zoom,.,Black,NA,.,4x,TFT LCD,18.1MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual",No,"JPEG, RAW, AVCHD, MP4","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off","Normal: Wide 50cm - infinity, Tele 200cm - infinity; Motion Picture: Wide 3 cm - infinity, Tele 200 cm - infinity",Yes,100-6400,4.3 to 129mm (35mm equivalent: 24-720mm),SD/SDHC/SDXC,"Intelligent Multiple, Centre-Weighted, Spot",NA,30x,Yes,"3.0""","2 Sec, 10 Sec","1/2.3"" MOS",30 sec. - 1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set, White Balance Adjustment (Except Auto)",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,214 g (0.472 lb),110.6 x 64.3 x 34.4 mm / (4.35 x 2.53 x 1.35 inch),,,,,,,,,,,,,,,,,,
"SONY DSC-H300B BLACK 20.1MP 35X 3"" DSCH300B",No,NA,20MP,"4:3, 16:9",AA Battery,Yes,No,0.80 fps,Super Zoom,.,Black,"AV Output, USB 2.0",.,2x,LCD Rear Screen,20.1MP,"iAuto, Program Auto, Manual",No,"JPEG, MP4","Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash","W: 1cm (0.03 ft.) to Infinity, T: 350cm (11.48 ft.) to Infinity",Yes,80-3200,Sony,"Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Multi Pattern, Center Weighted, Spot",NA,35x,NA,"3.0""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" Super HAD CCD",30 - 1/1500 sec.,LCD Display,,"Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set",,,,,,No,No,No,,,,,,,,,"590g (1 lb., 4.8 oz.)",129.6 x 5.0 x 122.3mm (5 1/8 x 3 3/4 x 4 7/8 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S9700 BLACK 16MP 30X 3"" 32178",EH-71P (Included); EH-62F (Sold Separately),None,16MP,NA,EN-EL12,Yes,329MB,6.9 fps,Super Zoom,.,Black,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,OLED,16.0MP,"Programmed auto exposure, Aperture-priority auto, Manual, Shutter priority auto",No,JPEG; MOV,TTL Auto,"W: 50cm to infinity, T: 2m to infinity, Macro mode: 1cm",Yes,125-6400,4.5-135.0mm (35mm equivalent: 25-750mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),30x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",8 sec - 1/4000 sec,OLED,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,232 g (8.2 oz.),109.6 x 63.5 x 34.5 mm (4.3 x 2.5 x 1.4 in.),,,,,,,,,,,,,,,,,,
"FUJI FINEPIX F900EXR BLUE 16MP 20X 3""CMOS 600012671",AC-5VX (Optional),2x,16MP,"1:1, 3:2, 4:3, 16:9",NP-50A,Yes,21MB,"Up to 11 fps at 16 MP for up to 5 frames
Up to 6 fps at 16 MP for up to 5 frames
Up to 3 fps at 16 MP for up to 11 frames
Up to 16 fps at 8 MP for up to 13 frames
Up to 16 fps at 8 MP for up to 10 frames",Super Zoom,.,Blue,"AV Output, HDMI C, USB 2.0",.,N/A,LCD Rear Screen,16.0MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in .3 EV steps)",None,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Wide: 1.48' (45 cm) - Infinity
Telephoto: 8.20' (2.5 m) - Infinity
Wide Macro: 1.97"" (5 cm) - 9.84' (3 m)
Tele Macro: 4.27' (1.3 m) - 9.84' (3 m)",Yes,100-12800,"14 elements in 11 groups
EFL: 4.6-92 mm (35 mm equivalent: 25-500 mm)
Aperture: f/3.5 (W) - 5.3 (T) to f/16",SD/SDHC/SDXC,"Average, Multi, Spot, TTL 256-zones","0 to 40C (32 to 104F)
Humidity: 10-80%",20x,N/A,"3.0""","2 Sec, 10 Sec","1/2"" CMOS",8-1/2000 sec,LCD Display,2 year warranty,"Auto, Custom, Fluorescent, Fluorescent (Day White), Fluorescent (White), Incandescent, Shade, Underwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS SP-820UZ 14MP BLACK 40X WIDE ANGLE 3"" CMOS V103050BU000",N/A,None,14MP,"4:3, 16:9",4 AA Batteries,Yes,N/A,"Up to 1.5 fps at 14 MP for up to 200 frames
Up to 30 fps at 3 MP for up to 34 frames",Super Zoom,.,Black,"AV Output, HDMI D, USB 2.0",.,4x,LCD Rear Screen,14.0MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Fill-in
Off
Red-eye Reduction","Wide: 3.94"" (0.1 m) - Infinity
Telephoto: 9.84' (3 m) - Infinity
Wide Macro: 3.94"" (0.1 m) - Infinity
Tele Macro: 9.84' (3.0 m) - Infinity
Super-Macro: 3.94"" (0.1 m) - Infinity",Yes,80-6400,"EFL: 4.0-160.0 mm (35 mm equivalent: 22.4-896 mm)
Aperture: f/3.4 (W) - 5.7 (T)",SD/SDHC/SDXC,"Evaluative, Spot","0 to 40C (32 to 104F)
Humidity: 0-85%",40x,None,"3.0""","2 sec, 12 sec","1/2.3"" CMOS",4-1/2000 sec,LCD Display,1 year warranty,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM X30 SILVER 12MP 4X 3.0""LCD 600013936",AC-5VT,None,12MP,"1:1, 3:2, 4:3, 16:9",NP-95,Manual Pop-up,55MB,"3 fps, 6 fps, 9 fps, 12 fps",Advanced,.,Silver,"HDMI D, USB 2.0, Stereo Mini Connector, Wi-Fi",.,2x,Tilt LCD,12.0MP,"Programmed AE, Aperture Priority AE, Shutter Priority AE, Manual exposure",Yes,"JPEG, RAW, MOV","Auto, Forced Flash, Slow Synchro., Commander, Suppressed Flash, Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Red-eye Reduction & Slow Synchro.","Normal : Wide: 50cm (1.6 ft.) to infinity, Telephoto: 80cm (2.6 ft.) to infinity; Macro: Wide: 10cm - 3.0m (3.9 in. - 9.8 ft.), Telephoto: 50cm -3.0m (1.6 ft. - 9.8 ft.); Super Macro: 1.0cm - 1.0m (0.4 in. - 3.3 ft.)",Lens shift,100-12800,"9 groups, 11 elements (3 aspherical)",SD/SDHC/SDXC,"TTL 256-zone metering, Multi, Spot, Average","0 to 40C (32 to 104F)
Humidity: 10-80%",4x,RR-90 (Sold Separately),"3.0""","2 Sec, 10 Sec","2/3"" CMOS",30-1/4000 sec,"0.39"" OLED",,"Automatic scene recognition, Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White),
Fluorescent light (Cool White), Incandescent light, Underwater, Custom, Color temperature selection",,,,,,No,No,No,,,,,,,,,423g / 14.9 oz. (including battery and memory card); 383g / 13.5 oz. (excluding battery and memory card),118.7 x 71.6 x 60.3 mm (4.7 x 2.8 x 2.4 in.),,,,,,,,,,,,,,,,,,
SONY DSCRX10 W/LCJRXE CASE & NPFV50 BATTERY DSCRX10,AC-UB10,NA,20MP,3:2,NP-FW50,Yes,No,NA,Advanced,.,Black,"NFC; HDMI D micro, Tripod Mount, USB 2.0; Wi-Fi, Multi Interface Shoe, Microphone Input",.,66x,Tiltable Rear Screen LCD,20.2MP,"Program Auto (Program shift available), Aperture Priority, Shutter Speed Priority, Manual Exposure, MR (Memory Recall)1, MR2 [Movie] Movie Mode (Program Auto, Aperture Priority, Shutter Speed Priority, Manual Exposure) [Panorama] Scene Selection, AUTO (Intelligent Auto/Superior Auto)",Hot Shoe,"JPEG, RAW",Auto / Fill-flash / Slow Sync / Rear Sync / Off,NA,Yes,125 - 25600,"14 elements in 11 groups
7 Aspheric","Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO Duo (High Speed), Memory Stick PRO-HG Duo, Memory Stick XC-HG Duo, Memory Stick Micro, Memory Stick Micro (Mark2), microSD Memory Card, microSDHC Memory Card, microSDXC Memory Card, SD/SDHC/SDXC Memory Cards","Multi-segment, Center-weighted, Spot",-20 C to +60 degrees C / -4 F to +140 degrees F,8.3x,NFC (One-touch remote),"3.0""","2 Sec, 10 Sec",13.2 x 8.8mm CMOS,Bulb; 30-1/3200 sec,LCD Display,,"Auto / Daylight / Shade / Cloudy / Incandescent / Fluor (Warm White) / Fluor (Cool White) / Fluor (Day White) / Fluor (Daylight) / Flash / C. Temp., Filter / Custom",,,,,,NA,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 340HS BLACK 16MP 12X 3"" WIFI 9344B001",ACK-90,None,16MP,"1:1, 3:2, 4:3, 16:9",NB-11L/NB-11LH,Yes,None,3.9 shots/sec.; 10.5 shots/sec.,Wi-Fi,.,Black,HDMI connector (D-type),.,4x,LCD Rear Screen,16.0MP,"Manual, Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1cm) - infinity (W), 3.3 ft. (1m) - infinity (T); Normal: 2.0 in. (5cm) - infinity (W), 3.3 ft. (1m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50cm) (W)",Yes,100-3200,4.5 (W) - 54.0 (T) mm (35mm film equivalent: 25-300mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),12x,NA,"3.0""","2 Sec, 10 Sec, Custom","1/2.3"" CMOS",15 sec. - 1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,130g (4.59 oz.),99.7 x 57.6 x 22.4mm (3.93 x 2.27 x 0.88 in.),,,,,,,,,,,,,,,,,,
"OLYMPUS TG-850IHS WHITE 16MP 5X 3"" CMOS V104150WU000",NA,2x Super Resolution Zoom,16MP,NA,LI-50B,Yes,37MB,Up to 7 fps,Waterproof,.,White,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto, Program Auto, Super Macro, Scene Modes (18), Art Filters (11), Panorama, Hand-Held Starlight, e-Portrait",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off, LED",NA,Yes,125-6400,3.74 - 18.7mm (35mm equivalent: 21 - 105mm),"SD, SDHC, SDXC",NA,NA,5x,NA,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",4-1/2000 sec,LCD Display,,NA,,,,,,Yes,2.1 m (7 ft .),10 m (33 ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUJIFILM X100T BLACK 16MP 23MMF2 APS-C 600013938,NA,No,16MP,"1:1, 3:2, 16:9",NP-95,Yes,55MB,3 to 6 fps,Advanced,.,Black,"HDMI D, USB 2.0",.,No,LCD Screen,16.3MP,"Programmed AE, Shutter priority AE, Aperture priority AE, Manual exposure",Yes,"JPEG, RAW, RAW","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction",Normal: 50cm (1.6 ft.) to infinity; Macro: 10cm - 2.0m (3.9 in.- 6.6 ft.),NA,"100 to 51,200",8 elements in 6 groups (1 Aspheric),SD/SDHC/SDXC,"TTL 256-zone metering, Multi / Spot / Average","0 to 40C (32 to 104F)
Humidity: 10-80%",No,RR-90 (Sold Separately),"3.0""","2 Sec, 10 Sec",23.6 x 15.6 in. CMOS,"Mechanical: Bulb (max. 60min.) to 1/4000 sec.; Electronic: 1 to 1/32,000 sec.","Optical, Electronic, LCD Display",,"Automatic, Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Underwater, Custom, Colour temperature selection",,,,,,NA,No,No,,,,,,,,,440g (15.5 oz.),"126.5 x 74.4 x 52.4mm ( 5.0 x 2.9 x 2.1 in. ), Minimum Depth : 31.0mm (1.2 in.)",,,,,,,,,,,,,,,,,,
"PANASONIC DMCSZ5K BLACK 14MP 10X WIDE ANGLE 3""WIFI DMCSZ5K",110-240V AC,20x,14MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,55MB,Up to 1.5 fps at 14.1 MP,Wi-Fi,.,Black,"AV Output, USB 2.0",.,N/A,LCD Rear Screen,14.1MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 19.69"" (50 cm) - Infinity
Telephoto: 59.06"" (150 cm) - Infinity
Wide: 1.97"" (5 cm) - Infinity
Telephoto: 59.06"" (150 cm) - Infinity",Yes,100-6400,"Leica DC Vario-Elmar, 9 elements in 7 groups
4 Aspheric
EFL: 4.5-45 mm (35 mm equivalent: 25-250 mm)
Aperture: f/3.1 (W) - 5.9 (T) to f/16.0",SD/SDHC/SDXC,Multi,N/A,10x,None,"3.0""","2 Sec, 10 Sec","1/2.33"" CCD",8-1/1600 sec,LCD Display,1 year warranty,"Auto, Cloudy, Daylight, Incandescent, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT G7X 20.2MP 4.2X 3"" CMOS 9546B001",ACK-DC110,None,20MP,"1:1, 3:2, 4:3, 4:5, 16:9",NB-13L,Yes,No,4.4 to 6.5 shots / sec.,Advanced,.,Black,"HDMI micro, Audio Out",.,4x,Tilt Touch LCD,20.2MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,"JPEG, RAW, MP4","Auto, Flash, On, Slow Synchro, Flash Off","Normal/Auto: 2.0 in. (5 cm) - infinity (W), 1.3 ft. (40 cm) - infinity (T) Macro: 2.0 in. - 1.6 ft. (5-50 cm) (W)",Yes,125-12800,8.8 (W) - 36.8 (T) mm (35mm film equivalent: 24-100mm),SD/SDHC/SDXC,"Evaluative*, Center-weighted average, Spot",0 to 40C (32 to 104F),4.2x,NA,"3.0""","2 Sec, 10 Sec, 30 Sec","1.0"" CMOS",250-1/2000 sec,LCD Display,,"Auto, Day Light, Shade, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Underwater, Custom 1, Custom 2, Multi-area White Balance, White Balance Correction (Underwater mode), White Balance Correction",,,,,,No,No,No,,,,,,,,,279 g (9.84 oz.),103.0 x 60.4 x 40.4 mm (4.06 x 2.38 x 1.59 in. ),,,,,,,,,,,,,,,,,,
CANON POWERSHOT SX50 BUNDLE W/POD&CASE 6352B037,CA-PS700 (Optional),None,12MP,"1:1, 3:2, 4:3, 4:5, 16:9",NB-10L,Yes,N/A,Up to 13 fps for up to 10 frames,Super Zoom,.,Black,"AV Output, HDMI C, USB 2.0",.,4x,LCD Rear Screen Swivel,12.1MP,"Modes: AE Lock, Aperture Priority, Manual, Program, Program Shift, Safety Shift, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Flash On
Off
Slow Sync","Wide: 2.0"" (5.08 cm) - Infinity
Wide: 3.3' (1.01 m) - Infinity
Telephoto: 4.3' (1.31 m) - Infinity
Telephoto: 43' (13.11 m) - Infinity
Auto: 0.0"" (0.00 cm) - Infinity
Wide Macro: 0.0"" (0.00 cm) - 1.6' (0.49 m)",Yes,80-6400,"EFL: 4.3-215 mm (35 mm equivalent: 24-1200 mm)
Aperture: f/3.4 (W) - 6.5 (T)",SD/SDHC/SDXC,"Center-weighted, Evaluative, Spot","0 to 40C (32 to 104F)
Humidity: 10-90%",50x,RS-60E3,"2.8""","2 Sec, 10 Sec, 30 Sec","1/2.3"" CMOS",15-1/2000 sec,Electronic,1 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Fluorescent, Fluorescent H, Tungsten",(0),(0),(0),(0),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S02 SILVER 13.2MP 3X 2.7""LCD 32176",EH-70P,N/A,13MP,N/A,Built-in,Yes,7.3 GB,N/A,Small & Easy,.,Silver,"Audio/video (A/V) output, Digital I/O (USB) , HDMI micro connector D",.,4x,Touch TFT LCD,13.2MP,Programmed auto exposure; Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),No,Still: JPEG; Movies: MOV,TTL auto flash with monitor preflashes,,N/A,125-1600,"NIKKOR glass lens, 6 elements in 5 groups, 4.1-12.3mm (35mm equivalent: 30-90mm), f/3.3-5.9",N/A,"Matrix, Centre-weighted (digital zoom less than 2x), Spot (digital zoom 2X or more)",0 to 40C (32 to 104F); Humidity: 0-85%,3x,N/A,"2.7""",10 sec.,"1/3.1"" CMOS",Mechanical and CMOS electronic shutter: 1sec. - 1/2000 sec.,N/A,,Auto,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM XP70 ORANGE 16.4MP 5X 2.7"" WIFI 600013367",AC-5VT,,16MP,"1:1, 3:2, 4:3, 16:9",NP-45S,Yes,99MB,Up to 10 fps,Waterproof,.,Orange,"HDMI Micro D, USB 2.0, Micro USB",.,2x,LCD Rear Screen,16.4MP,Programmed AE,NA,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","Normal: Wide : approx. 60cm to infinity / 2.0 ft. to infinity, Telephoto : approx. 1.0m to infinity / 3.3. ft to infinity; Macro: Wide : approx. 9cm - 80cm / 3.5 in. - 2.6 ft., Telephoto : approx. 40cm - 80cm / 1.3 ft. - 2.6 ft.",,100-6400,13 elements in 11 groups (includes 4 aspherical elements),SD / SDHC / SDXC,TTL 256-zone metering,-10 to 40 degrees C (14 to 104 degrees F),5x,No,"2.7""","2 Sec, 10 Sec, Group","1/2.3"" CMOS",4-1/2000 sec,LCD Display,,"Auto, Fine, Shade, Fluorescent, Incandescent, Underwater",,,,,,Yes,1.5m (5 ft.),10m (33 ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS VG-160 RED 14MP 5X 3"" LCD WIDE ANGLE V106050OU000",N/A,None,14MP,"4:3, 16:9",LI-70B,Yes,N/A,"Up to 10 fps at 3 MP for up to 200 frames
Up to 2.4 fps at 5 MP for up to 200 frames
Up to .8 fps at 14 MP for up to 200 frames",Small & Easy,.,Red,"AV Output, USB 2.0",.,4x,LCD Rear Screen,14.0MP,N/A,None,JPEG,"Auto
Fill-in
Off
Red-eye Reduction",N/A,N/A,80-1600,"EFL: 4.7-23.5 mm (35 mm equivalent: 26-130 mm)
Aperture: f/2.8 (W) - 18 (T)",SD/SDHC/SDXC,Digital ESP,N/A,5x,N/A,"3.0""","2 sec, 12 sec","1/2.3""",4-1/2000 sec,LCD Display,1 year warranty,"Auto, Daylight, Fluorescent, Overcast, Tungsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANASONIC DMCZS40S SILVER 18MP 30X WIDE ANGLE 3"" DMCZS40S",NA,NA,18MP,"1:1, 3:2, 4:3, 16:9",NA,Yes,12MB,"Up to 60 fps, varies with Image Size and Features chosen",Super Zoom,.,Silver,NA,.,4x,TFT LCD,18.1MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual",No,"JPEG, RAW, AVCHD, MP4","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off","Normal: Wide 50cm - infinity, Tele 200cm - infinity; Motion Picture: Wide 3 cm - infinity, Tele 200 cm - infinity",Yes,100-6400,4.3 to 129mm (35mm equivalent: 24-720mm),SD/SDHC/SDXC,"Intelligent Multiple, Centre-Weighted, Spot",NA,30x,Yes,"3.0""","2 Sec, 10 Sec","1/2.3"" MOS",30 sec. - 1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set, White Balance Adjustment (Except Auto)",(1),(0),(0),(0),(0),No,No,No,,,,,,,,,214 g (0.472 lb),110.6 x 64.3 x 34.4 mm / (4.35 x 2.53 x 1.35 inch),,,,,,,,,,,,,,,,,,
"FUJIFILM XP70 BLUE 16.4MP 5X 2.7"" WIFI 600013366",AC-5VT,,16MP,"1:1, 3:2, 4:3, 16:9",NP-45S,Yes,99MB,Up to 10 fps,Waterproof,.,Blue,"HDMI Micro D, USB 2.0, Micro USB",.,2x,LCD Rear Screen,16.4MP,Programmed AE,NA,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","Normal: Wide : approx. 60cm to infinity / 2.0 ft. to infinity, Telephoto : approx. 1.0m to infinity / 3.3. ft to infinity; Macro: Wide : approx. 9cm - 80cm / 3.5 in. - 2.6 ft., Telephoto : approx. 40cm - 80cm / 1.3 ft. - 2.6 ft.",,100-6400,13 elements in 11 groups (includes 4 aspherical elements),SD / SDHC / SDXC,TTL 256-zone metering,-10 to 40 degrees C (14 to 104 degrees F),5x,No,"2.7""","2 Sec, 10 Sec, Group","1/2.3"" CMOS",4-1/2000 sec,LCD Display,,"Auto, Fine, Shade, Fluorescent, Incandescent, Underwater",,,,,,Yes,1.5m (5 ft.),10m (33 ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANASONIC HXA500H 4K POV CAMERA HXA500H,NA,NA,,16:9,"1,450 mAh (Built-in) / Lithium-polymer",,,,Pocketable,,Grey,,,NA,LCD,9.03MP (Motion); 8.34MP (Still),,,,,,Yes,,Panasonic Lens,,,NA,NA,,"1.5""",,"1/2.3"" BSI MOS Sensor",,None,,Auto / Indoor1 / Indoor2 / Sunny / Cloudy / White set,,,,,,,,,,,,,,,,1/30 - 1/12000 sec,"185 g (0.408 lb) (Camera, Body, Cable, SD Card",Camera: 26.5 x 68.5 mm (1.04 x 2.70 inch); Body: 59.5 x 94 x 26.7 mm (2.34 x 3.70 x 1.05 inch),,,AAC,,,,,NA,,3.4mm,,,,,,NA,Up to 4K,f/2.8
SAMSUNG GALAXY 2 CAMERA BLACK SF2 EK-GC200ZKAXAC,NA,None,16MP,NA,NA,Yes,8 GB,NA,Wi-Fi,.,Black,USB 2.0,.,NA,HD Super Clear LCD,16.3MP,+-2EV (1/3EV steps),NA,,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix",10 cm to Infinity,Yes,ISO,f = 4.1 - 86.1 mm (35 mm film equivalent: 23 - 483 mm); 2.8 (W) - 5.9 (T),Micro SD/SDHC/SDXC,NA,NA,21x,NA,"4.8""",NA,"1/2.3"" CMOS",16-1/2000 s,LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom Set, Colour Temperature",,,,,,No,No,No,,,,,,,,,285g,71.2 x 132.5 x 19.3 mm,,,,,,,,,,,,,,,,,,
